Column,Class,Precision,Recall,F1-score,Support,Accuracy
Pain_Forefoot_Left,0,0.65,0.43,0.51,223,0.4260089686098655
Pain_Forefoot_Left,1,0.42,0.64,0.5,143,0.6363636363636364
Pain_Forefoot_Right,0,0.72,0.44,0.54,235,0.43829787234042555
Pain_Forefoot_Right,1,0.41,0.69,0.51,131,0.6870229007633588
Pain_Midfoot_Left,0,0.66,0.62,0.64,241,0.6182572614107884
Pain_Midfoot_Left,1,0.34,0.38,0.36,125,0.384
Pain_Midfoot_Right,0,0.7,0.68,0.69,250,0.684
Pain_Midfoot_Right,1,0.35,0.37,0.36,116,0.3706896551724138
Pain_Heel_Left,0,0.77,0.96,0.85,280,0.9571428571428572
Pain_Heel_Left,1,0.37,0.08,0.13,86,0.08139534883720931
Pain_Heel_Right,0,0.76,0.98,0.86,280,0.9785714285714285
Pain_Heel_Right,1,0.14,0.01,0.02,86,0.011627906976744186
Pain_Forehead,0,0.93,1.0,0.96,341,0.9970674486803519
Pain_Forehead,1,0.0,0.0,0.0,25,0.0
Pain_Crown,0,0.93,1.0,0.96,339,1.0
Pain_Crown,1,0.0,0.0,0.0,27,0.0
Pain_Neck_Muscles,0,0.55,0.13,0.21,180,0.12777777777777777
Pain_Neck_Muscles,1,0.52,0.9,0.65,186,0.8978494623655914
Pain_Cervical_Spine,0,0.53,0.23,0.32,211,0.22748815165876776
Pain_Cervical_Spine,1,0.41,0.73,0.52,155,0.7290322580645161
Pain_Thoracic_Spine,0,0.73,0.84,0.78,259,0.8416988416988417
Pain_Thoracic_Spine,1,0.38,0.23,0.29,107,0.2336448598130841
Pain_Shoulder_Arm_Left,0,0.7,0.71,0.71,246,0.7073170731707317
Pain_Shoulder_Arm_Left,1,0.39,0.39,0.39,120,0.39166666666666666
Pain_Shoulder_Arm_Right,0,0.7,0.53,0.6,245,0.5265306122448979
Pain_Shoulder_Arm_Right,1,0.37,0.55,0.44,121,0.5537190082644629
Pain_Lumbar_Spine,0,1.0,0.01,0.01,133,0.007518796992481203
Pain_Lumbar_Spine,1,0.64,1.0,0.78,233,1.0
Pain_Hip_Left,0,0.68,0.67,0.67,242,0.6694214876033058
Pain_Hip_Left,1,0.37,0.37,0.37,124,0.3709677419354839
Pain_Hip_Right,0,0.69,0.56,0.62,225,0.5555555555555556
Pain_Hip_Right,1,0.46,0.61,0.53,141,0.6099290780141844
Pain_Buttock_Thigh_Left,0,0.66,0.66,0.66,238,0.6638655462184874
