time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 12:00:35.027,146.93,-51.52,30.38,-2.7362159999999998,0.521184,2.3872959999999996,1
2024-06-14 12:00:35.031,212.31,-184.59,21.14,-0.7276079999999999,-0.8213039999999999,-1.723128,1
2024-06-14 12:00:35.036,185.78,-190.96,23.1,-1.188768,-0.226432,-1.169248,1
2024-06-14 12:00:35.041,157.01,-234.71,23.66,-1.199992,-0.5416799999999999,-0.901336,1
2024-06-14 12:00:35.046,115.85,-266.84,21.84,-0.423584,-0.526064,-1.421544,1
2024-06-14 12:00:35.051,81.69,-284.13,22.05,-0.345992,-0.556808,-1.301008,1
2024-06-14 12:00:35.055,45.78,-289.66,22.54,-0.037576,-0.360144,-1.330776,1
2024-06-14 12:00:35.060,14.77,-281.05,25.41,0.101504,-0.12688,-1.310768,1
2024-06-14 12:00:35.065,-9.87,-260.4,31.08,0.216672,0.001952,-1.404952,1
2024-06-14 12:00:35.070,-26.6,-233.03,36.68,0.241072,0.00732,-1.4410640000000001,1
2024-06-14 12:00:35.075,-30.52,-208.74,38.01,0.189832,-0.054655999999999996,-1.49816,1
2024-06-14 12:00:35.080,-24.01,-191.03,33.11,0.017567999999999997,-0.14103200000000002,-1.409832,1
2024-06-14 12:00:35.084,-16.1,-182.91,24.43,-0.076128,-0.189832,-1.3488319999999998,1
2024-06-14 12:00:35.089,-11.83,-181.93,16.38,-0.12736799999999998,-0.228872,-1.326872,1
2024-06-14 12:00:35.094,-9.94,-176.75,9.52,-0.16591999999999998,-0.25132,-1.356152,1
2024-06-14 12:00:35.099,-17.71,-166.46,2.1,-0.084424,-0.30353600000000003,-1.443992,1
2024-06-14 12:00:35.104,-25.41,-154.0,-4.2,-0.03904,-0.23179999999999998,-1.602104,1
2024-06-14 12:00:35.108,-28.21,-137.69,-8.89,0.031232,-0.13224799999999998,-1.4669279999999998,1
2024-06-14 12:00:35.113,-31.78,-115.92,-12.67,0.052216,-0.05368,-1.645048,1
2024-06-14 12:00:35.118,-29.82,-97.16,-12.88,0.007808,0.095648,-1.515728,1
2024-06-14 12:00:35.123,-26.25,-80.01,-9.94,0.006344,0.094184,-1.49328,1
2024-06-14 12:00:35.128,-24.71,-65.73,-5.18,-0.001464,0.14347200000000002,-1.2917359999999998,1
2024-06-14 12:00:35.132,-21.21,-56.77,0.35,-0.008783999999999998,0.08930400000000001,-1.282952,1
2024-06-14 12:00:35.137,-18.76,-49.56,3.71,-0.04636,0.071248,-1.215608,1
2024-06-14 12:00:35.142,-13.93,-43.75,4.41,-0.032208,-0.003904,-1.216096,1
2024-06-14 12:00:35.147,-10.43,-23.52,1.12,-0.02196,-0.02196,-1.2034079999999998,2
2024-06-14 12:00:35.152,-11.48,-39.27,0.35,-0.01952,-0.026352,-1.1794959999999999,2
2024-06-14 12:00:35.157,-13.51,-20.23,-3.5,-0.0034159999999999998,0.016592,-1.153632,2
2024-06-14 12:00:35.161,-23.66,-15.54,-5.67,-0.024887999999999997,0.033671999999999994,-1.131672,2
2024-06-14 12:00:35.166,-8.19,-13.51,-1.4,-0.03904,0.047335999999999996,-1.112152,2
2024-06-14 12:00:35.171,-18.55,-11.13,0.84,-0.064416,0.034648,-1.094096,2
2024-06-14 12:00:35.176,-5.18,-8.26,1.12,-0.077104,0.008296,-1.064816,2
2024-06-14 12:00:35.181,-11.2,-7.42,-1.96,-0.083448,0.0068319999999999995,-1.057008,2
2024-06-14 12:00:35.185,-3.29,-6.86,-1.4,-0.079056,0.013176,-1.04188,2
2024-06-14 12:00:35.190,-5.74,-7.0,-0.28,-0.09467199999999999,0.004391999999999999,-1.045296,2
2024-06-14 12:00:35.195,-2.94,-7.21,0.07,-0.09516,-0.000488,-1.042856,2
2024-06-14 12:00:35.200,-2.45,-6.51,-0.77,-0.104432,0.007808,-1.037,2
2024-06-14 12:00:35.205,-2.59,-6.44,-1.19,-0.103456,0.00244,-1.033096,2
2024-06-14 12:00:35.210,-0.63,-6.72,0.07,-0.110288,-0.000488,-1.033584,2
2024-06-14 12:00:35.214,-1.89,-7.56,0.14,-0.105896,-0.002928,-1.0360239999999998,2
2024-06-14 12:00:35.219,0.35,-8.4,-0.14,-0.107848,0.008783999999999998,-1.040904,2
2024-06-14 12:00:35.224,-0.21,-9.52,-0.91,-0.1098,0.0034159999999999998,-1.038952,2
2024-06-14 12:00:35.229,1.26,-10.5,-0.35,-0.105896,0.0,-1.031632,2
2024-06-14 12:00:35.234,0.56,-11.2,0.14,-0.104432,-0.001952,-1.0296800000000002,2
2024-06-14 12:00:35.238,0.98,-11.41,-0.21,-0.10394400000000001,0.003904,-1.0287039999999998,2
2024-06-14 12:00:35.243,0.63,-11.48,-0.84,-0.104432,0.000488,-1.025776,2
2024-06-14 12:00:35.248,0.14,-11.62,-0.77,-0.104432,-0.000976,-1.021384,2
2024-06-14 12:00:35.253,-0.56,-11.48,-0.63,-0.10492,0.000976,-1.01992,2
2024-06-14 12:00:35.258,-1.68,-12.04,-0.91,-0.10052799999999999,-0.00244,-1.020408,2
2024-06-14 12:00:35.262,-2.17,-12.11,-1.4,-0.101992,-0.000976,-1.017968,2
2024-06-14 12:00:35.267,-2.59,-12.25,-1.68,-0.09759999999999999,0.000976,-1.023336,2
2024-06-14 12:00:35.272,-2.8,-12.74,-1.47,-0.09759999999999999,0.000488,-1.01992,2
2024-06-14 12:00:35.277,-3.15,-12.74,-1.54,-0.098088,0.00244,-1.021384,2
2024-06-14 12:00:35.282,-3.15,-12.74,-1.89,-0.09467199999999999,0.00488,-1.0189439999999998,2
2024-06-14 12:00:35.287,-3.15,-12.88,-2.24,-0.095648,0.0068319999999999995,-1.021872,2
2024-06-14 12:00:35.291,-2.87,-13.09,-2.1,-0.096136,0.008296,-1.02236,2
2024-06-14 12:00:35.296,-2.59,-13.58,-2.1,-0.09955199999999999,0.010736,-1.016992,2
2024-06-14 12:00:35.301,-2.38,-14.14,-2.24,-0.094184,0.012199999999999999,-1.018456,2
2024-06-14 12:00:35.306,-1.12,-14.7,-2.31,-0.098576,0.011224,-1.021872,2
2024-06-14 12:00:35.311,-2.1,-16.24,-2.59,-0.096624,0.005856,-1.01992,2
2024-06-14 12:00:35.315,-2.31,-17.43,-2.38,-0.09759999999999999,0.005368,-1.016016,2
2024-06-14 12:00:35.320,-2.1,-18.97,-2.45,-0.09516,0.006344,-1.01748,2
2024-06-14 12:00:35.325,-2.66,-20.3,-2.8,-0.095648,0.005368,-1.0096720000000001,2
2024-06-14 12:00:35.330,-2.45,-21.63,-2.8,-0.09272,0.0068319999999999995,-1.016016,2
2024-06-14 12:00:35.335,-2.8,-22.89,-2.45,-0.088816,0.007808,-1.01504,2
2024-06-14 12:00:35.340,-2.17,-23.94,-2.38,-0.08539999999999999,0.008783999999999998,-1.020408,2
2024-06-14 12:00:35.344,-1.96,-24.78,-2.45,-0.078568,0.010736,-1.021384,2
2024-06-14 12:00:35.349,-0.98,-25.2,-2.38,-0.075152,0.010736,-1.0194320000000001,2
2024-06-14 12:00:35.354,-0.84,-25.55,-2.17,-0.071248,0.006344,-1.0189439999999998,2
2024-06-14 12:00:35.359,-0.42,-25.62,-2.1,-0.063928,0.003904,-1.024312,2
2024-06-14 12:00:35.364,0.0,-25.83,-2.03,-0.059048,-0.001464,-1.0248,2
2024-06-14 12:00:35.368,-0.14,-25.69,-2.1,-0.059048,0.001464,-1.021872,2
2024-06-14 12:00:35.373,0.07,-26.18,-2.03,-0.059536,0.0034159999999999998,-1.025776,2
2024-06-14 12:00:35.378,0.14,-26.74,-1.75,-0.061488,0.001464,-1.025288,2
2024-06-14 12:00:35.383,0.42,-27.02,-1.68,-0.062952,0.011224,-1.0282159999999998,2
2024-06-14 12:00:35.388,1.12,-27.51,-1.75,-0.061975999999999996,0.010736,-1.029192,3
2024-06-14 12:00:35.392,1.68,-27.72,-1.61,-0.057095999999999994,0.010248,-1.0262639999999998,3
2024-06-14 12:00:35.397,2.17,-27.93,-1.68,-0.052216,0.00732,-1.029192,3
2024-06-14 12:00:35.402,2.94,-30.24,-1.33,-0.059048,0.01464,-1.031144,3
2024-06-14 12:00:35.407,3.92,-28.21,-1.61,-0.05124,0.017567999999999997,-1.02724,3
2024-06-14 12:00:35.412,5.18,-28.28,-1.82,-0.044408,0.028304,-1.0267519999999999,3
2024-06-14 12:00:35.417,7.49,-27.58,-1.96,-0.04636,0.030744,-1.032608,3
2024-06-14 12:00:35.421,8.82,-27.86,-2.24,-0.03904,0.012688,-1.037,3
2024-06-14 12:00:35.426,9.45,-27.72,-2.38,-0.041968,0.000488,-1.044808,3
2024-06-14 12:00:35.431,8.89,-27.86,-2.38,-0.042944,-0.01464,-1.04676,3
2024-06-14 12:00:35.436,6.72,-27.65,-2.24,-0.035135999999999994,-0.020984,-1.079944,3
2024-06-14 12:00:35.441,2.31,-23.94,-2.45,-0.035135999999999994,-0.011712,-1.055056,3
2024-06-14 12:00:35.445,0.49,-23.1,-2.45,-0.035135999999999994,-0.008783999999999998,-1.05652,3
2024-06-14 12:00:35.450,-0.84,-26.53,-2.45,-0.033184,-0.003904,-1.0555439999999998,3
2024-06-14 12:00:35.455,-41.37,-147.91,-4.76,-0.062952,-0.017079999999999998,-1.021384,3
2024-06-14 12:00:35.460,-1.54,-15.82,-1.33,-0.025864,-0.000488,-1.0574959999999998,3
2024-06-14 12:00:35.465,49.07,-11.13,3.78,-0.005856,-0.034648,-1.149728,3
2024-06-14 12:00:35.470,-14.07,-33.67,-4.9,-0.022448,-0.0034159999999999998,-1.072624,3
2024-06-14 12:00:35.474,4.41,-14.0,-3.57,-0.037576,0.020007999999999998,-1.1067839999999998,3
2024-06-14 12:00:35.479,-22.05,-4.2,-2.59,-0.039528,0.062952,-1.11752,3
2024-06-14 12:00:35.484,-11.69,0.14,-0.63,-0.044896,0.050263999999999996,-1.1248399999999998,3
2024-06-14 12:00:35.489,-32.97,-17.01,-7.56,-0.031232,-0.052216,-1.188768,3
2024-06-14 12:00:35.494,-12.67,-26.25,-7.0,-0.048312,-0.023912,-1.179008,3
2024-06-14 12:00:35.498,-18.76,-34.44,-6.86,-0.041479999999999996,0.033671999999999994,-1.13704,3
2024-06-14 12:00:35.503,-5.74,-40.81,-3.78,-0.009272,0.028304,-1.0365119999999999,3
2024-06-14 12:00:35.508,15.33,-48.58,-2.8,-0.034159999999999996,-0.053192,-1.284904,3
2024-06-14 12:00:35.513,10.92,-48.58,-7.14,-0.007808,-0.017079999999999998,-1.22488,3
2024-06-14 12:00:35.518,24.57,-43.75,-9.45,-0.06344,0.056119999999999996,-1.060424,3
2024-06-14 12:00:35.522,-15.68,-48.02,-6.65,-0.008783999999999998,0.038552,-1.138504,3
2024-06-14 12:00:35.527,-12.32,-50.75,-6.93,-0.004391999999999999,0.021472,-1.1360640000000002,3
2024-06-14 12:00:35.532,-15.12,-53.41,-9.17,-0.000976,0.008296,-1.157048,3
2024-06-14 12:00:35.537,-12.74,-57.96,-9.8,-0.000488,0.017567999999999997,-1.159976,3
2024-06-14 12:00:35.542,-15.47,-62.16,-9.24,-0.011712,0.007808,-1.178032,3
2024-06-14 12:00:35.547,-13.58,-68.39,-7.77,-0.018544,0.005368,-1.186328,3
2024-06-14 12:00:35.551,-13.16,-75.53,-8.96,-0.02196,0.079544,-1.258064,3
2024-06-14 12:00:35.556,-13.3,-79.87,-11.27,-0.004391999999999999,0.018056000000000003,-1.226832,3
2024-06-14 12:00:35.561,-11.48,-84.49,-10.64,0.01464,0.011712,-1.2507439999999999,3
2024-06-14 12:00:35.566,-11.41,-89.11,-9.38,0.017079999999999998,0.010736,-1.220488,3
2024-06-14 12:00:35.571,-12.88,-94.57,-9.45,0.011224,0.002928,-1.296128,3
2024-06-14 12:00:35.575,-13.02,-100.38,-9.45,0.012199999999999999,-0.01952,-1.286368,3
2024-06-14 12:00:35.580,-13.72,-107.31,-8.82,0.003904,-0.00732,-1.32492,3
2024-06-14 12:00:35.585,-15.26,-114.59,-7.56,0.007808,-0.011224,-1.370304,3
2024-06-14 12:00:35.590,-15.12,-123.69,-6.65,0.000488,0.013176,-1.3917760000000001,3
2024-06-14 12:00:35.595,-18.48,-133.35,-7.49,-0.00488,-0.002928,-1.451312,3
2024-06-14 12:00:35.600,-20.58,-143.85,-7.49,-0.004391999999999999,-0.012199999999999999,-1.4630239999999999,3
2024-06-14 12:00:35.604,-21.84,-154.49,-6.51,-0.00488,-0.02684,-1.472296,3
2024-06-14 12:00:35.609,-24.15,-165.9,-5.67,-0.008783999999999998,-0.02684,-1.505968,3
2024-06-14 12:00:35.614,-25.9,-177.1,-5.32,-0.012199999999999999,-0.021472,-1.5064559999999998,3
2024-06-14 12:00:35.619,-26.67,-189.14,-5.25,-0.019032,-0.010248,-1.56648,3
2024-06-14 12:00:35.624,-27.3,-201.53,-5.11,-0.027816,-0.000488,-1.568432,3
2024-06-14 12:00:35.628,-27.37,-214.9,-4.97,-0.041479999999999996,0.012688,-1.606496,3
2024-06-14 12:00:35.633,-28.21,-228.76,-4.97,-0.044408,0.001464,-1.696776,3
2024-06-14 12:00:35.638,-28.0,-244.93,-4.9,-0.057583999999999996,-0.00488,-1.7680239999999998,3
2024-06-14 12:00:35.643,-27.44,-262.43,-4.97,-0.07173600000000001,0.034648,-1.7982799999999999,3
2024-06-14 12:00:35.648,-25.9,-279.72,-6.09,-0.083448,0.088816,-1.8475679999999999,3
2024-06-14 12:00:35.652,-22.26,-297.71,-8.05,-0.103456,0.160552,-1.858304,3
2024-06-14 12:00:35.657,-16.87,-316.4,-11.62,-0.13663999999999998,0.23277599999999998,-1.880752,3
2024-06-14 12:00:35.662,-12.04,-335.02,-16.31,-0.122976,0.255224,-1.99836,3
2024-06-14 12:00:35.667,-7.42,-353.43,-20.02,-0.11858400000000001,0.26400799999999996,-2.128656,3
2024-06-14 12:00:35.672,-4.27,-373.17,-23.94,-0.074176,0.21228,-2.2204,3
2024-06-14 12:00:35.677,1.54,-393.82,-25.27,-0.013176,0.096136,-2.4419519999999997,4
2024-06-14 12:00:35.681,9.1,-414.33,-24.15,0.034648,0.09467199999999999,-2.5210079999999997,4
2024-06-14 12:00:35.686,16.17,-431.41,-22.12,0.150304,0.17812,-2.938248,4
2024-06-14 12:00:35.691,15.61,-448.63,-23.87,0.26449599999999995,0.12980799999999998,-3.023648,4
2024-06-14 12:00:35.696,16.73,-457.94,-21.07,0.34550400000000003,0.20251999999999998,-3.234464,4
2024-06-14 12:00:35.701,11.48,-458.78,-20.51,0.534848,0.363072,-3.432104,4
2024-06-14 12:00:35.705,5.95,-462.56,-22.19,0.481168,0.331352,-3.35256,4
2024-06-14 12:00:35.710,0.91,-467.32,-22.68,0.428464,0.373808,-3.329136,4
2024-06-14 12:00:35.715,-2.59,-473.34,-26.95,0.401624,0.34550400000000003,-3.3593919999999997,4
2024-06-14 12:00:35.720,-0.98,-477.19,-29.4,0.14005599999999999,0.193736,-3.546296,4
2024-06-14 12:00:35.725,3.64,-463.12,-32.06,0.20007999999999998,0.135176,-3.39404,4
2024-06-14 12:00:35.730,19.39,-464.45,-31.22,-0.212768,0.124928,-3.366224,4
2024-06-14 12:00:35.734,30.24,-451.5,-29.61,-0.571936,0.157624,-3.211528,4
2024-06-14 12:00:35.739,41.23,-435.4,-27.86,-1.069696,0.250344,-3.1676079999999995,4
2024-06-14 12:00:35.744,45.08,-419.09,-29.26,-1.360544,0.352824,-3.002176,4
2024-06-14 12:00:35.749,45.43,-411.18,-34.65,-1.65432,0.45871999999999996,-2.672776,4
2024-06-14 12:00:35.754,42.77,-411.32,-40.32,-1.9168640000000001,0.455304,-2.26188,4
2024-06-14 12:00:35.758,40.32,-423.08,-49.56,-2.217472,0.43432,-1.8719679999999999,4
2024-06-14 12:00:35.763,31.43,-444.78,-65.03,-2.619096,0.40503999999999996,-0.9823439999999999,4
2024-06-14 12:00:35.768,31.08,-457.66,-78.82,-1.6430960000000001,0.768112,1.089704,4
2024-06-14 12:00:35.773,17.99,-444.85,-91.56,-1.03456,0.833504,0.066856,4
2024-06-14 12:00:35.778,-38.43,-324.31,-108.01,-1.164856,0.76128,-2.259928,4
2024-06-14 12:00:35.782,-81.41,-205.87,-117.53,-1.5006,0.82716,-2.3345920000000002,4
2024-06-14 12:00:35.787,-93.03,-88.69,-111.86,-2.049112,0.265472,-1.375184,4
2024-06-14 12:00:35.792,-85.54,21.28,-92.33,-2.265784,-0.242536,-0.975024,4
2024-06-14 12:00:35.797,-60.62,114.17,-70.0,-2.1228,-0.229848,-1.189744,4
2024-06-14 12:00:35.802,-22.61,177.03,-49.28,-1.74948,-0.13663999999999998,-1.2932000000000001,4
2024-06-14 12:00:35.807,11.76,215.67,-30.03,-1.45424,-0.12834399999999999,-1.2439120000000001,4
2024-06-14 12:00:35.811,37.73,236.81,-13.93,-1.335168,-0.0732,-1.148752,4
2024-06-14 12:00:35.816,56.0,246.96,-3.22,-1.297104,0.026352,-1.0145520000000001,4
2024-06-14 12:00:35.821,65.66,250.18,1.96,-1.260016,0.133712,-0.8583919999999999,4
2024-06-14 12:00:35.826,65.31,250.74,2.45,-1.18096,0.23472800000000002,-0.730048,4
2024-06-14 12:00:35.831,56.0,250.67,-0.49,-1.1048319999999998,0.32696,-0.664168,4
2024-06-14 12:00:35.835,40.04,250.81,-6.44,-1.0340719999999999,0.38844799999999996,-0.630496,4
2024-06-14 12:00:35.840,20.37,252.07,-14.21,-0.97112,0.40845600000000004,-0.598776,4
2024-06-14 12:00:35.845,-0.21,254.03,-22.47,-0.924272,0.39039999999999997,-0.569984,4
2024-06-14 12:00:35.850,-18.34,256.76,-29.54,-0.87108,0.33720799999999995,-0.5680320000000001,4
2024-06-14 12:00:35.855,-31.43,259.84,-34.65,-0.815936,0.26108,-0.5724239999999999,4
2024-06-14 12:00:35.860,-38.29,263.97,-37.52,-0.769576,0.177144,-0.591456,4
2024-06-14 12:00:35.864,-39.13,268.38,-37.73,-0.7276079999999999,0.083936,-0.618296,4
2024-06-14 12:00:35.869,-34.58,272.93,-35.84,-0.696376,0.015128,-0.651968,4
2024-06-14 12:00:35.874,-26.67,277.62,-32.06,-0.662216,-0.037088,-0.6846639999999999,4
2024-06-14 12:00:35.879,-16.94,282.8,-27.23,-0.631472,-0.07076,-0.7188239999999999,4
2024-06-14 12:00:35.884,-7.35,288.61,-21.91,-0.6056079999999999,-0.077104,-0.74664,4
2024-06-14 12:00:35.888,0.35,294.98,-16.87,-0.5773039999999999,-0.060512,-0.785192,4
2024-06-14 12:00:35.893,5.32,301.84,-12.74,-0.555344,-0.03172,-0.814472,4
2024-06-14 12:00:35.898,7.07,309.47,-9.87,-0.5343600000000001,0.010736,-0.85888,4
2024-06-14 12:00:35.903,5.39,318.15,-8.19,-0.513864,0.035135999999999994,-0.906704,4
2024-06-14 12:00:35.908,2.31,327.11,-6.79,-0.498736,0.055144,-0.937448,4
2024-06-14 12:00:35.912,-1.96,336.77,-5.53,-0.494344,0.062464,-0.9774639999999999,4
2024-06-14 12:00:35.917,-6.93,346.36,-4.34,-0.497272,0.062952,-1.016992,4
2024-06-14 12:00:35.922,-11.9,355.53,-3.01,-0.487512,0.056608,-1.0560319999999999,4
2024-06-14 12:00:35.927,-16.45,364.0,-1.26,-0.483608,0.044896,-1.10044,4
2024-06-14 12:00:35.932,-20.3,371.49,0.77,-0.47921600000000003,0.035135999999999994,-1.1477760000000001,4
2024-06-14 12:00:35.937,-23.73,377.65,2.66,-0.460184,0.025864,-1.198528,4
2024-06-14 12:00:35.941,-27.02,382.76,4.27,-0.43432,0.023912,-1.254648,4
2024-06-14 12:00:35.946,-30.17,386.4,5.53,-0.41236,0.026352,-1.316624,4
2024-06-14 12:00:35.951,-33.04,388.92,6.37,-0.38600799999999996,0.030744,-1.3820160000000001,4
2024-06-14 12:00:35.956,-35.63,390.46,6.86,-0.36356,0.027327999999999998,-1.453264,4
2024-06-14 12:00:35.961,-37.66,391.72,7.07,-0.34745600000000004,0.028304,-1.513288,4
2024-06-14 12:00:35.965,-39.34,393.26,7.14,-0.33476799999999995,0.022448,-1.5733119999999998,4
2024-06-14 12:00:35.970,-41.02,395.71,7.14,-0.323056,0.012199999999999999,-1.638704,4
2024-06-14 12:00:35.975,-43.05,398.65,7.07,-0.311832,0.012199999999999999,-1.7221520000000001,4
2024-06-14 12:00:35.980,-45.36,401.59,6.79,-0.288408,0.015128,-1.789496,4
2024-06-14 12:00:35.985,-49.14,403.83,6.51,-0.233752,0.011224,-1.8378079999999999,4
2024-06-14 12:00:35.990,-54.6,403.69,5.74,-0.16982399999999997,0.022448,-1.93004,4
2024-06-14 12:00:35.994,-61.32,400.4,4.27,-0.101992,0.042944,-2.0564319999999996,4
2024-06-14 12:00:35.999,-68.39,393.19,2.66,-0.003904,0.04636,-2.1579360000000003,4
2024-06-14 12:00:36.004,-75.18,382.62,0.84,0.10394400000000001,0.04392,-2.258952,4
2024-06-14 12:00:36.009,-80.78,368.34,-1.26,0.20105599999999998,0.04392,-2.379488,4
2024-06-14 12:00:36.014,-83.44,350.7,-2.94,0.302072,0.032208,-2.528328,4
2024-06-14 12:00:36.018,-81.9,330.96,-2.94,0.398696,-0.000488,-2.685464,4
2024-06-14 12:00:36.023,-75.53,312.48,0.21,0.486048,-0.048312,-2.826984,4
2024-06-14 12:00:36.028,-66.22,299.74,6.51,0.574864,-0.07808,-2.931904,4
2024-06-14 12:00:36.033,-53.83,294.42,15.68,0.682712,-0.083936,-3.0124239999999998,4
2024-06-14 12:00:36.038,-41.3,297.43,26.6,0.81984,-0.044896,-3.105632,4
2024-06-14 12:00:36.041,-31.29,306.6,38.29,1.00284,0.02196,-3.1881039999999996,4
2024-06-14 12:00:36.045,-26.46,319.55,50.26,1.208288,0.10736,-3.2666720000000002,4
2024-06-14 12:00:36.050,-26.6,333.83,62.09,1.424472,0.18788,-3.318888,4
2024-06-14 12:00:36.055,-29.33,347.2,73.78,1.629432,0.250344,-3.3286480000000003,4
2024-06-14 12:00:36.060,-31.64,358.26,85.82,1.834392,0.302072,-3.292536,4
2024-06-14 12:00:36.065,-32.69,365.75,97.51,2.040816,0.369904,-3.2037199999999997,4
2024-06-14 12:00:36.069,-34.72,368.9,107.45,2.2335760000000002,0.464576,-3.0709839999999997,4
2024-06-14 12:00:36.074,-38.92,366.87,113.47,2.4112080000000002,0.570472,-2.9236079999999998,4
2024-06-14 12:00:36.079,-46.97,359.87,114.73,2.5864000000000003,0.650992,-2.767936,4
2024-06-14 12:00:36.084,-59.15,347.62,110.46,2.7391439999999996,0.7041839999999999,-2.612264,4
2024-06-14 12:00:36.089,-74.34,332.64,101.01,2.8948159999999996,0.7285839999999999,-2.506856,4
2024-06-14 12:00:36.094,-87.29,315.07,87.29,3.079768,0.716872,-2.402424,4
2024-06-14 12:00:36.098,-97.44,295.96,70.42,3.251544,0.65392,-2.3018959999999997,4
2024-06-14 12:00:36.103,-105.28,275.45,51.24,3.3994079999999998,0.555344,-2.18136,4
2024-06-14 12:00:36.108,-112.07,254.1,31.15,3.535072,0.440664,-2.055456,4
2024-06-14 12:00:36.113,-116.48,231.77,11.62,3.68684,0.305488,-1.950536,4
2024-06-14 12:00:36.118,-118.86,208.53,-6.72,3.881064,0.14396,-1.863184,4
2024-06-14 12:00:36.123,-121.17,184.24,-23.24,4.04796,-0.015616,-1.755824,4
2024-06-14 12:00:36.127,-122.01,157.78,-37.45,4.147512,-0.16348,-1.626504,4
2024-06-14 12:00:36.132,-118.3,128.52,-49.35,4.206072,-0.307928,-1.504016,4
2024-06-14 12:00:36.137,-107.38,95.9,-58.59,4.217784,-0.445056,-1.430816,4
2024-06-14 12:00:36.142,-87.92,60.13,-65.03,4.162640000000001,-0.549976,-1.41032,4
2024-06-14 12:00:36.147,-59.5,21.98,-68.74,4.044544,-0.6007279999999999,-1.4152,4
2024-06-14 12:00:36.151,-24.64,-16.31,-71.05,3.868864,-0.5973120000000001,-1.42008,4
2024-06-14 12:00:36.156,12.95,-53.06,-73.01,3.64292,-0.517768,-1.4273999999999998,4
2024-06-14 12:00:36.161,47.95,-86.73,-75.46,3.3764719999999997,-0.389424,-1.479616,4
2024-06-14 12:00:36.166,56.21,-228.27,-51.31,0.5294800000000001,-2.671312,-3.900096,4
2024-06-14 12:00:36.171,322.63,9.59,34.65,1.055056,-0.051728,3.700992,4
2024-06-14 12:00:36.176,461.65,23.24,31.08,-3.817136,0.55388,1.040904,4
