time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 11:01:51.206,185.29,-332.78,32.62,6.869576,-2.462936,-7.204344,1
2024-06-14 11:01:51.210,241.85,-390.46,29.47,4.961496,0.033184,0.32744799999999996,1
2024-06-14 11:01:51.215,209.86,-383.04,-14.28,-0.7139439999999999,-0.589504,-0.559736,1
2024-06-14 11:01:51.220,306.25,-391.58,-5.81,1.011624,0.009272,-1.160464,1
2024-06-14 11:01:51.225,280.56,-413.63,10.01,0.248392,0.101504,-2.0086079999999997,1
2024-06-14 11:01:51.230,262.08,-347.62,33.39,-0.24156,-0.192272,-2.07156,1
2024-06-14 11:01:51.235,208.95,-324.73,57.96,-0.053192,-0.068808,-1.919304,1
2024-06-14 11:01:51.239,184.45,-314.44,73.29,0.010736,-0.12736799999999998,-2.01788,1
2024-06-14 11:01:51.244,131.95,-280.28,85.96,0.19422399999999998,-0.42212,-2.258952,1
2024-06-14 11:01:51.249,81.55,-261.03,93.1,0.460184,-0.374784,-1.96664,1
2024-06-14 11:01:51.254,32.27,-234.78,95.62,0.46945600000000004,-0.8130080000000001,-2.4263359999999996,1
2024-06-14 11:01:51.259,5.81,-226.24,83.3,0.639768,-0.7237039999999999,-1.960296,1
2024-06-14 11:01:51.264,-5.39,-217.98,53.83,0.35038400000000003,-0.974048,-2.2735920000000003,1
2024-06-14 11:01:51.268,-13.86,-169.75,19.67,0.326472,-0.621712,-1.979328,1
2024-06-14 11:01:51.273,-11.2,-144.62,-3.22,0.26693599999999995,0.062464,-1.6533440000000001,1
2024-06-14 11:01:51.278,-10.64,-121.45,-8.26,0.454816,0.2196,-1.713856,1
2024-06-14 11:01:51.283,-24.29,-108.99,-7.21,0.219112,-0.123464,-1.769,1
2024-06-14 11:01:51.288,-21.91,-86.94,-3.01,-0.061975999999999996,-0.28450400000000003,-1.528416,1
2024-06-14 11:01:51.293,-23.87,-83.16,8.89,0.044408,0.142984,-1.373232,1
2024-06-14 11:01:51.297,-18.83,-73.71,19.67,0.10052799999999999,0.035624,-1.394216,1
2024-06-14 11:01:51.302,-10.78,-51.24,19.25,0.1586,-0.085888,-1.175592,1
2024-06-14 11:01:51.307,2.45,-38.08,11.62,0.125904,0.030256,-1.03456,1
2024-06-14 11:01:51.312,13.37,-29.96,6.65,0.182024,-0.064416,-1.063352,1
2024-06-14 11:01:51.317,17.78,-33.25,1.12,0.124928,0.002928,-1.020408,1
2024-06-14 11:01:51.322,20.09,-15.89,-2.1,0.083448,-0.020007999999999998,-1.01992,1
2024-06-14 11:01:51.327,22.26,-11.2,1.96,0.148352,0.244976,-0.9677039999999999,1
2024-06-14 11:01:51.331,23.24,-8.61,1.82,0.073688,-0.182512,-1.103368,1
2024-06-14 11:01:51.336,25.27,-8.68,2.87,0.06490399999999999,-0.01952,-1.08092,2
