time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 13:02:07.505,275.1,-510.23,60.69,7.196536,-4.920504,-5.583696,1
2024-06-14 13:02:07.510,158.97,-370.79,91.7,0.045872,0.486048,0.325496,1
2024-06-14 13:02:07.515,258.3,-411.81,72.1,-3.278872,0.191296,3.32084,1
2024-06-14 13:02:07.520,296.66,-571.55,55.37,0.513864,0.6944239999999999,-1.227808,1
2024-06-14 13:02:07.525,319.76,-567.98,64.54,-0.11419199999999999,-0.193248,-2.808928,1
2024-06-14 13:02:07.529,220.57,-540.61,87.71,-0.220576,-0.187392,-1.673352,1
2024-06-14 13:02:07.534,149.1,-520.8,117.67,0.854976,-0.23668,-1.79096,1
2024-06-14 13:02:07.539,70.07,-482.3,140.0,1.1477760000000001,-0.46311199999999997,-2.431704,1
2024-06-14 13:02:07.544,34.3,-434.14,138.95,1.020896,-0.903288,-2.745488,1
2024-06-14 13:02:07.549,34.37,-400.75,111.65,0.510448,-1.0984880000000001,-2.951424,1
2024-06-14 13:02:07.554,29.54,-363.09,70.42,0.42456,-1.140944,-3.37208,1
2024-06-14 13:02:07.558,38.99,-311.5,33.67,0.41236,-1.0248,-3.307664,1
2024-06-14 13:02:07.563,6.51,-240.38,6.72,0.569496,-0.544608,-2.702544,1
2024-06-14 13:02:07.568,-33.81,-178.57,-6.86,0.38844799999999996,-0.348432,-2.15696,1
2024-06-14 13:02:07.573,-4.55,-131.95,-10.15,0.384056,-0.088328,-1.90076,1
2024-06-14 13:02:07.578,-9.31,-64.4,-9.17,0.25376,0.103456,-1.4747359999999998,1
2024-06-14 13:02:07.583,-9.59,-33.46,-4.2,0.327936,0.06734399999999999,-1.267336,1
2024-06-14 13:02:07.587,-8.47,-29.05,0.7,0.36844,0.077592,-1.177056,1
2024-06-14 13:02:07.592,-9.73,-24.64,1.33,0.01952,0.061,-1.024312,1
2024-06-14 13:02:07.597,-0.42,-18.97,-1.82,-0.011712,-0.000488,-0.9891759999999999,1
2024-06-14 13:02:07.602,-2.03,-8.47,-0.63,-0.079544,0.028304,-0.999912,1
2024-06-14 13:02:07.607,3.01,-4.48,-2.24,0.016104,-0.022448,-1.0096720000000001,1
2024-06-14 13:02:07.612,0.84,1.19,-1.96,0.034648,-0.035624,-1.02236,2
2024-06-14 13:02:07.616,3.08,1.68,-0.98,-0.0034159999999999998,0.002928,-1.102392,2
2024-06-14 13:02:07.621,2.17,-2.94,-0.49,-0.033184,-0.035624,-1.073112,2
2024-06-14 13:02:07.626,1.33,-5.25,0.35,-0.034159999999999996,-0.045384,-1.0457839999999998,2
2024-06-14 13:02:07.631,0.21,-7.14,0.63,-0.032695999999999996,-0.030256,-1.04188,2
2024-06-14 13:02:07.636,-0.84,-8.54,0.63,-0.037576,-0.0034159999999999998,-1.038952,2
2024-06-14 13:02:07.641,0.35,-10.36,0.63,-0.045872,0.002928,-1.040904,2
2024-06-14 13:02:07.645,0.28,-12.25,0.7,-0.049775999999999994,-0.011224,-1.054568,2
2024-06-14 13:02:07.650,1.05,-14.84,0.63,-0.05124,-0.005368,-1.061888,2
2024-06-14 13:02:07.655,1.33,-16.94,0.35,-0.052704,0.010248,-1.051152,2
2024-06-14 13:02:07.660,2.94,-17.85,-0.21,-0.051728,0.014152,-1.0384639999999998,2
2024-06-14 13:02:07.665,3.92,-18.83,-0.35,-0.04636,-0.0034159999999999998,-1.0282159999999998,2
2024-06-14 13:02:07.670,4.55,-19.53,-0.28,-0.042944,-0.009272,-1.0282159999999998,2
2024-06-14 13:02:07.674,4.76,-20.44,-0.21,-0.038064,-0.015616,-1.030656,2
2024-06-14 13:02:07.679,4.48,-21.35,-0.14,-0.038552,-0.023912,-1.0365119999999999,2
2024-06-14 13:02:07.684,3.92,-22.68,0.0,-0.038552,-0.027327999999999998,-1.0457839999999998,2
2024-06-14 13:02:07.689,3.15,-24.64,0.14,-0.042455999999999994,-0.028304,-1.047248,2
2024-06-14 13:02:07.694,2.66,-26.74,0.28,-0.044408,-0.022936,-1.04188,2
2024-06-14 13:02:07.698,2.38,-28.77,0.14,-0.042944,-0.012688,-1.044808,2
2024-06-14 13:02:07.703,2.45,-32.41,-0.07,-0.0366,-0.00976,-1.041392,2
2024-06-14 13:02:07.708,3.01,-32.97,-0.21,-0.032208,-0.013176,-1.037,2
2024-06-14 13:02:07.713,3.15,-33.95,-0.14,-0.025376,-0.011712,-1.030656,2
2024-06-14 13:02:07.718,4.13,-33.32,-0.14,-0.020496,-0.016104,-1.02724,2
2024-06-14 13:02:07.723,7.42,-28.91,0.35,-0.017079999999999998,-0.022448,-1.0574959999999998,2
2024-06-14 13:02:07.727,4.9,-15.4,0.14,-0.016592,-0.019032,-1.0238239999999998,2
2024-06-14 13:02:07.732,3.57,-14.49,0.0,-0.015128,-0.020007999999999998,-1.021872,2
2024-06-14 13:02:07.737,3.57,-14.56,-0.28,-0.013176,-0.017079999999999998,-1.01504,2
2024-06-14 13:02:07.742,3.29,-15.47,-0.35,-0.00976,-0.013176,-1.016016,2
2024-06-14 13:02:07.747,3.01,-15.68,0.14,-0.013663999999999999,-0.015616,-1.01748,2
2024-06-14 13:02:07.752,2.73,-24.5,0.0,-0.010248,-0.010736,-1.020408,2
2024-06-14 13:02:07.756,3.29,-17.29,-0.35,-0.00976,-0.013176,-1.021384,2
2024-06-14 13:02:07.761,-2.59,-12.39,-0.49,-0.005856,-0.012688,-1.067256,2
2024-06-14 13:02:07.766,-5.81,-9.8,-0.14,-0.00732,-0.012688,-1.003816,2
2024-06-14 13:02:07.771,-10.99,-59.22,-3.92,-0.012688,-0.011224,-0.987712,2
2024-06-14 13:02:07.776,-10.78,31.5,2.8,-0.013176,-0.02196,-1.015528,2
2024-06-14 13:02:07.781,-6.3,33.39,6.86,-0.010248,-0.013176,-0.989664,2
2024-06-14 13:02:07.785,-10.29,27.23,3.15,-0.00976,-0.019032,-1.048712,2
2024-06-14 13:02:07.790,-7.49,14.42,-1.89,-0.005856,-0.002928,-1.0492000000000001,2
2024-06-14 13:02:07.795,-10.78,3.99,-2.38,-0.007808,-0.011712,-1.0872639999999998,2
2024-06-14 13:02:07.800,-2.87,-9.1,1.61,-0.012688,-0.037088,-1.0857999999999999,2
2024-06-14 13:02:07.805,-0.21,-20.09,2.8,-0.011224,-0.045872,-1.136552,2
2024-06-14 13:02:07.810,0.63,-27.09,0.91,-0.00976,-0.027816,-1.208776,2
2024-06-14 13:02:07.814,2.8,-36.4,-0.7,-0.012688,-0.02196,-1.1424079999999999,2
2024-06-14 13:02:07.819,4.2,-41.93,1.4,0.006344,-0.02196,-1.098976,2
2024-06-14 13:02:07.824,3.01,-43.68,3.99,-0.003904,-0.004391999999999999,-1.233664,2
2024-06-14 13:02:07.829,-4.97,-39.83,1.26,-0.0034159999999999998,0.023424,-1.146312,2
2024-06-14 13:02:07.834,-3.64,-43.96,-0.91,0.019032,-0.043432000000000005,-1.116056,2
2024-06-14 13:02:07.838,-4.55,-46.62,-0.35,0.020007999999999998,-0.012199999999999999,-1.084824,2
2024-06-14 13:02:07.843,-5.32,-47.46,0.49,0.021472,0.006344,-1.064328,2
2024-06-14 13:02:07.848,-7.56,-48.58,-0.21,0.029768,0.00976,-1.040416,2
2024-06-14 13:02:07.853,-6.72,-48.86,-1.89,0.040504,-0.010736,-1.0091839999999999,2
2024-06-14 13:02:07.858,-5.81,-48.16,-2.31,0.047335999999999996,-0.0068319999999999995,-0.9823439999999999,2
2024-06-14 13:02:07.863,-6.79,-46.97,-1.75,0.056119999999999996,0.001464,-0.950136,2
2024-06-14 13:02:07.867,-6.86,-45.36,-1.19,0.06831999999999999,-0.011712,-0.925736,2
2024-06-14 13:02:07.872,-6.37,-43.05,-1.75,0.079056,-0.015616,-0.902312,2
2024-06-14 13:02:07.877,-5.88,-40.32,-2.31,0.083936,-0.01952,-0.891088,2
2024-06-14 13:02:07.882,-6.16,-37.45,-1.75,0.08784,-0.020007999999999998,-0.892552,2
2024-06-14 13:02:07.887,-6.09,-34.79,-0.7,0.08686400000000001,-0.024399999999999998,-0.9184159999999999,2
2024-06-14 13:02:07.892,-6.23,-32.41,-0.49,0.08930400000000001,-0.020984,-0.9437920000000001,2
2024-06-14 13:02:07.896,-6.3,-31.08,-0.98,0.083448,-0.005368,-0.97844,2
2024-06-14 13:02:07.901,-6.72,-30.31,-1.26,0.08052,0.005368,-1.0189439999999998,2
2024-06-14 13:02:07.906,-6.72,-30.66,-1.26,0.078568,0.010736,-1.0482239999999998,2
2024-06-14 13:02:07.911,-6.86,-31.71,-1.33,0.078568,0.012199999999999999,-1.074088,2
2024-06-14 13:02:07.916,-7.35,-33.39,-1.89,0.077104,-0.005856,-1.098976,2
2024-06-14 13:02:07.921,-7.77,-35.63,-2.38,0.076128,-0.008296,-1.120936,2
2024-06-14 13:02:07.925,-8.26,-38.5,-2.31,0.076616,-0.00976,-1.135576,2
2024-06-14 13:02:07.930,-8.96,-41.09,-1.96,0.079056,-0.013663999999999999,-1.13216,2
2024-06-14 13:02:07.935,-8.89,-43.89,-1.89,0.078568,-0.0068319999999999995,-1.1521679999999999,2
2024-06-14 13:02:07.940,-9.03,-47.25,-2.17,0.075152,-0.020007999999999998,-1.1838879999999998,2
2024-06-14 13:02:07.945,-8.89,-51.66,-1.96,0.07466400000000001,-0.01952,-1.21512,2
2024-06-14 13:02:07.950,-8.89,-56.56,-1.47,0.07027199999999999,-0.011224,-1.2561120000000001,2
2024-06-14 13:02:07.954,-8.96,-62.23,-1.33,0.066368,-0.008296,-1.301008,2
2024-06-14 13:02:07.959,-9.24,-69.02,-1.47,0.061975999999999996,0.000488,-1.349808,2
2024-06-14 13:02:07.964,-8.89,-76.72,-1.82,0.061,0.016104,-1.374696,2
2024-06-14 13:02:07.969,-8.61,-85.54,-2.24,0.061,0.023424,-1.411296,2
2024-06-14 13:02:07.974,-7.84,-94.92,-2.52,0.059536,0.014152,-1.412272,2
2024-06-14 13:02:07.979,-7.56,-104.09,-2.94,0.06978399999999998,0.013176,-1.411296,2
2024-06-14 13:02:07.983,-7.21,-113.19,-3.36,0.07466400000000001,-0.002928,-1.419592,2
2024-06-14 13:02:07.988,-7.07,-122.22,-3.29,0.0732,-0.015616,-1.42496,2
2024-06-14 13:02:07.993,-6.86,-131.81,-3.22,0.071248,0.000976,-1.452288,2
2024-06-14 13:02:07.998,-6.58,-141.68,-3.57,0.06539199999999999,0.00488,-1.47132,2
2024-06-14 13:02:08.003,-7.07,-152.25,-3.99,0.07027199999999999,0.003904,-1.485472,2
2024-06-14 13:02:08.007,-6.72,-162.61,-4.41,0.064416,0.018544,-1.483032,3
2024-06-14 13:02:08.012,-6.37,-173.74,-4.9,0.069296,0.017079999999999998,-1.489864,3
2024-06-14 13:02:08.017,-5.88,-184.87,-5.67,0.07076,0.016592,-1.5064559999999998,3
2024-06-14 13:02:08.022,-5.53,-205.17,-6.37,0.061,0.0732,-1.7519200000000001,3
2024-06-14 13:02:08.027,-2.24,-212.66,-7.77,0.046848,0.093208,-1.6357760000000001,3
2024-06-14 13:02:08.032,2.24,-226.03,-9.52,0.028791999999999998,0.132736,-1.74948,3
2024-06-14 13:02:08.036,6.86,-243.46,-11.83,0.022448,0.183,-1.8573279999999999,3
2024-06-14 13:02:08.041,11.83,-261.24,-15.61,0.004391999999999999,0.18934399999999998,-1.8426879999999999,3
2024-06-14 13:02:08.046,15.4,-279.3,-17.99,0.0068319999999999995,0.124928,-2.00568,3
2024-06-14 13:02:08.051,17.5,-301.28,-20.02,-0.016592,0.052216,-2.126216,3
2024-06-14 13:02:08.056,21.98,-321.37,-20.37,-0.040992,0.042455999999999994,-2.2482159999999998,3
2024-06-14 13:02:08.061,24.64,-345.73,-20.79,-0.077592,0.088328,-2.395592,3
2024-06-14 13:02:08.065,25.13,-373.1,-21.98,-0.08247199999999999,0.150792,-2.5122240000000002,3
2024-06-14 13:02:08.070,22.68,-399.7,-23.73,-0.02928,0.198128,-2.635688,3
2024-06-14 13:02:08.075,16.17,-426.3,-25.69,0.052704,0.305,-2.863584,3
2024-06-14 13:02:08.080,10.43,-449.54,-28.21,0.118096,0.517768,-3.182248,3
2024-06-14 13:02:08.085,-3.01,-473.55,-35.0,0.162016,0.762744,-3.524336,3
2024-06-14 13:02:08.090,-23.73,-497.77,-43.96,0.186416,0.7759199999999999,-3.5648400000000002,3
2024-06-14 13:02:08.094,-57.96,-515.48,-53.06,0.29768,0.711992,-3.412096,3
2024-06-14 13:02:08.099,-96.32,-533.05,-56.63,0.32452,0.6021920000000001,-3.422344,3
2024-06-14 13:02:08.104,-143.71,-542.15,-60.97,0.27181599999999995,0.647088,-3.403312,3
2024-06-14 13:02:08.109,-185.71,-541.52,-68.18,0.21032800000000001,0.5968239999999999,-3.501888,3
