time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 12:23:59.858,-281.68,-196.98,67.13,-3.0075439999999998,-1.304424,1.981768,1
2024-06-14 12:23:59.863,-362.6,-260.4,71.12,-0.13810399999999998,-0.183976,-1.970056,1
2024-06-14 12:23:59.868,-360.36,-279.65,49.63,-1.325408,0.24888,-2.1706239999999997,1
2024-06-14 12:23:59.873,-294.98,-305.27,14.07,-0.16348,-0.042944,-2.102792,1
2024-06-14 12:23:59.878,-204.61,-323.12,-21.35,0.177632,-0.047824,-2.128168,1
2024-06-14 12:23:59.882,-138.11,-326.41,-53.41,0.426024,0.159088,-2.190632,1
2024-06-14 12:23:59.887,-80.99,-310.03,-67.55,0.521184,0.49288,-2.4902640000000003,1
2024-06-14 12:23:59.892,-48.51,-289.31,-64.4,0.36844,0.6095119999999999,-2.606896,2
2024-06-14 12:23:59.897,-42.84,-246.19,-49.14,0.27620799999999995,0.653432,-2.59616,2
2024-06-14 12:23:59.902,-27.93,-203.14,-25.13,0.17860800000000002,0.56852,-2.305312,2
2024-06-14 12:23:59.907,-18.27,-181.51,-8.12,0.09711199999999999,0.28792,-2.0095840000000003,2
2024-06-14 12:23:59.911,3.01,-170.94,-8.61,0.13956799999999997,0.08247199999999999,-1.841224,2
2024-06-14 12:23:59.916,18.69,-151.97,-17.92,0.13419999999999999,0.003904,-1.560624,2
2024-06-14 12:23:59.921,13.37,-121.17,-25.62,0.20251999999999998,-0.006344,-1.6972639999999999,2
2024-06-14 12:23:59.926,9.45,-89.11,-27.79,0.090768,-0.035135999999999994,-1.4844959999999998,2
2024-06-14 12:23:59.931,0.35,-73.71,-26.74,0.077104,0.017079999999999998,-1.372744,2
2024-06-14 12:23:59.936,-0.98,-64.12,-23.38,0.079056,0.06490399999999999,-1.252208,2
2024-06-14 12:23:59.940,0.35,-60.83,-19.39,0.011712,0.087352,-1.1541199999999998,2
2024-06-14 12:23:59.945,1.82,-47.11,-16.59,0.00244,0.119072,-1.115568,2
2024-06-14 12:23:59.950,3.57,-38.5,-12.32,0.020984,0.036112000000000005,-1.101904,2
2024-06-14 12:23:59.955,-41.72,109.34,-12.32,0.07222400000000001,-0.003904,-1.1424079999999999,2
2024-06-14 12:23:59.960,7.98,19.46,-5.95,0.108336,-0.01464,-1.127768,2
2024-06-14 12:23:59.965,-6.51,12.32,-2.59,0.076616,-0.046848,-1.13948,2
2024-06-14 12:23:59.969,-5.18,8.96,-0.98,0.056608,0.00732,-1.173152,2
2024-06-14 12:23:59.974,2.87,2.17,-1.47,0.015128,0.030744,-1.1575360000000001,2
2024-06-14 12:23:59.979,-4.62,-1.54,-2.94,-0.017567999999999997,0.034648,-1.129232,2
2024-06-14 12:23:59.984,4.76,-7.91,-2.31,-0.01952,0.035624,-1.1048319999999998,2
2024-06-14 12:23:59.989,3.29,-7.56,-0.7,-0.020496,0.024887999999999997,-1.101416,2
2024-06-14 12:23:59.994,2.38,-10.29,0.56,-0.019032,0.013663999999999999,-1.102392,2
2024-06-14 12:23:59.998,5.74,-13.44,0.84,-0.030744,0.001952,-1.10044,2
2024-06-14 12:24:00.003,1.05,-16.38,0.28,-0.040015999999999996,0.005368,-1.104344,2
2024-06-14 12:24:00.008,1.96,-19.95,0.28,-0.039528,0.012199999999999999,-1.10776,2
2024-06-14 12:24:00.013,1.54,-24.71,0.77,-0.044408,0.030256,-1.111664,2
2024-06-14 12:24:00.018,0.84,-27.23,1.82,-0.041968,0.036112000000000005,-1.111176,2
2024-06-14 12:24:00.023,4.06,-29.4,2.1,-0.035624,0.040015999999999996,-1.11752,2
2024-06-14 12:24:00.028,5.18,-32.06,1.82,-0.040992,0.044896,-1.1180080000000001,2
2024-06-14 12:24:00.032,7.56,-33.46,0.98,-0.027816,0.042455999999999994,-1.121912,2
2024-06-14 12:24:00.037,9.8,-35.56,0.91,-0.038552,0.041968,-1.123376,2
2024-06-14 12:24:00.042,10.64,-37.24,1.26,-0.027816,0.018056000000000003,-1.109224,2
2024-06-14 12:24:00.047,11.9,-38.71,1.12,0.006344,0.015128,-1.08824,2
2024-06-14 12:24:00.052,12.04,-41.16,1.26,-0.022936,0.059048,-1.1126399999999999,2
2024-06-14 12:24:00.057,-16.1,87.29,-2.31,-0.047824,0.048312,-1.147288,2
2024-06-14 12:24:00.061,16.8,-34.72,-0.63,-0.060512,0.035624,-1.1243519999999998,2
2024-06-14 12:24:00.066,16.31,-40.95,0.07,-0.07173600000000001,0.02684,-1.114104,2
2024-06-14 12:24:00.071,10.36,-43.33,1.26,-0.047824,0.041479999999999996,-1.116056,2
2024-06-14 12:24:00.076,17.08,-49.0,0.91,0.000488,0.025864,-1.10776,2
2024-06-14 12:24:00.081,11.69,-50.68,-0.28,0.004391999999999999,0.00976,-1.107272,2
2024-06-14 12:24:00.086,11.83,-54.6,-1.19,-0.0034159999999999998,0.008783999999999998,-1.113128,2
2024-06-14 12:24:00.090,11.27,-57.96,-1.05,-0.000488,0.007808,-1.109224,2
2024-06-14 12:24:00.095,7.35,-56.56,-0.21,0.006344,-0.01464,-1.097512,2
2024-06-14 12:24:00.100,9.1,-31.5,0.77,0.020984,-0.017079999999999998,-1.0970239999999998,2
2024-06-14 12:24:00.105,5.04,-71.4,0.35,0.034159999999999996,-0.018544,-1.0760399999999999,2
2024-06-14 12:24:00.110,1.26,-65.24,0.35,0.037576,-0.011712,-1.070184,2
2024-06-14 12:24:00.115,0.42,-61.39,-0.14,0.045384,-0.00732,-1.064816,2
2024-06-14 12:24:00.119,0.07,-59.85,0.07,0.048799999999999996,-0.011224,-1.070184,2
2024-06-14 12:24:00.124,-2.87,-57.19,0.84,0.050752,-0.00488,-1.072624,2
2024-06-14 12:24:00.129,-1.47,-56.91,1.61,0.057583999999999996,0.0,-1.0775039999999998,2
2024-06-14 12:24:00.134,-1.54,-56.14,1.75,0.061975999999999996,0.001464,-1.0755519999999998,2
2024-06-14 12:24:00.139,-1.61,-58.73,1.68,0.06783199999999999,-0.000488,-1.071648,2
2024-06-14 12:24:00.144,-1.61,-70.0,1.82,0.06978399999999998,0.007808,-1.074088,2
2024-06-14 12:24:00.148,-0.28,-56.77,1.89,0.073688,0.009272,-1.0711600000000001,2
2024-06-14 12:24:00.153,-0.28,-55.16,2.45,0.08247199999999999,0.014152,-1.071648,2
2024-06-14 12:24:00.158,1.12,-54.6,3.22,0.084424,0.009272,-1.0853119999999998,2
2024-06-14 12:24:00.163,2.94,-53.97,2.87,0.08637600000000001,0.011224,-1.089704,2
2024-06-14 12:24:00.168,4.48,-54.6,2.73,0.093208,0.015128,-1.086776,2
2024-06-14 12:24:00.173,5.32,-53.06,1.68,0.098088,0.016104,-1.108736,2
2024-06-14 12:24:00.177,8.4,-54.53,1.96,0.09028,0.00488,-1.117032,2
2024-06-14 12:24:00.182,6.93,-54.81,1.96,0.101504,0.008783999999999998,-1.092632,2
2024-06-14 12:24:00.187,3.15,-53.34,1.75,0.108824,0.00976,-1.091168,2
2024-06-14 12:24:00.192,5.04,-51.87,1.61,0.124928,-0.000976,-1.07848,2
2024-06-14 12:24:00.197,4.2,-52.71,1.4,0.128832,0.006344,-1.075064,2
2024-06-14 12:24:00.202,5.25,-51.59,1.26,0.126392,0.000976,-1.072136,2
2024-06-14 12:24:00.206,7.63,-52.36,2.03,0.12980799999999998,-0.009272,-1.059448,2
2024-06-14 12:24:00.211,8.19,-53.9,2.31,0.13810399999999998,-0.008296,-1.109224,2
2024-06-14 12:24:00.216,8.4,-53.2,2.45,0.132736,-0.021472,-1.126792,2
2024-06-14 12:24:00.221,10.08,-55.23,2.8,0.14444800000000002,-0.035135999999999994,-1.135576,2
2024-06-14 12:24:00.226,16.94,-56.91,4.06,0.138592,0.001464,-1.147288,2
2024-06-14 12:24:00.231,12.95,-59.43,3.64,0.150304,-0.001952,-1.143384,2
2024-06-14 12:24:00.236,14.0,-59.99,3.85,0.152256,-0.00976,-1.135576,2
2024-06-14 12:24:00.240,12.39,-61.95,3.64,0.156648,0.016592,-1.143872,2
2024-06-14 12:24:00.245,16.59,-60.69,3.29,0.174216,0.016104,-1.141432,2
2024-06-14 12:24:00.250,23.52,-58.8,3.36,0.159576,0.040015999999999996,-1.187792,2
2024-06-14 12:24:00.255,27.02,-61.81,2.52,0.171776,0.054168,-1.2209759999999998,2
2024-06-14 12:24:00.260,29.05,-66.22,2.1,0.174704,-0.015128,-1.241472,2
2024-06-14 12:24:00.265,31.71,-70.28,2.17,0.17372800000000002,0.009272,-1.236104,2
2024-06-14 12:24:00.269,32.06,-75.04,2.38,0.17860800000000002,-0.042455999999999994,-1.252208,2
2024-06-14 12:24:00.274,33.6,-78.26,2.17,0.188856,0.002928,-1.2341520000000001,2
2024-06-14 12:24:00.279,34.51,-81.76,1.82,0.19666399999999998,-0.021472,-1.2878319999999999,2
2024-06-14 12:24:00.284,36.19,-85.75,1.68,0.20105599999999998,-0.015128,-1.30784,2
2024-06-14 12:24:00.289,36.61,-90.93,1.54,0.199592,-0.02684,-1.3390719999999998,2
2024-06-14 12:24:00.294,37.8,-98.63,1.89,0.195688,-0.040992,-1.397632,2
2024-06-14 12:24:00.298,38.57,-107.73,2.31,0.205936,-0.07173600000000001,-1.450336,2
2024-06-14 12:24:00.303,37.03,-116.62,2.59,0.20788800000000002,-0.024887999999999997,-1.436672,2
2024-06-14 12:24:00.308,34.58,-124.88,2.38,0.20788800000000002,-0.021472,-1.462048,2
2024-06-14 12:24:00.313,34.23,-133.98,2.03,0.218136,-0.042455999999999994,-1.4654639999999999,2
2024-06-14 12:24:00.318,37.38,-143.43,2.17,0.211792,-0.020984,-1.469368,2
2024-06-14 12:24:00.323,39.48,-153.09,1.82,0.208376,0.002928,-1.4966959999999998,2
2024-06-14 12:24:00.327,41.23,-162.89,1.05,0.208376,0.010248,-1.503528,2
2024-06-14 12:24:00.332,45.36,-170.66,0.63,0.21228,-0.010736,-1.5415919999999999,2
2024-06-14 12:24:00.337,45.43,-184.03,-0.14,0.208376,0.01952,-1.5128,2
2024-06-14 12:24:00.342,42.98,-197.47,-0.35,0.22838399999999998,0.011224,-1.541104,2
2024-06-14 12:24:00.347,54.18,-202.65,-0.77,0.227408,-0.001464,-1.5845360000000002,2
2024-06-14 12:24:00.352,55.37,-215.04,-1.4,0.22447999999999999,-0.028304,-1.6040560000000001,2
2024-06-14 12:24:00.356,56.35,-227.08,-1.26,0.242048,-0.048312,-1.6138160000000001,3
2024-06-14 12:24:00.361,56.28,-239.26,-0.91,0.23472800000000002,-0.023424,-1.74948,3
2024-06-14 12:24:00.366,56.0,-254.66,-0.98,0.221552,-0.030744,-1.750944,3
2024-06-14 12:24:00.371,58.24,-270.34,-0.56,0.223992,-0.042944,-1.8207280000000001,3
2024-06-14 12:24:00.376,59.85,-286.23,-0.07,0.221552,-0.07564,-1.835856,3
2024-06-14 12:24:00.381,61.25,-304.15,1.19,0.217648,-0.11663199999999999,-1.9451679999999998,3
2024-06-14 12:24:00.385,62.93,-321.02,2.73,0.210816,-0.13322399999999998,-2.039352,3
2024-06-14 12:24:00.390,63.49,-340.62,4.41,0.20251999999999998,-0.095648,-2.102304,3
2024-06-14 12:24:00.395,62.65,-360.99,4.27,0.243512,-0.090768,-2.2652959999999998,3
2024-06-14 12:24:00.400,69.37,-382.62,3.57,0.229848,-0.102968,-2.01788,3
2024-06-14 12:24:00.405,65.24,-401.59,2.1,0.28450400000000003,0.126392,-2.619096,3
2024-06-14 12:24:00.410,56.0,-423.08,-1.05,0.28450400000000003,0.060024,-2.8030720000000002,3
2024-06-14 12:24:00.414,42.35,-445.27,-2.59,0.38552,0.061975999999999996,-2.955328,3
2024-06-14 12:24:00.419,29.54,-463.68,-5.46,0.416264,-0.046848,-3.251544,3
2024-06-14 12:24:00.424,24.5,-488.67,-7.07,0.40894400000000003,-0.220088,-3.268136,3
2024-06-14 12:24:00.429,21.7,-508.55,-7.35,0.316224,-0.348432,-3.4809039999999998,3
2024-06-14 12:24:00.434,24.99,-525.0,-4.06,0.25961599999999996,-0.38356799999999996,-3.661464,3
2024-06-14 12:24:00.439,12.53,-539.56,-0.07,0.253272,-0.09711199999999999,-3.819088,3
2024-06-14 12:24:00.443,-10.99,-557.48,-3.92,0.16104,-0.059048,-3.619008,3
2024-06-14 12:24:00.448,-21.35,-572.04,-8.68,0.028791999999999998,-0.241072,-3.3608559999999996,3
2024-06-14 12:24:00.453,-18.13,-583.52,-12.18,-0.260104,-0.45383999999999997,-3.493592,3
2024-06-14 12:24:00.458,-9.87,-592.62,-8.82,-0.196176,-0.421632,-3.378424,3
