time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 12:25:47.992,-317.45,-324.87,22.68,5.471456,1.469368,-10.40416,1
2024-06-14 12:25:47.996,-283.78,-234.85,20.51,-1.0579839999999998,-0.346968,2.477576,1
2024-06-14 12:25:48.001,-343.91,-130.2,38.78,-1.147288,-0.17568,-0.758352,1
2024-06-14 12:25:48.006,-377.72,-202.44,27.37,-1.082384,0.038064,-2.425848,1
2024-06-14 12:25:48.011,-331.87,-294.63,-1.89,-0.5958479999999999,0.242048,-2.437072,1
2024-06-14 12:25:48.016,-248.64,-317.87,-32.2,-0.18104800000000001,0.06490399999999999,-2.412184,1
2024-06-14 12:25:48.021,-166.6,-326.13,-60.97,0.5094719999999999,0.17568,-2.3677759999999997,1
2024-06-14 12:25:48.025,-108.57,-318.43,-74.27,0.5572959999999999,0.643184,-2.711328,1
2024-06-14 12:25:48.030,-72.66,-304.15,-70.35,0.46799199999999996,0.693448,-2.708888,1
2024-06-14 12:25:48.035,-45.08,-269.78,-58.31,0.340624,0.57828,-2.55712,1
2024-06-14 12:25:48.040,-27.72,-222.32,-37.03,0.2196,0.631472,-2.4600079999999998,2
2024-06-14 12:25:48.045,-23.17,-195.93,-15.89,0.08247199999999999,0.315248,-2.22284,2
2024-06-14 12:25:48.050,-2.59,-182.77,-13.93,0.08686400000000001,0.078568,-1.74216,2
2024-06-14 12:25:48.054,15.96,-168.07,-25.41,0.16104,0.043432000000000005,-1.6621279999999998,2
2024-06-14 12:25:48.059,22.61,-155.26,-34.09,0.077592,-0.005368,-1.465952,2
2024-06-14 12:25:48.064,12.32,-120.4,-36.61,0.08686400000000001,0.012199999999999999,-1.547448,2
2024-06-14 12:25:48.069,4.2,-91.21,-32.13,0.022448,0.011224,-1.39324,2
2024-06-14 12:25:48.074,-1.68,-72.66,-26.88,0.047824,0.051728,-1.264896,2
2024-06-14 12:25:48.079,-5.39,-65.03,-23.45,0.046848,0.063928,-1.173152,2
2024-06-14 12:25:48.083,-5.95,-55.51,-21.21,0.049288,0.09516,-1.1843759999999999,2
2024-06-14 12:25:48.088,-6.09,-43.68,-17.43,0.079056,0.05124,-1.139968,2
2024-06-14 12:25:48.093,-11.34,-35.91,-10.01,0.12932,-0.037576,-1.15656,2
2024-06-14 12:25:48.098,-15.96,-32.41,-5.39,0.157624,-0.00732,-1.170712,2
2024-06-14 12:25:48.103,-17.36,-27.93,-1.33,0.101016,-0.016104,-1.192672,2
2024-06-14 12:25:48.108,-15.19,-27.58,-1.05,0.064416,0.036112000000000005,-1.20048,2
2024-06-14 12:25:48.112,-9.8,-26.18,-1.82,0.01464,0.049288,-1.1697359999999999,2
2024-06-14 12:25:48.117,-5.53,-25.27,-1.19,-0.006344,0.055144,-1.137528,2
2024-06-14 12:25:48.122,-2.1,-22.75,0.63,-0.000976,0.04636,-1.1082480000000001,2
2024-06-14 12:25:48.127,0.35,-21.42,1.33,-0.008783999999999998,0.040504,-1.098,2
2024-06-14 12:25:48.132,2.17,-20.51,1.19,-0.011712,0.017567999999999997,-1.100928,2
2024-06-14 12:25:48.137,1.96,-21.07,1.05,-0.021472,0.011712,-1.1053199999999999,2
2024-06-14 12:25:48.141,0.91,-21.7,1.33,-0.027327999999999998,0.010736,-1.11752,2
2024-06-14 12:25:48.146,0.56,-23.94,1.75,-0.033671999999999994,0.016592,-1.117032,2
2024-06-14 12:25:48.151,0.91,-26.25,2.31,-0.043432000000000005,0.033184,-1.116056,2
2024-06-14 12:25:48.156,2.87,-28.14,2.31,-0.032208,0.042455999999999994,-1.118984,2
2024-06-14 12:25:48.161,5.11,-29.4,2.31,-0.046848,0.06539199999999999,-1.1248399999999998,2
2024-06-14 12:25:48.166,7.84,-30.8,1.75,-0.017079999999999998,0.023912,-1.109224,2
2024-06-14 12:25:48.170,9.66,-33.81,2.03,-0.057095999999999994,0.06539199999999999,-1.133136,2
2024-06-14 12:25:48.175,12.04,-35.7,1.82,-0.040015999999999996,0.027816,-1.119472,2
2024-06-14 12:25:48.180,12.95,-37.38,1.26,0.015128,0.022936,-1.086776,2
2024-06-14 12:25:48.185,13.3,-39.06,1.26,-0.009272,0.05856,-1.103368,2
2024-06-14 12:25:48.190,13.86,-41.09,1.05,-0.029768,0.074176,-1.123376,2
2024-06-14 12:25:48.195,21.77,-48.3,1.4,-0.043432000000000005,0.066856,-1.129232,2
2024-06-14 12:25:48.199,17.15,-32.2,1.82,-0.040504,0.051728,-1.1248399999999998,2
2024-06-14 12:25:48.204,12.25,-36.33,1.61,-0.0366,0.049288,-1.1180080000000001,2
2024-06-14 12:25:48.209,17.43,-39.41,0.56,-0.012199999999999999,0.050752,-1.1102,2
2024-06-14 12:25:48.214,10.85,-40.88,-0.49,0.0034159999999999998,0.047824,-1.105808,2
2024-06-14 12:25:48.219,12.67,-43.33,-0.77,0.042944,0.035624,-1.0970239999999998,2
2024-06-14 12:25:48.224,11.97,-43.54,-0.42,0.076128,0.00976,-1.09068,2
2024-06-14 12:25:48.228,10.22,-45.57,0.42,0.037576,-0.038552,-1.086776,2
2024-06-14 12:25:48.233,1.26,-43.19,0.0,-0.030256,0.005368,-1.103856,2
2024-06-14 12:25:48.238,9.94,-54.46,0.07,0.030256,-0.000488,-1.096048,2
2024-06-14 12:25:48.243,5.6,-55.86,0.14,0.023912,-0.012688,-1.091656,2
2024-06-14 12:25:48.248,2.59,-58.45,0.49,0.039528,-0.013663999999999999,-1.086776,2
2024-06-14 12:25:48.253,3.15,-61.6,0.91,0.043432000000000005,-0.00244,-1.077016,2
2024-06-14 12:25:48.257,-0.91,-63.14,1.19,0.050752,-0.010736,-1.073112,2
2024-06-14 12:25:48.262,-0.98,-60.9,1.47,0.061,-0.004391999999999999,-1.070184,2
2024-06-14 12:25:48.267,-2.1,-63.14,1.68,0.061,0.002928,-1.075064,2
2024-06-14 12:25:48.272,-3.29,-61.95,1.89,0.061,-0.001464,-1.083848,2
2024-06-14 12:25:48.277,-1.4,-55.93,2.52,0.061975999999999996,0.011224,-1.097512,2
2024-06-14 12:25:48.282,-1.96,-65.59,3.01,0.077104,0.033184,-1.092144,2
2024-06-14 12:25:48.286,-0.49,-65.59,2.8,0.087352,0.020496,-1.0970239999999998,2
2024-06-14 12:25:48.291,-0.28,-66.64,2.59,0.08686400000000001,0.01952,-1.091168,2
2024-06-14 12:25:48.296,1.05,-65.24,2.38,0.08784,0.011712,-1.113128,2
2024-06-14 12:25:48.301,1.75,-66.43,3.01,0.09467199999999999,0.017079999999999998,-1.111664,2
2024-06-14 12:25:48.306,3.01,-66.78,2.73,0.102968,0.015128,-1.1028799999999999,2
2024-06-14 12:25:48.311,6.65,-64.05,2.73,0.1098,0.023912,-1.138504,2
