time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 10:32:21.541,-272.51,-207.83,-25.9,2.705472,7.366848,-7.098447999999999,1
2024-06-14 10:32:21.546,-346.01,-202.16,-118.3,0.060024,-1.894904,4.713591999999999,1
2024-06-14 10:32:21.551,-497.91,-323.4,-73.64,-2.439024,0.854976,0.984296,1
2024-06-14 10:32:21.556,-410.48,-312.48,-70.91,-0.26693599999999995,0.183488,-1.957856,1
2024-06-14 10:32:21.561,-280.42,-372.68,-88.62,-1.389336,0.338184,-1.0760399999999999,1
2024-06-14 10:32:21.565,-161.63,-425.88,-111.58,-0.166896,0.433344,-2.447808,1
2024-06-14 10:32:21.570,-80.64,-464.66,-125.58,0.457744,0.8447279999999999,-3.0075439999999998,1
2024-06-14 10:32:21.575,-17.5,-460.53,-112.63,0.903288,1.040904,-3.283264,1
2024-06-14 10:32:21.580,-14.07,-444.57,-84.91,0.5563199999999999,0.820816,-3.95768,1
2024-06-14 10:32:21.585,-15.47,-382.06,-56.63,0.42456,0.588528,-3.2256799999999997,2
2024-06-14 10:32:21.590,-7.98,-298.9,-30.24,0.38308,0.35721600000000003,-3.000712,2
2024-06-14 10:32:21.594,-25.83,-226.45,-10.78,0.39283999999999997,0.11467999999999999,-2.3872959999999996,2
2024-06-14 10:32:21.599,-22.05,-179.34,-3.08,0.14396,-0.00976,-1.521096,2
2024-06-14 10:32:21.604,-15.26,-154.98,-8.47,0.081984,-0.152744,-1.248792,2
2024-06-14 10:32:21.609,-11.2,-123.27,-19.67,0.038064,-0.11712,-1.2014559999999999,2
2024-06-14 10:32:21.614,-12.88,-90.65,-25.41,-0.063928,-0.011712,-1.138504,2
2024-06-14 10:32:21.619,-17.57,-46.9,-22.26,-0.007808,0.047335999999999996,-1.1326479999999999,2
2024-06-14 10:32:21.623,-14.7,-7.77,-13.09,0.09028,0.16494399999999998,-1.207312,2
2024-06-14 10:32:21.628,-7.77,17.64,1.26,0.07808,0.1098,-1.109712,2
2024-06-14 10:32:21.633,-5.18,20.37,9.31,0.16591999999999998,0.027816,-1.103368,2
2024-06-14 10:32:21.638,-3.08,19.81,6.79,0.16348,-0.04636,-1.082872,2
2024-06-14 10:32:21.643,-2.59,8.54,-4.62,0.22204,-0.063928,-1.0984880000000001,2
2024-06-14 10:32:21.647,-2.38,-3.85,-8.82,0.06588,0.017567999999999997,-1.059936,2
2024-06-14 10:32:21.652,-1.05,-9.38,-7.21,-0.042455999999999994,0.079056,-1.006744,2
2024-06-14 10:32:21.657,0.56,-5.53,-3.36,-0.047335999999999996,0.040504,-0.99064,2
2024-06-14 10:32:21.662,1.19,-4.13,-2.24,0.005368,-0.007808,-1.01992,2
2024-06-14 10:32:21.667,0.35,-8.96,-2.94,0.015128,-0.00488,-1.023336,2
2024-06-14 10:32:21.672,0.91,-13.65,-3.01,-0.020496,0.0034159999999999998,-1.008696,2
2024-06-14 10:32:21.676,0.7,-14.21,-2.03,-0.036112000000000005,0.00732,-1.0126,2
2024-06-14 10:32:21.681,0.49,-16.87,-1.47,-0.014152,-0.001464,-1.020408,2
2024-06-14 10:32:21.686,0.07,-19.88,-1.61,-0.019032,0.000488,-1.01748,2
2024-06-14 10:32:21.691,0.07,-21.28,-1.61,-0.022448,0.0034159999999999998,-1.008696,2
2024-06-14 10:32:21.696,0.14,-20.65,-1.33,-0.021472,0.00976,-1.010648,2
2024-06-14 10:32:21.700,0.07,-21.35,-1.05,-0.010736,0.00488,-1.011136,2
2024-06-14 10:32:21.705,0.07,-21.14,-0.98,-0.008783999999999998,-0.006344,-1.01748,2
2024-06-14 10:32:21.710,-0.14,-22.54,-1.12,-0.009272,-0.006344,-1.012112,2
