time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 12:22:12.263,-245.56,-298.13,23.73,6.130744,0.520696,-7.335128,1
2024-06-14 12:22:12.267,-142.87,-308.0,36.19,0.838872,0.079056,1.511824,1
2024-06-14 12:22:12.272,-236.74,-250.81,56.77,-1.5928319999999998,-0.531432,0.483608,1
2024-06-14 12:22:12.277,-324.17,-283.92,62.23,-0.20447200000000001,-0.279624,-2.040328,1
2024-06-14 12:22:12.282,-321.16,-276.08,52.99,-1.274656,0.16494399999999998,-2.062776,1
2024-06-14 12:22:12.287,-292.32,-286.86,31.43,-0.250832,-0.054655999999999996,-1.918328,1
2024-06-14 12:22:12.292,-227.99,-293.02,0.35,0.049288,-0.17812,-1.8573279999999999,1
2024-06-14 12:22:12.297,-156.45,-287.21,-35.84,0.345992,-0.029768,-1.994456,2
2024-06-14 12:22:12.301,-106.75,-278.74,-60.13,0.327936,0.308416,-1.952488,2
2024-06-14 12:22:12.306,-65.87,-266.28,-65.1,0.28108799999999995,0.41821600000000003,-2.048624,2
2024-06-14 12:22:12.311,-45.85,-258.72,-58.38,0.14200800000000002,0.46848,-2.179408,2
2024-06-14 12:22:12.316,-35.28,-237.58,-44.31,0.18056,0.569496,-2.187216,2
2024-06-14 12:22:12.321,-25.27,-203.35,-21.42,0.16348,0.5675439999999999,-2.0876639999999997,2
2024-06-14 12:22:12.326,-19.11,-180.67,-6.86,0.148352,0.213256,-1.8304880000000001,2
2024-06-14 12:22:12.331,0.14,-163.45,-7.28,0.117608,0.061488,-1.6225999999999998,2
2024-06-14 12:22:12.335,13.65,-144.55,-14.56,0.16835999999999998,0.011224,-1.626504,2
2024-06-14 12:22:12.340,17.36,-127.05,-21.77,0.088328,-0.06978399999999998,-1.5245119999999999,2
2024-06-14 12:22:12.345,8.61,-95.69,-25.34,0.087352,0.013663999999999999,-1.527928,2
2024-06-14 12:22:12.350,0.77,-72.94,-23.87,0.083936,0.001952,-1.363472,2
2024-06-14 12:22:12.355,-1.54,-62.37,-22.19,0.120536,0.064416,-1.319064,2
2024-06-14 12:22:12.360,-2.24,-55.02,-19.18,0.046848,0.10492,-1.26148,2
2024-06-14 12:22:12.371,-0.56,-49.56,-15.68,0.06344,0.095648,-1.16876,2
