time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 09:45:26.932,-171.08,-363.65,-72.1,5.878448000000001,0.318664,-7.722112,1
2024-06-14 09:45:26.937,-137.34,-284.41,-84.0,1.321016,0.72468,-0.920368,1
2024-06-14 09:45:26.942,-131.32,-292.6,-72.17,-2.027152,-0.381616,1.41032,1
2024-06-14 09:45:26.947,-198.8,-365.19,-60.06,-2.0813200000000003,-0.101016,-1.274656,1
2024-06-14 09:45:26.951,-173.53,-400.47,-50.96,-2.085224,0.289872,-2.285304,1
2024-06-14 09:45:26.956,-133.63,-387.1,-54.25,-0.219112,-0.11663199999999999,-2.109136,1
2024-06-14 09:45:26.961,-98.14,-353.08,-68.88,1.0579839999999998,-0.453352,-1.714344,1
2024-06-14 09:45:26.966,-43.61,-320.95,-92.61,1.4669279999999998,-0.34208799999999995,-1.8861199999999998,1
2024-06-14 09:45:26.971,17.01,-308.7,-112.49,0.6466000000000001,-0.21032800000000001,-2.146712,1
2024-06-14 09:45:26.976,52.92,-317.66,-120.19,-0.33964799999999995,0.1586,-2.179408,1
2024-06-14 09:45:26.980,60.83,-319.69,-111.23,-0.41577600000000003,0.579256,-1.9842079999999997,1
2024-06-14 09:45:26.985,43.47,-313.32,-85.05,-0.016104,0.854976,-1.899296,1
2024-06-14 09:45:26.990,23.8,-301.77,-50.26,0.12736799999999998,0.8891359999999999,-1.9266240000000001,1
2024-06-14 09:45:26.995,8.96,-272.65,-15.19,0.11419199999999999,0.7412719999999999,-1.824144,1
2024-06-14 09:45:27.000,-5.39,-260.89,13.3,0.01464,0.41089600000000004,-1.823656,1
2024-06-14 09:45:27.004,-17.36,-246.26,29.19,-0.044408,0.040504,-1.5342719999999999,1
2024-06-14 09:45:27.009,-22.47,-226.87,28.56,0.012688,-0.392352,-1.82024,1
2024-06-14 09:45:27.014,-27.86,-185.29,9.03,0.047335999999999996,-0.55876,-1.627968,1
2024-06-14 09:45:27.019,-21.14,-145.25,-19.04,0.094184,-0.659288,-1.6674959999999999,1
2024-06-14 09:45:27.024,-19.81,-78.26,-34.16,0.223016,0.106384,-1.404952,1
2024-06-14 09:45:27.029,-11.55,-62.65,-29.82,0.10248,-0.16494399999999998,-1.2780719999999999,1
2024-06-14 09:45:27.033,-10.5,-47.95,-16.8,0.15616,0.12736799999999998,-1.2526959999999998,1
2024-06-14 09:45:27.038,-6.37,-33.88,-11.2,0.0068319999999999995,0.13419999999999999,-1.09068,2
2024-06-14 09:45:27.043,-4.2,-27.09,-6.37,-0.049288,0.01952,-1.035048,2
2024-06-14 09:45:27.048,-3.08,-18.9,-4.97,-0.024887999999999997,-0.07027199999999999,-1.024312,2
2024-06-14 09:45:27.053,-2.38,-12.67,-5.53,0.018056000000000003,-0.060512,-1.0555439999999998,2
2024-06-14 09:45:27.058,-0.7,-5.95,-5.53,-0.050752,-0.028304,-0.988688,2
2024-06-14 09:45:27.062,-1.4,-7.98,-2.94,-0.009272,0.035135999999999994,-1.0384639999999998,2
2024-06-14 09:45:27.067,-1.05,-8.61,-0.84,-0.028791999999999998,0.01464,-1.0296800000000002,2
2024-06-14 09:45:27.072,0.0,-8.68,-1.19,-0.047824,-0.051728,-1.016504,2
2024-06-14 09:45:27.077,-0.14,-10.15,-1.47,-0.044408,-0.052216,-1.01748,2
2024-06-14 09:45:27.082,-0.42,-11.27,-1.12,-0.040992,-0.020984,-1.012112,2
2024-06-14 09:45:27.083,-0.14,-10.78,-0.84,-0.034159999999999996,-0.017079999999999998,-1.008696,2
2024-06-14 09:45:27.087,0.21,-10.15,-0.63,-0.032695999999999996,-0.03172,-1.007232,2
2024-06-14 09:45:27.092,0.49,-9.87,-0.49,-0.033184,-0.039528,-1.0096720000000001,2
2024-06-14 09:45:27.097,0.56,-10.64,-0.21,-0.040504,-0.0366,-1.016992,2
2024-06-14 09:45:27.102,0.42,-11.62,0.07,-0.044896,-0.035624,-1.016016,2
2024-06-14 09:45:27.107,0.21,-13.37,0.21,-0.047335999999999996,-0.039528,-1.0145520000000001,2
2024-06-14 09:45:27.112,-0.14,-14.91,0.49,-0.041968,-0.040504,-1.0096720000000001,2
2024-06-14 09:45:27.116,-0.35,-15.82,0.7,-0.040504,-0.045384,-1.006744,2
2024-06-14 09:45:27.121,-0.35,-17.15,0.98,-0.043432000000000005,-0.03904,-1.011136,2
2024-06-14 09:45:27.126,0.21,-19.11,0.91,-0.034648,-0.033184,-1.006744,2
2024-06-14 09:45:27.131,-0.42,-19.18,0.7,-0.033671999999999994,-0.031232,-1.0140639999999999,2
2024-06-14 09:45:27.136,-0.56,-20.44,0.77,-0.0366,-0.038552,-1.0145520000000001,2
2024-06-14 09:45:27.141,-0.84,-21.63,0.7,-0.036112000000000005,-0.038064,-1.01504,2
2024-06-14 09:45:27.145,-1.12,-23.1,0.77,-0.038064,-0.042455999999999994,-1.01504,2
2024-06-14 09:45:27.150,-1.96,-23.87,0.77,-0.029768,-0.038064,-1.01504,2
2024-06-14 09:45:27.155,-1.82,-24.43,0.7,-0.024399999999999998,-0.034648,-1.013088,2
2024-06-14 09:45:27.160,-2.66,-25.97,0.63,-0.027816,-0.038064,-1.016504,2
2024-06-14 09:45:27.165,-5.04,-19.74,0.28,-0.02928,-0.038552,-1.018456,2
2024-06-14 09:45:27.170,-2.66,-26.32,0.77,-0.027816,-0.044896,-1.018456,2
2024-06-14 09:45:27.174,-4.2,-27.79,0.91,-0.020496,-0.042944,-1.01748,2
2024-06-14 09:45:27.179,-4.69,-37.03,1.82,-0.020007999999999998,-0.040015999999999996,-1.016016,2
2024-06-14 09:45:27.184,-3.78,-47.18,1.19,-0.00976,-0.03904,-1.011624,2
2024-06-14 09:45:27.189,-5.67,-39.83,-0.21,-0.008783999999999998,-0.033184,-1.0126,2
2024-06-14 09:45:27.194,-4.34,-37.38,-0.77,-0.00976,-0.030744,-1.016016,2
2024-06-14 09:45:27.199,-2.38,-35.7,0.21,-0.00488,-0.031232,-1.012112,2
2024-06-14 09:45:27.204,-3.43,-34.3,1.54,0.003904,-0.01952,-1.016504,2
2024-06-14 09:45:27.208,1.12,-31.99,2.38,0.004391999999999999,-0.028304,-1.0194320000000001,2
2024-06-14 09:45:27.213,1.82,-27.93,1.82,0.005856,-0.032208,-1.013576,2
2024-06-14 09:45:27.218,0.28,-29.54,0.77,0.01952,-0.024887999999999997,-1.005768,2
2024-06-14 09:45:27.223,1.19,-31.78,0.63,0.013176,-0.04636,-1.016504,2
2024-06-14 09:45:27.228,0.07,-32.27,0.84,0.008296,-0.05124,-1.00284,2
2024-06-14 09:45:27.233,-0.98,-29.82,1.54,0.016592,-0.044896,-1.001864,2
2024-06-14 09:45:27.237,-1.54,-32.55,1.96,0.008783999999999998,-0.059048,-1.0043039999999999,2
2024-06-14 09:45:27.242,-1.61,-32.69,2.17,0.013176,-0.05368,-0.998448,2
2024-06-14 09:45:27.247,-2.59,-29.4,2.17,0.020496,-0.061975999999999996,-0.9950319999999999,2
2024-06-14 09:45:27.252,-4.76,-26.74,2.87,0.030256,-0.058072,-0.981856,2
2024-06-14 09:45:27.257,-7.77,-24.78,3.85,0.02684,-0.06539199999999999,-0.982832,2
2024-06-14 09:45:27.262,-10.43,-23.52,4.69,0.02928,-0.06588,-0.987712,2
2024-06-14 09:45:27.266,-12.6,-21.14,5.46,0.020984,-0.11858400000000001,-0.9964959999999999,2
2024-06-14 09:45:27.271,-13.86,-18.62,6.79,0.038552,-0.06783199999999999,-0.979904,2
