time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 10:34:46.582,-310.03,-230.37,-49.7,4.713104,0.46555199999999997,4.632096,1
2024-06-14 10:34:46.586,-430.57,-406.21,-20.02,-1.6030799999999998,0.36844,0.147864,1
2024-06-14 10:34:46.591,-281.4,-401.31,-14.98,0.766648,0.471408,-2.884568,1
2024-06-14 10:34:46.596,-182.07,-420.14,-36.68,-1.333216,0.16104,-1.6479759999999999,1
2024-06-14 10:34:46.601,-75.67,-429.24,-64.26,-1.2068240000000001,-0.0732,-2.331664,1
2024-06-14 10:34:46.606,17.08,-429.66,-88.62,0.088816,-0.11175199999999999,-2.2164960000000002,1
2024-06-14 10:34:46.610,39.55,-413.42,-101.01,0.6021920000000001,0.10003999999999999,-2.43024,1
2024-06-14 10:34:46.615,45.5,-378.63,-101.15,0.608048,0.181536,-2.5429679999999997,1
2024-06-14 10:34:46.620,31.08,-340.97,-94.78,0.372832,0.226432,-2.478552,1
2024-06-14 10:34:46.625,20.58,-309.19,-83.51,0.08295999999999999,0.27425599999999994,-2.243824,1
2024-06-14 10:34:46.630,14.7,-271.39,-71.05,0.0732,0.327936,-2.031056,1
2024-06-14 10:34:46.635,8.26,-244.37,-54.95,0.08784,0.33183999999999997,-1.828048,1
2024-06-14 10:34:46.639,5.6,-233.24,-40.81,0.023424,0.2562,-1.665544,1
2024-06-14 10:34:46.644,7.77,-219.1,-32.13,-0.011224,0.117608,-1.410808,1
2024-06-14 10:34:46.649,8.4,-212.38,-25.48,-0.043432000000000005,0.120048,-1.350296,1
2024-06-14 10:34:46.654,5.53,-204.61,-18.62,0.017079999999999998,0.006344,-1.565992,1
2024-06-14 10:34:46.659,-14.84,-193.97,-12.32,0.10492,-0.02928,-1.565992,1
2024-06-14 10:34:46.663,-18.27,-181.3,-6.3,0.047824,0.0034159999999999998,-1.358104,1
