time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 10:07:07.860,46.83,-338.45,-23.17,-3.6829359999999998,1.662616,-12.761199999999999,1
2024-06-14 10:07:07.865,-108.08,17.22,-0.21,-2.09108,1.829024,8.897216,1
2024-06-14 10:07:07.870,146.58,-218.19,-1.19,-1.5469600000000001,0.710528,0.44895999999999997,1
2024-06-14 10:07:07.875,227.36,-290.01,-9.1,-1.4288640000000001,-0.001952,-1.1145919999999998,1
2024-06-14 10:07:07.880,261.87,-329.77,-11.9,0.214232,0.048312,-1.717272,1
2024-06-14 10:07:07.884,248.99,-358.61,4.13,0.576328,0.241072,-2.035936,1
2024-06-14 10:07:07.889,202.02,-366.73,30.45,0.426512,-0.041968,-1.813408,1
2024-06-14 10:07:07.894,127.12,-342.65,56.7,0.093696,-0.093208,-1.6182079999999999,1
2024-06-14 10:07:07.899,59.92,-296.1,80.36,0.091256,-0.183,-1.8465919999999998,1
2024-06-14 10:07:07.904,0.7,-239.19,93.38,0.348432,-0.29377600000000004,-1.947608,2
2024-06-14 10:07:07.909,-23.66,-203.42,90.58,0.544608,-0.370392,-2.18136,2
2024-06-14 10:07:07.913,-18.83,-190.54,72.24,0.28889600000000004,-0.623176,-2.046672,2
2024-06-14 10:07:07.918,-11.83,-191.45,47.95,-0.054168,-0.75152,-1.948584,2
2024-06-14 10:07:07.923,-16.1,-183.89,22.82,-0.061975999999999996,-0.645624,-1.8426879999999999,2
2024-06-14 10:07:07.928,-21.42,-171.71,1.26,0.105408,-0.47677600000000003,-1.7660719999999999,2
2024-06-14 10:07:07.933,-18.62,-143.99,-10.78,0.238144,-0.16348,-1.763144,2
2024-06-14 10:07:07.938,-27.51,-122.08,-10.85,0.110288,0.091744,-1.580632,2
2024-06-14 10:07:07.942,-31.15,-101.57,1.19,0.04392,0.228872,-1.5318319999999999,2
2024-06-14 10:07:07.947,-33.95,-85.33,16.17,0.010736,0.16250399999999998,-1.4391120000000002,2
2024-06-14 10:07:07.952,-31.99,-71.61,23.31,0.008296,0.040992,-1.3273599999999999,2
2024-06-14 10:07:07.957,-27.37,-60.76,22.61,0.000488,-0.095648,-1.245376,2
2024-06-14 10:07:07.962,-24.78,-52.22,17.22,0.007808,-0.16250399999999998,-1.186816,2
2024-06-14 10:07:07.967,-24.08,-44.73,10.36,0.0,-0.14347200000000002,-1.157048,2
2024-06-14 10:07:07.971,-24.29,-37.52,5.53,-0.005856,-0.06539199999999999,-1.177544,2
2024-06-14 10:07:07.976,-24.71,-34.09,4.69,-0.02196,0.000488,-1.178032,2
2024-06-14 10:07:07.981,-24.15,-28.77,7.07,-0.015616,0.037576,-1.168272,2
2024-06-14 10:07:07.986,-22.96,-25.55,9.87,-0.003904,0.01952,-1.157048,2
2024-06-14 10:07:07.991,-15.33,-11.27,8.33,0.089792,0.003904,-1.2404959999999998,2
2024-06-14 10:07:07.996,-9.59,-7.91,7.07,0.108824,0.040504,-1.229272,2
2024-06-14 10:07:08.000,-4.27,-9.17,3.78,0.059048,-0.030256,-1.208288,2
2024-06-14 10:07:08.005,-5.74,-10.5,3.15,-0.038064,-0.066368,-1.115568,2
2024-06-14 10:07:08.010,-8.05,-11.41,1.61,-0.06783199999999999,-0.042455999999999994,-1.0887280000000001,2
2024-06-14 10:07:08.015,-8.96,-12.67,-0.07,-0.060024,-0.016592,-1.0833599999999999,2
2024-06-14 10:07:08.020,-9.31,-13.3,-0.84,-0.045872,-0.00732,-1.0857999999999999,2
2024-06-14 10:07:08.024,-8.4,-13.79,-1.61,-0.033671999999999994,-0.013663999999999999,-1.103856,2
2024-06-14 10:07:08.029,-8.75,-14.63,-2.17,-0.056608,-0.021472,-1.0970239999999998,2
2024-06-14 10:07:08.034,-9.17,-16.03,-2.66,-0.05856,-0.0034159999999999998,-1.102392,2
2024-06-14 10:07:08.039,-8.47,-18.41,-2.87,-0.052704,-0.002928,-1.1048319999999998,2
2024-06-14 10:07:08.044,-7.84,-19.88,-3.08,-0.03904,-0.005856,-1.099464,2
2024-06-14 10:07:08.049,-7.77,-20.58,-3.08,-0.038552,-0.012688,-1.099464,2
2024-06-14 10:07:08.053,-8.54,-20.93,-3.22,-0.045384,-0.017079999999999998,-1.092632,2
2024-06-14 10:07:08.058,-9.1,-21.91,-3.29,-0.04636,-0.016592,-1.093608,2
2024-06-14 10:07:08.063,-9.8,-23.52,-3.29,-0.049288,-0.009272,-1.0950719999999998,2
2024-06-14 10:07:08.068,-10.22,-25.2,-3.29,-0.041479999999999996,-0.0068319999999999995,-1.094584,2
2024-06-14 10:07:08.073,-10.43,-27.23,-3.22,-0.040992,-0.00244,-1.092632,2
2024-06-14 10:07:08.078,-10.43,-29.4,-3.36,-0.03904,-0.001952,-1.090192,2
2024-06-14 10:07:08.082,-10.15,-31.22,-3.36,-0.040015999999999996,0.001464,-1.090192,2
2024-06-14 10:07:08.087,-9.87,-33.11,-3.22,-0.034648,-0.000488,-1.090192,2
2024-06-14 10:07:08.092,-9.66,-34.79,-3.22,-0.028791999999999998,0.000976,-1.091168,2
2024-06-14 10:07:08.097,-9.31,-36.54,-3.08,-0.021472,0.001952,-1.092632,2
2024-06-14 10:07:08.102,-8.89,-38.29,-2.94,-0.024399999999999998,0.002928,-1.0931199999999999,2
2024-06-14 10:07:08.107,-7.77,-39.55,-2.87,-0.01952,0.003904,-1.091656,2
2024-06-14 10:07:08.111,-6.58,-40.18,-2.73,-0.012688,0.009272,-1.0833599999999999,2
2024-06-14 10:07:08.116,-5.74,-40.39,-2.8,-0.011224,0.005368,-1.083848,2
2024-06-14 10:07:08.121,-4.62,-38.08,-2.8,-0.0068319999999999995,0.000976,-1.080432,2
2024-06-14 10:07:08.126,-3.78,-39.69,-2.59,-0.0034159999999999998,0.004391999999999999,-1.0789680000000001,2
2024-06-14 10:07:08.131,-2.73,-40.39,-2.38,-0.00244,0.005368,-1.082872,2
2024-06-14 10:07:08.136,-1.68,-46.55,-1.96,0.002928,0.006344,-1.083848,2
2024-06-14 10:07:08.140,1.82,-40.88,-1.96,0.007808,0.0068319999999999995,-1.086776,2
2024-06-14 10:07:08.145,3.85,-39.48,-1.96,0.011712,0.00732,-1.082384,2
2024-06-14 10:07:08.150,4.13,-39.13,-1.61,0.01464,0.008783999999999998,-1.082384,2
2024-06-14 10:07:08.155,3.92,-42.21,-1.12,0.018056000000000003,0.007808,-1.079456,2
2024-06-14 10:07:08.160,4.41,-39.69,-1.47,0.020007999999999998,0.010248,-1.081896,2
2024-06-14 10:07:08.165,4.34,-39.48,-1.82,0.020496,0.002928,-1.084336,2
2024-06-14 10:07:08.169,5.6,-36.54,-1.12,0.026352,0.000976,-1.081408,2
2024-06-14 10:07:08.174,4.2,-41.02,-1.12,0.029768,0.00488,-1.079944,2
2024-06-14 10:07:08.179,4.76,-39.41,-1.47,0.032695999999999996,0.00244,-1.0789680000000001,2
2024-06-14 10:07:08.184,-1.47,-82.81,-2.17,0.034159999999999996,0.012199999999999999,-1.099464,2
2024-06-14 10:07:08.189,1.19,8.12,-8.26,0.039528,0.00732,-1.0833599999999999,2
2024-06-14 10:07:08.193,8.89,80.78,-14.98,0.038552,0.007808,-1.077016,2
2024-06-14 10:07:08.198,1.68,-13.44,-1.89,0.04392,-0.000488,-1.081408,2
2024-06-14 10:07:08.203,5.74,24.43,12.6,0.047824,0.00488,-1.082384,2
2024-06-14 10:07:08.208,2.66,11.97,6.51,0.045872,0.009272,-1.077992,2
2024-06-14 10:07:08.213,7.0,5.88,-6.02,0.046848,0.017079999999999998,-1.077992,2
2024-06-14 10:07:08.218,6.23,0.91,-4.62,0.042455999999999994,0.017079999999999998,-1.080432,2
2024-06-14 10:07:08.222,6.23,-3.08,5.32,0.049775999999999994,0.012688,-1.073112,2
2024-06-14 10:07:08.227,6.86,-6.16,5.6,0.052216,0.00976,-1.073112,2
2024-06-14 10:07:08.232,7.63,-6.86,-3.5,0.048312,-0.013663999999999999,-1.084336,2
