time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 11:43:07.787,131.88,-186.34,6.09,3.0514639999999997,0.671,-1.07848,1
2024-06-14 11:43:07.791,139.44,-205.66,-12.11,1.077016,-0.313296,-1.3297999999999999,1
2024-06-14 11:43:07.796,165.83,-191.17,-3.01,-0.034159999999999996,0.306464,-1.049688,1
2024-06-14 11:43:07.801,185.15,-177.17,2.1,0.1098,0.243024,-0.9516,1
2024-06-14 11:43:07.806,151.48,-148.33,1.26,-0.7964159999999999,-0.267912,-2.6034800000000002,1
2024-06-14 11:43:07.811,80.22,-145.81,6.51,-0.426512,0.118096,0.108336,1
2024-06-14 11:43:07.815,62.16,-119.56,11.41,-0.530944,0.076616,-1.2444,1
2024-06-14 11:43:07.820,100.52,-138.32,26.04,-0.493368,0.14152,-1.037488,1
2024-06-14 11:43:07.825,124.81,-164.71,31.85,-0.29524,-0.16835999999999998,-1.599664,1
2024-06-14 11:43:07.830,75.04,-153.72,19.32,0.128832,-0.532408,-2.253584,1
2024-06-14 11:43:07.835,63.07,-141.54,7.91,0.00488,-0.328424,-1.803648,1
2024-06-14 11:43:07.840,52.36,-128.73,2.73,0.14152,-0.122,-1.647488,1
2024-06-14 11:43:07.844,47.25,-101.29,4.48,0.182024,0.113216,-1.89344,1
2024-06-14 11:43:07.849,55.51,-50.47,9.38,0.260592,-0.159088,-1.79096,1
2024-06-14 11:43:07.854,30.03,2.66,7.56,0.18934399999999998,-0.081496,-1.321992,1
2024-06-14 11:43:07.859,27.09,18.27,4.2,0.060512,0.01952,-1.2429359999999998,1
2024-06-14 11:43:07.864,29.19,16.45,7.14,0.014152,0.15128,-1.2034079999999998,1
2024-06-14 11:43:07.868,35.0,14.77,10.43,-0.1464,0.101992,-0.94428,1
2024-06-14 11:43:07.873,37.66,24.08,9.66,-0.079056,-0.0068319999999999995,-0.9027999999999999,1
2024-06-14 11:43:07.878,38.22,33.81,10.43,-0.06734399999999999,-0.037088,-0.9184159999999999,1
2024-06-14 11:43:07.883,35.77,39.13,7.7,0.01952,-0.23912,-1.087752,1
2024-06-14 11:43:07.888,30.31,33.32,2.1,-0.00488,-0.122488,-1.1102,1
2024-06-14 11:43:07.892,25.13,26.67,-0.07,0.001952,-0.113216,-1.175592,2
2024-06-14 11:43:07.897,22.33,20.51,-0.98,-0.014152,-0.10736,-1.17852,2
2024-06-14 11:43:07.902,18.13,14.49,-0.91,-0.05856,-0.092232,-1.1380160000000001,2
2024-06-14 11:43:07.907,12.95,10.92,0.77,-0.132736,-0.055632,-1.042856,2
2024-06-14 11:43:07.912,12.04,10.29,1.19,-0.12980799999999998,-0.022448,-1.029192,2
2024-06-14 11:43:07.917,13.23,10.36,0.07,-0.094184,-0.038064,-1.064816,2
2024-06-14 11:43:07.921,12.39,8.4,-0.56,-0.07222400000000001,-0.081008,-1.0887280000000001,2
2024-06-14 11:43:07.926,8.68,6.37,-0.49,-0.078568,-0.09516,-1.0760399999999999,2
2024-06-14 11:43:07.931,4.9,4.69,-0.21,-0.09028,-0.074176,-1.0735999999999999,2
2024-06-14 11:43:07.936,2.59,2.94,-0.42,-0.105408,-0.055632,-1.062376,2
2024-06-14 11:43:07.941,1.05,1.05,-0.63,-0.121024,-0.052704,-1.050664,2
2024-06-14 11:43:07.945,-0.63,-2.31,-0.84,-0.12688,-0.058072,-1.0574959999999998,2
2024-06-14 11:43:07.950,-2.59,-6.09,-1.12,-0.13224799999999998,-0.06344,-1.0711600000000001,2
2024-06-14 11:43:07.955,-4.62,-9.52,-1.54,-0.125416,-0.059536,-1.068232,2
2024-06-14 11:43:07.960,-6.44,-12.04,-1.68,-0.113216,-0.062952,-1.059448,2
2024-06-14 11:43:07.965,-7.91,-14.21,-1.68,-0.101504,-0.061,-1.0482239999999998,2
2024-06-14 11:43:07.969,-9.38,-16.94,-1.75,-0.105896,-0.057583999999999996,-1.0457839999999998,2
2024-06-14 11:43:07.974,-10.71,-20.72,-1.82,-0.11223999999999999,-0.052704,-1.0438319999999999,2
2024-06-14 11:43:07.979,-12.11,-25.27,-2.1,-0.11712,-0.054655999999999996,-1.048712,2
2024-06-14 11:43:07.984,-13.37,-29.47,-2.17,-0.110776,-0.05124,-1.057008,2
2024-06-14 11:43:07.989,-14.63,-34.23,-2.38,-0.113216,-0.046848,-1.073112,2
2024-06-14 11:43:07.993,-15.33,-38.29,-2.52,-0.103456,-0.04392,-1.061888,2
2024-06-14 11:43:07.998,-15.75,-39.9,-2.45,-0.096624,-0.042455999999999994,-1.054568,2
2024-06-14 11:43:08.003,-16.03,-40.53,-2.45,-0.08637600000000001,-0.037088,-1.048712,2
2024-06-14 11:43:08.008,-16.17,-41.65,-2.52,-0.08295999999999999,-0.039528,-1.045296,2
2024-06-14 11:43:08.013,-16.03,-42.91,-2.45,-0.072712,-0.040992,-1.041392,2
2024-06-14 11:43:08.018,-15.82,-44.38,-2.31,-0.06783199999999999,-0.037088,-1.0384639999999998,2
2024-06-14 11:43:08.022,-15.61,-44.8,-2.24,-0.061488,-0.029768,-1.0287039999999998,2
2024-06-14 11:43:08.027,-15.05,-45.22,-2.1,-0.059048,-0.023424,-1.022848,2
2024-06-14 11:43:08.032,-14.56,-44.8,-2.24,-0.052216,-0.022936,-1.029192,2
2024-06-14 11:43:08.037,-14.07,-44.17,-2.17,-0.049775999999999994,-0.025864,-1.020896,2
2024-06-14 11:43:08.042,-13.44,-40.04,-2.17,-0.046848,-0.017567999999999997,-1.018456,2
2024-06-14 11:43:08.046,-12.04,-40.46,-2.24,-0.04392,-0.018544,-1.012112,2
2024-06-14 11:43:08.051,-10.43,-40.67,-2.1,-0.050752,-0.01952,-1.0145520000000001,2
2024-06-14 11:43:08.056,-8.05,-40.81,-1.96,-0.043432000000000005,-0.010248,-1.015528,2
2024-06-14 11:43:08.061,-5.04,-9.52,-1.4,-0.041479999999999996,-0.015128,-1.0126,2
2024-06-14 11:43:08.066,-6.58,-30.94,-0.7,-0.035624,-0.018056000000000003,-1.010648,2
2024-06-14 11:43:08.070,-4.41,-32.41,-0.35,-0.030744,-0.020007999999999998,-1.0091839999999999,2
2024-06-14 11:43:08.075,-4.2,-34.51,-1.33,-0.028304,-0.023424,-1.0091839999999999,2
2024-06-14 11:43:08.080,-3.36,-35.98,-1.68,-0.021472,-0.025376,-1.008696,2
2024-06-14 11:43:08.085,-2.87,-35.77,-0.84,-0.014152,-0.027816,-1.00772,2
2024-06-14 11:43:08.088,9.17,-36.47,0.49,-0.015616,-0.023424,-1.006744,2
2024-06-14 11:43:08.090,-3.15,-36.47,-0.21,-0.011712,-0.025864,-1.006256,2
2024-06-14 11:43:08.092,-13.23,-51.52,-1.19,-0.011224,-0.020984,-1.01016,2
2024-06-14 11:43:08.097,9.8,-49.35,-2.17,-0.016104,-0.019032,-1.01016,2
2024-06-14 11:43:08.102,-10.08,-45.99,-3.64,-0.01464,-0.008783999999999998,-1.010648,2
2024-06-14 11:43:08.107,9.24,-44.31,0.35,-0.010248,-0.011224,-1.01504,2
2024-06-14 11:43:08.112,-9.17,-40.32,-0.84,-0.006344,-0.00488,-1.021872,2
2024-06-14 11:43:08.117,1.75,-36.89,-2.1,-0.001952,-0.011712,-1.0189439999999998,2
2024-06-14 11:43:08.121,-4.2,-33.04,-3.29,0.002928,-0.022936,-1.017968,2
2024-06-14 11:43:08.126,0.42,-31.71,-1.96,0.006344,-0.022936,-1.01992,2
2024-06-14 11:43:08.131,-0.63,-30.66,-1.05,0.003904,-0.015128,-1.021384,2
2024-06-14 11:43:08.136,-2.38,-29.05,-2.24,0.012199999999999999,-0.024399999999999998,-1.0267519999999999,2
2024-06-14 11:43:08.141,-0.14,-27.72,-3.22,0.017079999999999998,-0.028304,-1.030168,2
2024-06-14 11:43:08.146,-3.92,-28.35,-3.01,0.02196,-0.028791999999999998,-1.03456,2
2024-06-14 11:43:08.150,-1.54,-27.72,-1.82,0.015616,-0.025376,-1.040904,2
2024-06-14 11:43:08.155,-5.25,-28.42,-2.38,0.01952,-0.022936,-1.035536,2
2024-06-14 11:43:08.160,-3.71,-28.56,-3.22,0.017567999999999997,-0.015616,-1.0360239999999998,2
2024-06-14 11:43:08.165,-5.53,-28.84,-3.78,0.021472,-0.014152,-1.039928,2
2024-06-14 11:43:08.170,-3.36,-29.89,-2.94,0.024887999999999997,-0.011224,-1.0262639999999998,2
2024-06-14 11:43:08.175,-2.73,-30.1,-2.66,0.025376,-0.018544,-1.0365119999999999,2
2024-06-14 11:43:08.179,-2.52,-31.43,-3.15,0.024887999999999997,-0.00488,-1.0438319999999999,2
2024-06-14 11:43:08.184,-1.61,-31.92,-3.71,0.028791999999999998,-0.010248,-1.041392,2
2024-06-14 11:43:08.189,-0.56,-34.02,-3.08,0.028791999999999998,-0.00976,-1.0555439999999998,2
2024-06-14 11:43:08.194,1.26,-35.35,-2.73,0.02684,0.008296,-1.059448,2
2024-06-14 11:43:08.199,2.17,-37.59,-3.43,0.023424,0.020007999999999998,-1.071648,2
2024-06-14 11:43:08.204,3.71,-40.18,-4.55,0.01952,0.04392,-1.089704,2
2024-06-14 11:43:08.209,3.43,-44.1,-5.18,0.024887999999999997,0.007808,-1.092632,2
2024-06-14 11:43:08.213,9.73,-49.63,-5.18,0.029768,0.025376,-1.106296,2
2024-06-14 11:43:08.218,8.96,-54.25,-5.74,0.040992,0.00976,-1.138504,2
2024-06-14 11:43:08.223,8.33,-59.78,-6.16,0.050263999999999996,-0.008783999999999998,-1.158512,2
2024-06-14 11:43:08.228,9.03,-62.51,-6.16,0.047824,-0.038064,-1.1946240000000001,3
2024-06-14 11:43:08.233,5.11,-58.52,-6.16,0.044896,-0.032695999999999996,-1.1956,3
2024-06-14 11:43:08.238,4.62,-63.21,-5.39,0.063928,-0.066856,-1.20292,3
2024-06-14 11:43:08.242,6.44,-66.22,-3.64,0.061,-0.14884,-1.2805119999999999,3
2024-06-14 11:43:08.247,5.18,-70.42,-2.03,0.060024,-0.044896,-1.2605039999999998,3
2024-06-14 11:43:08.252,-2.94,-74.48,-2.73,0.077592,-0.054168,-1.2209759999999998,3
2024-06-14 11:43:08.257,-6.51,-75.81,-2.03,0.078568,-0.077104,-1.2385439999999999,3
2024-06-14 11:43:08.262,-12.11,-76.79,-1.61,0.076616,-0.081008,-1.25172,3
2024-06-14 11:43:08.267,-17.01,-79.38,-0.98,0.07173600000000001,-0.096136,-1.328336,3
2024-06-14 11:43:08.271,-19.46,-82.88,0.07,0.057583999999999996,-0.092232,-1.410808,3
2024-06-14 11:43:08.276,-21.28,-88.55,1.12,0.062464,-0.057095999999999994,-1.443992,3
2024-06-14 11:43:08.281,-22.75,-96.67,1.75,0.06539199999999999,-0.027327999999999998,-1.4571679999999998,3
2024-06-14 11:43:08.286,-23.24,-105.91,1.82,0.06539199999999999,-0.008296,-1.45912,3
2024-06-14 11:43:08.291,-23.03,-116.13,1.68,0.066856,-0.011712,-1.46156,3
2024-06-14 11:43:08.296,-20.3,-123.62,2.45,0.06539199999999999,-0.09516,-1.535248,3
2024-06-14 11:43:08.301,-16.17,-133.07,4.62,0.072712,-0.05124,-1.49816,3
2024-06-14 11:43:08.305,-23.03,-142.31,4.41,0.088328,-0.078568,-1.499136,3
2024-06-14 11:43:08.310,-27.79,-152.11,5.18,0.077104,-0.08539999999999999,-1.564528,3
2024-06-14 11:43:08.315,-31.15,-164.15,5.46,0.062952,-0.03904,-1.635288,3
2024-06-14 11:43:08.320,-31.85,-175.77,5.18,0.055632,-0.000976,-1.693848,3
2024-06-14 11:43:08.325,-31.43,-191.38,4.55,0.039528,0.007808,-1.72996,3
2024-06-14 11:43:08.330,-31.08,-205.1,3.78,0.027327999999999998,0.033184,-1.727032,3
2024-06-14 11:43:08.334,-29.12,-222.18,2.45,0.030256,0.045872,-1.78364,3
2024-06-14 11:43:08.339,-28.0,-239.19,1.19,0.022936,0.028791999999999998,-1.8378079999999999,3
2024-06-14 11:43:08.344,-24.99,-256.34,-0.7,0.052704,0.06831999999999999,-1.90076,3
2024-06-14 11:43:08.349,-19.32,-269.57,-2.59,0.00976,0.01952,-1.914912,3
2024-06-14 11:43:08.354,-24.78,-287.35,-3.15,-0.010736,0.048799999999999996,-2.0954719999999996,3
2024-06-14 11:43:08.359,-26.88,-304.92,-5.39,-0.0034159999999999998,0.118096,-1.94956,3
2024-06-14 11:43:08.363,-27.51,-330.61,-7.98,-0.037088,0.148352,-2.1330479999999996,3
2024-06-14 11:43:08.368,-24.64,-349.86,-11.76,-0.052216,0.17860800000000002,-2.198928,3
2024-06-14 11:43:08.373,-21.42,-375.41,-15.12,-0.055632,0.160552,-2.415112,3
2024-06-14 11:43:08.378,-13.93,-400.05,-17.85,-0.061975999999999996,0.182512,-2.57908,3
