time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 13:01:36.504,296.73,-496.37,75.11,5.40704,-3.082208,-6.02924,1
2024-06-14 13:01:36.509,86.24,-288.26,54.81,-1.105808,-0.08539999999999999,0.46067199999999997,1
2024-06-14 13:01:36.514,173.11,-330.61,58.45,-2.5366239999999998,0.569984,2.678632,1
2024-06-14 13:01:36.519,218.33,-431.06,49.77,-0.41236,0.739808,-1.440088,1
2024-06-14 13:01:36.523,264.67,-476.35,53.13,-0.58804,-0.241072,-2.142808,1
2024-06-14 13:01:36.528,171.57,-464.66,63.63,-0.038064,-0.12834399999999999,-1.31028,1
2024-06-14 13:01:36.533,140.28,-461.37,76.51,0.515816,0.012688,-1.379576,1
2024-06-14 13:01:36.538,113.47,-432.04,88.34,0.8691279999999999,-0.367464,-2.014464,1
2024-06-14 13:01:36.543,82.25,-379.96,89.32,0.869616,-0.6831999999999999,-2.343864,1
2024-06-14 13:01:36.548,74.13,-336.7,72.45,0.426512,-0.7471279999999999,-2.246752,1
2024-06-14 13:01:36.552,81.55,-308.14,45.29,0.20788800000000002,-0.70028,-2.3443519999999998,1
2024-06-14 13:01:36.557,69.72,-281.05,24.01,0.12736799999999998,-0.723216,-2.887008,1
2024-06-14 13:01:36.562,39.06,-246.75,10.78,0.22838399999999998,-0.369904,-2.318488,1
2024-06-14 13:01:36.567,17.01,-205.52,3.15,0.358192,-0.432368,-2.328248,1
2024-06-14 13:01:36.572,1.82,-158.69,-1.96,0.274744,-0.213256,-2.0564319999999996,1
2024-06-14 13:01:36.577,2.31,-107.52,-4.9,0.301584,-0.10248,-1.798768,1
2024-06-14 13:01:36.581,0.84,-72.59,-5.04,0.10931199999999999,-0.001464,-1.52988,1
2024-06-14 13:01:36.586,3.99,-44.8,-2.1,0.187392,0.018544,-1.3595679999999999,1
2024-06-14 13:01:36.591,2.94,-28.14,0.0,0.128832,0.037576,-1.172664,1
2024-06-14 13:01:36.596,1.26,-20.37,0.49,0.085888,0.035624,-1.072624,1
2024-06-14 13:01:36.601,2.17,-16.94,0.07,0.177144,0.037576,-1.064328,1
2024-06-14 13:01:36.606,2.38,-10.85,1.19,-0.0068319999999999995,0.02196,-1.0091839999999999,2
2024-06-14 13:01:36.610,7.56,-5.11,-0.07,-0.032208,0.02928,-1.0340719999999999,2
2024-06-14 13:01:36.615,6.93,-6.02,0.91,-0.026352,-0.01464,-1.0775039999999998,2
2024-06-14 13:01:36.620,5.74,-4.69,0.7,-0.02684,-0.055144,-1.055056,2
2024-06-14 13:01:36.625,3.36,-2.73,1.05,-0.034159999999999996,-0.019032,-1.070184,2
2024-06-14 13:01:36.630,1.82,-2.94,0.91,-0.04392,-0.015616,-1.087752,2
2024-06-14 13:01:36.635,0.28,-4.2,1.12,-0.05368,-0.016104,-1.060424,2
2024-06-14 13:01:36.639,-0.7,-3.99,1.47,-0.052216,-0.013176,-1.035536,2
2024-06-14 13:01:36.644,-0.91,-3.43,1.4,-0.056608,-0.00488,-1.0282159999999998,2
2024-06-14 13:01:36.649,-1.33,-3.15,1.12,-0.056608,0.004391999999999999,-1.0379759999999998,2
2024-06-14 13:01:36.654,-1.4,-3.78,1.19,-0.056119999999999996,-0.000488,-1.04676,2
2024-06-14 13:01:36.659,-1.75,-4.2,1.26,-0.05856,-0.008296,-1.045296,2
2024-06-14 13:01:36.663,-2.31,-4.9,1.33,-0.058072,-0.008296,-1.0438319999999999,2
2024-06-14 13:01:36.668,-2.66,-5.67,1.26,-0.055632,-0.00244,-1.042856,2
2024-06-14 13:01:36.673,-2.73,-6.37,1.12,-0.059536,0.000488,-1.039928,2
2024-06-14 13:01:36.678,-2.45,-7.14,1.19,-0.060512,0.005368,-1.0287039999999998,2
2024-06-14 13:01:36.683,-1.89,-7.35,0.98,-0.061,0.005368,-1.021872,2
