time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 11:40:09.943,175.56,-166.32,6.44,4.315384,-0.711016,-3.237392,1
2024-06-14 11:40:09.947,136.85,-155.54,-11.69,3.6570720000000003,0.182024,-0.661728,1
2024-06-14 11:40:09.952,156.8,-195.3,-41.58,3.177856,0.61732,-0.808616,1
2024-06-14 11:40:09.957,182.98,-211.61,-52.22,0.7993439999999999,-0.147864,-1.037,1
2024-06-14 11:40:09.962,204.47,-201.25,-41.72,-0.000488,0.28011199999999997,-1.406904,1
2024-06-14 11:40:09.967,209.09,-165.55,-30.38,0.555832,0.13907999999999998,-1.440576,1
2024-06-14 11:40:09.972,247.59,-153.72,-10.78,-0.020984,0.35233600000000004,-1.440576,1
2024-06-14 11:40:09.976,142.94,-148.26,-12.95,-1.6206479999999999,-0.685152,-2.029592,1
2024-06-14 11:40:09.981,71.4,-146.37,3.08,-0.51728,0.397232,-1.382992,1
2024-06-14 11:40:09.986,87.78,-153.44,25.9,-0.770552,0.4148,-1.08092,1
2024-06-14 11:40:09.991,99.75,-183.68,42.35,-0.251808,0.013176,-1.367376,1
2024-06-14 11:40:09.996,98.84,-204.75,41.23,-0.061,-0.235216,-1.655296,1
2024-06-14 11:40:10.001,89.46,-196.91,28.0,-0.005368,-0.5045919999999999,-2.3306880000000003,1
2024-06-14 11:40:10.005,53.55,-164.78,16.03,0.216672,-0.303048,-1.812432,1
2024-06-14 11:40:10.010,45.78,-133.91,11.76,0.232288,-0.216184,-1.5542799999999999,1
2024-06-14 11:40:10.015,36.89,-103.74,9.24,0.206424,-0.18104800000000001,-1.604544,1
2024-06-14 11:40:10.020,46.27,-57.47,6.65,0.29036,-0.14005599999999999,-1.647488,1
2024-06-14 11:40:10.025,43.68,-37.03,6.02,-0.003904,0.015128,-1.314672,1
2024-06-14 11:40:10.030,36.26,-24.57,7.56,0.028304,-0.048799999999999996,-1.567456,1
2024-06-14 11:40:10.034,22.19,-6.72,8.05,-0.06490399999999999,-0.003904,-1.226344,1
2024-06-14 11:40:10.039,21.77,1.05,8.96,-0.101016,0.190808,-1.102392,1
2024-06-14 11:40:10.044,24.64,13.16,13.79,-0.101992,0.094184,-0.949648,1
2024-06-14 11:40:10.049,24.78,23.1,14.63,-0.020007999999999998,-0.062464,-1.042368,1
2024-06-14 11:40:10.054,25.27,25.97,11.9,-0.035624,-0.05368,-1.093608,2
2024-06-14 11:40:10.059,23.59,20.93,8.96,0.00244,-0.032208,-1.096048,2
2024-06-14 11:40:10.063,23.59,16.87,7.28,-0.017079999999999998,-0.10931199999999999,-1.1223999999999998,2
2024-06-14 11:40:10.068,18.76,16.94,3.99,-0.020496,-0.076128,-1.0970239999999998,2
2024-06-14 11:40:10.073,16.24,12.88,2.8,0.017079999999999998,-0.142496,-1.16144,2
2024-06-14 11:40:10.078,12.74,6.51,1.12,-0.066856,-0.064416,-1.143384,2
2024-06-14 11:40:10.083,10.36,1.61,0.98,-0.093696,-0.057583999999999996,-1.094096,2
2024-06-14 11:40:10.088,8.12,-0.14,0.56,-0.103456,-0.03904,-1.04432,2
2024-06-14 11:40:10.092,6.65,0.21,0.56,-0.091744,-0.034648,-1.03456,2
2024-06-14 11:40:10.097,5.6,0.42,0.56,-0.077592,-0.032208,-1.065304,2
2024-06-14 11:40:10.102,4.76,-0.84,0.49,-0.077592,-0.024887999999999997,-1.0711600000000001,2
2024-06-14 11:40:10.107,3.71,-2.24,0.28,-0.079056,-0.033671999999999994,-1.063352,2
2024-06-14 11:40:10.112,2.24,-3.15,0.07,-0.090768,-0.042944,-1.0555439999999998,2
2024-06-14 11:40:10.116,0.07,-4.55,0.0,-0.102968,-0.044408,-1.05164,2
2024-06-14 11:40:10.121,-2.03,-6.79,-0.21,-0.110776,-0.041479999999999996,-1.05408,2
2024-06-14 11:40:10.126,-3.57,-9.38,-0.63,-0.11467999999999999,-0.035135999999999994,-1.051152,2
2024-06-14 11:40:10.131,-4.69,-12.11,-0.77,-0.108824,-0.030256,-1.051152,2
