time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 10:08:35.041,-74.97,-263.41,-3.85,3.788344,0.706136,-10.463208,1
2024-06-14 10:08:35.046,-41.02,-149.8,24.43,3.349632,-0.044896,2.599576,1
2024-06-14 10:08:35.050,-68.95,-272.58,47.74,3.9215679999999997,-0.895968,-0.662704,1
2024-06-14 10:08:35.055,-38.01,-391.86,61.46,0.485072,0.33427999999999997,-3.0065679999999997,1
2024-06-14 10:08:35.060,-88.06,-335.51,74.27,-0.302072,-0.14347200000000002,-1.460584,1
2024-06-14 10:08:35.065,-91.56,-317.52,80.08,-0.793,-0.25132,-1.4191040000000001,1
2024-06-14 10:08:35.070,-134.68,-339.64,72.8,-0.540216,-0.07173600000000001,-1.912472,1
2024-06-14 10:08:35.074,-133.56,-319.27,63.14,0.020496,-0.330864,-2.134512,1
2024-06-14 10:08:35.079,-121.52,-301.49,47.32,0.434808,-0.427,-2.023736,1
2024-06-14 10:08:35.084,-111.23,-280.07,24.92,0.46799199999999996,-0.53924,-1.94956,1
2024-06-14 10:08:35.089,-80.01,-260.12,-3.5,0.262544,-0.5367999999999999,-1.9036879999999998,1
2024-06-14 10:08:35.094,-45.15,-236.04,-33.67,0.033671999999999994,-0.465064,-1.904664,2
2024-06-14 10:08:35.099,-15.75,-208.88,-56.7,0.008296,-0.079056,-1.8465919999999998,2
2024-06-14 10:08:35.103,6.58,-178.57,-64.47,0.14591200000000001,0.122976,-1.9832319999999999,2
2024-06-14 10:08:35.108,2.73,-152.32,-58.66,0.191296,0.39820799999999995,-1.98128,2
2024-06-14 10:08:35.113,3.15,-127.75,-43.33,0.14884,0.497272,-1.769488,2
2024-06-14 10:08:35.118,7.21,-107.1,-25.76,0.12736799999999998,0.437736,-1.609912,2
2024-06-14 10:08:35.123,9.94,-91.42,-12.46,0.07564,0.298168,-1.40544,2
2024-06-14 10:08:35.127,14.28,-79.1,-5.88,0.050263999999999996,0.112728,-1.337608,2
2024-06-14 10:08:35.132,18.76,-68.46,-6.58,0.00488,-0.056608,-1.2341520000000001,2
2024-06-14 10:08:35.137,23.87,-62.79,-13.23,-0.044408,-0.094184,-1.153144,2
