time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 09:57:44.639,113.225,-184.135,-10.92,3.982812,-0.03440400000000002,-5.821351999999999,1
2024-06-14 09:57:44.643,80.85,-179.69,-38.465,2.4221880000000002,0.31842,1.361764,1
2024-06-14 09:57:44.648,156.1,-247.52,-59.43,2.885788,0.47043199999999996,-0.8988959999999999,1
2024-06-14 09:57:44.653,240.20499999999998,-303.555,-72.765,0.30646399999999996,-0.24741600000000002,-1.8173119999999998,1
2024-06-14 09:57:44.658,216.86,-243.565,-84.38499999999999,-0.41504399999999997,-0.10980000000000001,-1.386896,1
2024-06-14 09:57:44.663,278.67,-281.82,-69.965,-0.598532,-0.151768,-1.624064,1
2024-06-14 09:57:44.667,221.89999999999998,-266.21000000000004,-67.83,-0.34623599999999993,-0.026596,-1.606252,1
2024-06-14 09:57:44.672,208.635,-266.17499999999995,-55.894999999999996,0.255712,0.025375999999999996,-1.927844,1
2024-06-14 09:57:44.677,174.055,-262.605,-38.64,0.48922,0.233752,-2.091324,1
2024-06-14 09:57:44.682,131.25,-248.53500000000003,-13.02,0.274256,0.36038800000000004,-1.872212,1
2024-06-14 09:57:44.687,75.495,-230.89499999999998,16.625,-0.084912,0.31354000000000004,-1.760948,1
2024-06-14 09:57:44.692,26.985,-208.705,44.205,-0.170068,0.272304,-1.840004,1
2024-06-14 09:57:44.696,8.715,-191.065,60.06,0.033184,-0.061000000000000006,-1.896856,2
2024-06-14 09:57:44.701,4.305,-169.82,57.96,0.13054,-0.355996,-1.9400439999999999,2
2024-06-14 09:57:44.706,5.915,-153.86,45.64,0.12468399999999999,-0.504592,-1.75558,2
2024-06-14 09:57:44.711,-0.07,-137.62,29.645,0.09272,-0.511668,-1.730448,2
2024-06-14 09:57:44.716,2.415,-116.795,13.3,0.150304,-0.566812,-1.539152,2
2024-06-14 09:57:44.720,-0.665,-104.755,-1.68,0.094428,-0.35136,-1.4703439999999999,2
2024-06-14 09:57:44.725,-6.055,-92.015,-8.05,0.013420000000000001,-0.135176,-1.456436,2
2024-06-14 09:57:44.730,-14.77,-78.19,-5.425,-0.0366,0.025864,-1.3549319999999998,2
2024-06-14 09:57:44.735,-20.93,-67.9,1.855,-0.041968,0.08906,-1.342488,2
2024-06-14 09:57:44.740,-25.200000000000003,-59.08,8.855,-0.032208,0.057584,-1.262456,2
2024-06-14 09:57:44.745,-25.27,-51.695,11.620000000000001,-0.025132,-0.030256,-1.215608,2
2024-06-14 09:57:44.749,-23.975,-45.71,9.940000000000001,-0.027327999999999998,-0.095892,-1.164612,2
2024-06-14 09:57:44.754,-22.96,-42.21,6.545,-0.033428,-0.116144,-1.125084,2
2024-06-14 09:57:44.759,-23.625,-38.675,4.025,-0.037332000000000004,-0.084424,-1.1114199999999999,2
2024-06-14 09:57:44.764,-25.549999999999997,-35.665,3.8499999999999996,-0.046848,-0.033184,-1.128012,2
2024-06-14 09:57:44.769,-25.865000000000002,-31.85,5.109999999999999,-0.002440000000000001,0.009271999999999999,-1.1799840000000001,2
2024-06-14 09:57:44.773,-21.490000000000002,-18.865000000000002,5.32,0.06709999999999999,0.063684,-1.21878,2
2024-06-14 09:57:44.778,-17.255,-13.895,5.8100000000000005,0.044407999999999996,0.022691999999999997,-1.2444,2
2024-06-14 09:57:44.783,-12.88,-8.68,5.075,0.029768000000000003,-0.06831999999999999,-1.251232,2
2024-06-14 09:57:44.788,-14.105,-7.945,3.5700000000000003,-0.066856,-0.12126799999999999,-1.115568,2
2024-06-14 09:57:44.793,-15.26,-8.26,0.98,-0.07295600000000001,-0.068076,-1.0784799999999999,2
2024-06-14 09:57:44.798,-15.995000000000001,-9.59,-0.07,-0.055632,-0.038552,-1.0894599999999999,2
2024-06-14 09:57:44.802,-16.345,-9.940000000000001,0.385,-0.066856,-0.014152,-1.089216,2
2024-06-14 09:57:44.807,-15.12,-10.01,0.455,-0.060511999999999996,-0.008784,-1.092388,2
2024-06-14 09:57:44.812,-13.58,-10.85,-0.21000000000000002,-0.065636,-0.023424,-1.076284,2
2024-06-14 09:57:44.817,-12.95,-11.48,-0.98,-0.063928,-0.020252,-1.0784799999999999,2
2024-06-14 09:57:44.822,-12.425,-12.81,-1.26,-0.059292,-0.017079999999999998,-1.081652,2
2024-06-14 09:57:44.827,-12.145,-14.0,-1.5750000000000002,-0.05246,-0.023668,-1.087752,2
2024-06-14 09:57:44.831,-12.46,-14.21,-1.855,-0.058316,-0.031964,-1.0862879999999997,2
2024-06-14 09:57:44.836,-13.719999999999999,-15.75,-2.205,-0.06588,-0.038064,-1.0814080000000001,2
2024-06-14 09:57:44.841,-15.05,-18.2,-2.415,-0.067588,-0.035136,-1.086776,2
2024-06-14 09:57:44.846,-16.17,-20.545,-2.5549999999999997,-0.06344,-0.025132,-1.085556,2
