time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 09:46:56.170,295.4,-477.12,53.27,-1.11996,-1.5064559999999998,-8.731784,1
2024-06-14 09:46:56.175,276.5,-224.7,76.09,-3.35012,0.274744,-0.124928,1
2024-06-14 09:46:56.180,342.86,-196.49,81.06,-4.340272,0.498736,1.052128,1
2024-06-14 09:46:56.185,302.33,-277.06,59.64,-2.3394719999999998,-0.237656,-0.97356,1
2024-06-14 09:46:56.189,279.79,-316.33,57.89,0.380152,-0.538264,-2.305312,1
2024-06-14 09:46:56.194,250.04,-320.67,68.25,1.0760399999999999,0.020496,-1.819752,1
2024-06-14 09:46:56.199,202.09,-346.15,81.06,1.658712,0.269864,-1.31516,1
2024-06-14 09:46:56.204,127.54,-359.24,96.18,0.649528,0.034159999999999996,-1.9807919999999999,1
2024-06-14 09:46:56.209,42.84,-325.57,117.25,-0.318664,-0.020496,-2.316536,1
2024-06-14 09:46:56.214,8.26,-290.08,125.23,-0.325984,-0.42944,-2.31312,1
2024-06-14 09:46:56.219,14.49,-274.82,105.56,0.01952,-0.898408,-2.27652,1
2024-06-14 09:46:56.223,21.84,-279.58,69.23,0.28450400000000003,-1.050176,-2.147688,1
2024-06-14 09:46:56.228,27.72,-263.83,32.55,0.168848,-0.8178880000000001,-2.149152,1
2024-06-14 09:46:56.233,30.8,-246.82,3.29,-0.031232,-0.601216,-1.774856,1
2024-06-14 09:46:56.238,39.62,-222.25,-14.49,0.024399999999999998,-0.106384,-1.895392,1
2024-06-14 09:46:56.243,49.07,-175.77,-15.26,0.09516,0.19763999999999998,-1.5767280000000001,1
2024-06-14 09:46:56.248,45.08,-133.84,0.7,0.11712,0.41724,-1.52012,1
2024-06-14 09:46:56.252,34.86,-98.35,24.43,0.096136,0.216184,-1.3093039999999998,1
2024-06-14 09:46:56.257,19.95,-70.98,35.84,0.015128,0.203008,-1.225856,2
2024-06-14 09:46:56.262,18.27,-62.37,32.83,0.09028,-0.00976,-1.209264,2
2024-06-14 09:46:56.267,15.47,-49.98,25.9,0.052704,-0.152744,-1.129232,2
2024-06-14 09:46:56.272,11.2,-34.79,15.89,-0.013663999999999999,-0.113216,-1.066768,2
2024-06-14 09:46:56.277,9.1,-24.43,9.45,-0.020496,-0.011712,-1.04432,2
2024-06-14 09:46:56.281,7.21,-16.38,8.19,0.010248,0.033671999999999994,-1.0677439999999998,2
2024-06-14 09:46:56.286,4.34,-11.9,9.45,-0.00732,0.025376,-1.060424,2
2024-06-14 09:46:56.291,3.36,-9.38,8.96,-0.035624,-0.011712,-1.044808,2
2024-06-14 09:46:56.296,3.15,-8.05,6.51,-0.048312,-0.000488,-1.021384,2
2024-06-14 09:46:56.301,3.08,-6.09,4.83,-0.028304,0.004391999999999999,-1.040904,2
2024-06-14 09:46:56.306,1.33,-4.06,4.62,-0.047824,0.020984,-1.016016,2
2024-06-14 09:46:56.310,0.42,-4.9,4.13,-0.051728,-0.011224,-1.023336,2
2024-06-14 09:46:56.315,-0.21,-5.25,2.8,-0.066368,-0.010248,-1.013088,2
2024-06-14 09:46:56.320,-0.49,-7.07,1.68,-0.064416,-0.004391999999999999,-1.011136,2
2024-06-14 09:46:56.325,-0.56,-8.68,1.19,-0.061488,0.00976,-1.010648,2
2024-06-14 09:46:56.330,-0.56,-10.22,0.91,-0.059536,0.021472,-1.011624,2
2024-06-14 09:46:56.335,-0.49,-12.32,0.14,-0.056608,0.012688,-1.011136,2
2024-06-14 09:46:56.340,-0.56,-13.93,-0.28,-0.05856,0.009272,-1.00772,2
2024-06-14 09:46:56.344,-0.63,-15.96,-0.49,-0.05368,0.013176,-1.0096720000000001,2
2024-06-14 09:46:56.349,-0.77,-16.59,-0.7,-0.054168,0.015616,-1.010648,2
2024-06-14 09:46:56.354,-0.77,-18.27,-0.91,-0.057095999999999994,0.013663999999999999,-1.008696,2
2024-06-14 09:46:56.359,-0.84,-19.25,-1.05,-0.05856,0.016592,-1.0047920000000001,2
2024-06-14 09:46:56.364,-0.7,-20.16,-1.19,-0.05368,0.019032,-1.006744,2
2024-06-14 09:46:56.369,-0.56,-20.93,-1.26,-0.049288,0.021472,-1.006256,2
2024-06-14 09:46:56.373,-0.42,-21.77,-1.47,-0.045872,0.019032,-1.006744,2
2024-06-14 09:46:56.378,-0.14,-22.75,-1.4,-0.045384,0.021472,-1.0091839999999999,2
2024-06-14 09:46:56.383,0.14,-23.66,-1.26,-0.046848,0.020007999999999998,-1.0126,2
2024-06-14 09:46:56.388,0.49,-24.92,-1.19,-0.050263999999999996,0.030744,-1.0096720000000001,2
2024-06-14 09:46:56.393,1.12,-26.74,-1.26,-0.048312,0.026352,-1.0126,2
2024-06-14 09:46:56.398,1.68,-27.58,-1.4,-0.044896,0.027327999999999998,-1.013576,2
2024-06-14 09:46:56.402,2.31,-28.42,-1.54,-0.040015999999999996,0.030256,-1.017968,2
2024-06-14 09:46:56.407,2.94,-28.0,-1.61,-0.037088,0.030744,-1.013088,2
2024-06-14 09:46:56.412,3.43,-26.88,-1.82,-0.02928,0.028791999999999998,-1.008208,2
2024-06-14 09:46:56.417,9.1,7.63,-0.91,-0.030744,0.031232,-1.00528,2
2024-06-14 09:46:56.422,6.93,-30.1,-3.71,-0.024399999999999998,0.033671999999999994,-1.0047920000000001,2
2024-06-14 09:46:56.427,1.33,-21.77,-3.29,-0.024399999999999998,0.02196,-1.005768,2
2024-06-14 09:46:56.432,8.61,-24.29,-0.77,-0.019032,0.025864,-1.005768,2
2024-06-14 09:46:56.436,2.17,-24.43,-1.61,-0.017079999999999998,0.023424,-1.00284,2
2024-06-14 09:46:56.441,8.47,-23.59,-2.87,-0.017567999999999997,0.020007999999999998,-1.012112,2
2024-06-14 09:46:56.446,5.74,-22.89,-3.57,-0.011712,0.010736,-1.00528,2
2024-06-14 09:46:56.451,7.49,-19.25,-1.4,-0.011224,0.020007999999999998,-1.008208,2
2024-06-14 09:46:56.456,9.87,-19.46,-0.07,-0.013176,0.020984,-1.002352,2
2024-06-14 09:46:56.461,8.54,-21.7,-1.47,-0.008296,0.017567999999999997,-1.000888,2
2024-06-14 09:46:56.465,9.87,-22.33,-3.01,-0.004391999999999999,0.018544,-0.999424,2
2024-06-14 09:46:56.470,8.19,-22.12,-2.66,0.005368,0.014152,-0.9940559999999999,2
2024-06-14 09:46:56.475,8.89,-20.86,-1.61,0.003904,0.019032,-0.9960079999999999,2
2024-06-14 09:46:56.480,8.75,-19.53,-2.1,0.008783999999999998,0.01952,-0.9969839999999999,2
2024-06-14 09:46:56.485,10.22,-17.64,-3.36,0.0068319999999999995,0.02196,-0.993568,2
2024-06-14 09:46:56.490,11.06,-15.26,-3.99,0.0068319999999999995,0.032208,-0.9940559999999999,2
2024-06-14 09:46:56.494,11.34,-13.44,-3.71,0.007808,0.040015999999999996,-0.9872239999999999,2
2024-06-14 09:46:56.499,11.62,-11.83,-3.99,0.009272,0.030256,-0.993568,2
2024-06-14 09:46:56.504,11.55,-10.99,-5.46,0.011224,0.032208,-0.9960079999999999,2
2024-06-14 09:46:56.509,11.97,-10.36,-6.51,0.00976,0.030744,-1.002352,2
2024-06-14 09:46:56.514,12.11,-10.29,-6.44,0.015128,0.013176,-1.0091839999999999,2
2024-06-14 09:46:56.519,12.81,-10.85,-6.3,0.013176,-0.003904,-1.013088,2
2024-06-14 09:46:56.524,13.16,-11.41,-6.16,0.017567999999999997,-0.002928,-1.0140639999999999,2
2024-06-14 09:46:56.528,13.72,-12.39,-6.44,0.01952,-0.011224,-1.01504,2
2024-06-14 09:46:56.533,14.0,-13.93,-6.02,0.019032,-0.018056000000000003,-1.01748,2
2024-06-14 09:46:56.538,14.42,-16.17,-5.25,0.019032,-0.020496,-1.021384,2
2024-06-14 09:46:56.543,15.05,-19.25,-4.69,0.014152,-0.013663999999999999,-1.027728,2
2024-06-14 09:46:56.548,15.89,-23.38,-4.55,0.01464,-0.001464,-1.030656,2
2024-06-14 09:46:56.553,17.15,-28.42,-4.55,0.00976,-0.002928,-1.0340719999999999,2
2024-06-14 09:46:56.557,19.11,-34.58,-4.2,0.016592,0.000488,-1.0482239999999998,2
2024-06-14 09:46:56.562,21.28,-42.0,-3.64,0.008296,-0.006344,-1.068232,2
2024-06-14 09:46:56.567,24.29,-50.47,-3.22,0.013663999999999999,-0.005856,-1.096536,2
