time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 09:40:04.535,-102.2,-91.63,-50.61,-5.906264,-0.253272,2.460984,1
2024-06-14 09:40:04.540,-164.15,-210.28,-32.27,-5.38508,-0.181536,1.241472,1
2024-06-14 09:40:04.545,-201.81,-335.23,-17.29,-2.143784,0.07027199999999999,-1.5372000000000001,1
2024-06-14 09:40:04.550,-168.7,-342.72,-18.06,0.081496,-0.37576,-2.528816,1
2024-06-14 09:40:04.554,-109.97,-343.07,-41.58,2.49368,-0.377224,-1.675304,1
2024-06-14 09:40:04.559,-60.83,-349.58,-70.49,2.449272,-0.150792,-1.787056,1
2024-06-14 09:40:04.564,10.99,-319.9,-88.83,0.7046720000000001,-0.216672,-2.39364,1
2024-06-14 09:40:04.569,65.24,-281.61,-98.07,-0.697352,0.08539999999999999,-2.2345520000000003,1
2024-06-14 09:40:04.574,67.48,-258.23,-90.23,-0.662216,0.569984,-2.2360160000000002,1
2024-06-14 09:40:04.579,39.83,-244.37,-64.61,-0.15616,0.6587999999999999,-1.9466320000000001,1
2024-06-14 09:40:04.583,17.78,-248.99,-36.96,0.222528,0.521184,-1.704096,1
2024-06-14 09:40:04.588,11.48,-249.48,-17.01,0.112728,0.34111199999999997,-1.4825439999999999,1
2024-06-14 09:40:04.593,8.89,-243.46,-4.97,-0.199592,0.177632,-1.344928,1
2024-06-14 09:40:04.598,3.57,-227.08,1.82,-0.235704,0.0034159999999999998,-1.304912,1
2024-06-14 09:40:04.603,0.91,-203.63,1.89,-0.124928,-0.22350399999999998,-1.349808,1
2024-06-14 09:40:04.608,0.7,-198.73,-7.77,-0.055144,-0.34892,-1.459608,1
2024-06-14 09:40:04.612,4.2,-191.24,-22.89,0.001464,-0.335744,-1.4571679999999998,1
2024-06-14 09:40:04.617,9.31,-179.48,-36.12,-0.01464,-0.231312,-1.481568,1
2024-06-14 09:40:04.622,9.24,-164.5,-42.42,-0.023424,-0.012688,-1.488888,1
