time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 09:40:05.137,231.84,-226.73,125.93,-5.376296,-0.27571999999999997,1.187792,1
2024-06-14 09:40:05.141,254.59,-237.44,97.51,-4.950272,0.057095999999999994,0.426024,1
2024-06-14 09:40:05.146,262.01,-329.49,70.56,-1.0262639999999998,-0.521672,-1.863672,1
2024-06-14 09:40:05.151,255.22,-343.21,77.77,0.66612,-0.172264,-2.3057999999999996,1
2024-06-14 09:40:05.156,206.92,-352.17,95.41,2.477576,0.14054399999999997,-1.458144,1
2024-06-14 09:40:05.161,155.61,-371.21,99.61,1.64456,-0.18104800000000001,-1.341024,1
2024-06-14 09:40:05.166,51.24,-347.97,99.33,0.138592,-0.340624,-2.2896959999999997,1
2024-06-14 09:40:05.170,21.56,-299.88,101.85,-0.6597759999999999,-0.643672,-2.38144,1
2024-06-14 09:40:05.175,15.26,-273.14,80.15,-0.28889600000000004,-0.9964959999999999,-2.2540720000000003,1
2024-06-14 09:40:05.180,36.68,-283.64,38.71,0.18544,-1.128744,-2.257488,1
2024-06-14 09:40:05.185,43.68,-286.93,-4.62,0.28938400000000003,-0.838384,-1.9212559999999999,1
2024-06-14 09:40:05.190,37.31,-267.33,-33.6,-0.006344,-0.393816,-1.918328,1
2024-06-14 09:40:05.195,39.83,-244.65,-40.53,-0.061,-0.064416,-1.737768,1
2024-06-14 09:40:05.199,35.98,-217.28,-34.09,0.044408,0.34745600000000004,-1.7387439999999998,1
2024-06-14 09:40:05.204,45.71,-177.52,-14.91,0.095648,0.44408,-1.645048,1
2024-06-14 09:40:05.209,36.82,-137.69,8.96,0.07466400000000001,0.491416,-1.5942960000000002,1
2024-06-14 09:40:05.214,28.49,-102.9,28.84,0.092232,0.132736,-1.316136,1
2024-06-14 09:40:05.219,18.27,-73.99,29.4,0.002928,0.124928,-1.2068240000000001,1
2024-06-14 09:40:05.223,17.36,-67.34,25.2,0.08784,0.034648,-1.24684,1
