time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 12:24:24.814,-180.67,-282.1,91.28,6.591416000000001,0.137616,-5.85112,1
2024-06-14 12:24:24.819,-211.82,-469.21,99.33,4.8858559999999995,-0.020007999999999998,1.033096,1
2024-06-14 12:24:24.824,-280.49,-254.17,124.18,-2.030568,-0.452864,0.529968,1
2024-06-14 12:24:24.829,-328.79,-333.2,117.6,1.074576,-0.301584,-2.878712,1
2024-06-14 12:24:24.834,-316.61,-334.32,94.99,-1.344928,-0.0034159999999999998,-2.576152,1
2024-06-14 12:24:24.839,-252.91,-349.65,52.71,-0.45627999999999996,-0.49776,-2.45708,1
2024-06-14 12:24:24.843,-180.53,-350.91,7.42,0.062952,-0.5289919999999999,-2.210152,1
2024-06-14 12:24:24.848,-124.74,-335.44,-31.36,0.46652799999999994,-0.024887999999999997,-2.694248,1
2024-06-14 12:24:24.853,-86.73,-309.26,-52.71,0.696864,0.293288,-2.5781039999999997,1
2024-06-14 12:24:24.858,-58.59,-282.59,-61.11,0.559248,0.25668799999999997,-2.710352,1
2024-06-14 12:24:24.863,-40.81,-250.95,-62.3,0.21862399999999999,0.471408,-2.552728,1
2024-06-14 12:24:24.868,-28.49,-212.45,-45.99,0.101992,0.56852,-2.32532,1
2024-06-14 12:24:24.873,-19.53,-182.28,-24.43,0.123464,0.362584,-1.9939679999999997,1
2024-06-14 12:24:24.877,0.63,-159.32,-16.66,0.23033599999999999,0.284992,-1.7880319999999998,1
2024-06-14 12:24:24.882,14.84,-146.44,-16.31,0.167872,0.14200800000000002,-1.648464,1
2024-06-14 12:24:24.887,12.81,-112.21,-18.83,0.126392,0.033184,-1.607472,1
2024-06-14 12:24:24.892,9.24,-86.8,-22.61,0.052704,-0.08784,-1.3785999999999998,1
2024-06-14 12:24:24.897,4.27,-72.45,-26.46,0.059048,-0.01464,-1.304912,1
2024-06-14 12:24:24.902,2.31,-62.79,-27.23,0.007808,0.041479999999999996,-1.182424,1
2024-06-14 12:24:24.906,1.19,-55.3,-26.18,-0.00732,0.076616,-1.093608,1
2024-06-14 12:24:24.911,0.56,-44.45,-22.82,0.03904,0.091744,-1.080432,1
2024-06-14 12:24:24.916,0.21,-36.96,-16.66,0.06588,0.051728,-1.1326479999999999,1
2024-06-14 12:24:24.921,-3.71,-29.82,-10.99,0.15616,-0.042455999999999994,-1.1263040000000002,1
2024-06-14 12:24:24.926,-6.09,-20.79,-8.05,0.107848,-0.00732,-1.146312,2
2024-06-14 12:24:24.931,-22.82,30.66,-10.71,0.062464,-0.015128,-1.156072,2
2024-06-14 12:24:24.936,-19.32,-47.25,-5.32,0.038064,0.020007999999999998,-1.146312,2
2024-06-14 12:24:24.940,-7.35,-52.01,-4.83,0.006344,0.051728,-1.140944,2
2024-06-14 12:24:24.945,-1.54,-44.66,-4.9,-0.025376,0.06344,-1.1204479999999999,2
2024-06-14 12:24:24.950,-6.72,-37.31,-3.78,-0.033671999999999994,0.057095999999999994,-1.101416,2
2024-06-14 12:24:24.955,5.81,-31.64,-1.82,-0.023912,0.037088,-1.1048319999999998,2
2024-06-14 12:24:24.960,0.7,-27.02,-0.14,-0.023912,0.039528,-1.1082480000000001,2
2024-06-14 12:24:24.965,2.8,-24.85,-0.21,-0.038064,0.03172,-1.110688,2
2024-06-14 12:24:24.969,5.81,-24.43,-0.98,-0.04392,0.023912,-1.106296,2
2024-06-14 12:24:24.974,0.77,-25.13,-0.63,-0.043432000000000005,0.033671999999999994,-1.107272,2
2024-06-14 12:24:24.979,4.69,-26.46,0.63,-0.033671999999999994,0.0366,-1.109224,2
2024-06-14 12:24:24.984,5.04,-27.37,1.96,-0.035135999999999994,0.056608,-1.108736,2
2024-06-14 12:24:24.989,6.37,-28.91,1.05,0.011224,0.038552,-1.091656,2
2024-06-14 12:24:24.994,10.22,-31.08,1.4,-0.041968,0.055144,-1.119472,2
2024-06-14 12:24:24.999,10.22,-32.62,0.42,-0.069296,0.079056,-1.1350879999999999,2
2024-06-14 12:24:25.003,12.74,-34.65,0.63,-0.033184,0.044408,-1.1253279999999999,2
2024-06-14 12:24:25.008,13.58,-36.26,0.42,-0.008783999999999998,-0.024887999999999997,-1.083848,2
2024-06-14 12:24:25.013,12.81,-39.69,0.56,0.028791999999999998,0.038552,-1.086288,2
2024-06-14 12:24:25.018,13.79,-41.3,0.49,0.010736,0.06831999999999999,-1.101904,2
2024-06-14 12:24:25.023,30.17,-134.12,1.54,0.021472,0.061975999999999996,-1.111176,2
2024-06-14 12:24:25.028,19.11,-28.56,-1.26,0.053192,0.039528,-1.1053199999999999,2
2024-06-14 12:24:25.032,12.95,-36.75,-0.28,0.08637600000000001,-0.02684,-1.0692080000000002,2
2024-06-14 12:24:25.037,12.95,-45.01,0.42,-0.093696,0.002928,-1.137528,2
2024-06-14 12:24:25.042,17.92,-51.8,-0.21,0.010736,0.04636,-1.110688,2
2024-06-14 12:24:25.047,10.08,-49.49,-1.68,-0.012199999999999999,0.016104,-1.114104,2
2024-06-14 12:24:25.052,13.37,-56.28,-2.31,-0.05124,0.020496,-1.1380160000000001,2
2024-06-14 12:24:25.057,10.57,-60.34,-1.54,0.032695999999999996,0.023912,-1.113128,2
2024-06-14 12:24:25.062,6.86,-65.38,-0.63,-0.0068319999999999995,0.0034159999999999998,-1.12972,2
2024-06-14 12:24:25.066,5.81,-54.11,-0.77,0.0366,-0.004391999999999999,-1.099464,2
2024-06-14 12:24:25.071,4.9,-64.61,-1.33,0.041968,0.0,-1.0833599999999999,2
2024-06-14 12:24:25.076,3.43,-69.3,-1.4,0.047335999999999996,-0.012688,-1.0789680000000001,2
2024-06-14 12:24:25.081,0.7,-69.09,-0.84,0.057095999999999994,-0.004391999999999999,-1.082872,2
2024-06-14 12:24:25.086,1.75,-70.07,-0.07,0.043432000000000005,0.004391999999999999,-1.0887280000000001,2
2024-06-14 12:24:25.091,-0.21,-77.63,0.35,0.061975999999999996,0.011712,-1.099952,2
2024-06-14 12:24:25.095,3.64,-74.13,0.42,0.073688,0.013176,-1.092632,2
2024-06-14 12:24:25.100,3.08,-82.25,0.63,0.08539999999999999,0.005368,-1.10044,2
2024-06-14 12:24:25.105,3.08,-77.21,0.84,0.077104,0.029768,-1.098976,2
2024-06-14 12:24:25.110,7.56,-77.77,0.91,0.088816,0.038064,-1.117032,2
2024-06-14 12:24:25.115,6.93,-77.0,0.14,0.09516,0.048799999999999996,-1.133136,2
2024-06-14 12:24:25.120,18.13,-76.93,-0.42,0.093208,0.011712,-1.178032,2
2024-06-14 12:24:25.125,15.61,-77.63,-0.42,0.096136,-0.012199999999999999,-1.16144,2
2024-06-14 12:24:25.129,9.45,-74.97,-0.56,0.09272,0.028791999999999998,-1.1126399999999999,2
2024-06-14 12:24:25.134,17.64,-76.58,-0.56,0.118096,0.029768,-1.0657919999999999,2
2024-06-14 12:24:25.139,32.13,-74.76,0.63,0.122976,0.035135999999999994,-1.077992,2
2024-06-14 12:24:25.144,35.49,-80.15,1.33,0.116144,-0.001464,-1.103856,2
2024-06-14 12:24:25.149,24.43,-71.26,-0.63,0.14200800000000002,0.040015999999999996,-1.096536,2
2024-06-14 12:24:25.154,26.6,-65.66,-0.49,0.14200800000000002,-0.007808,-1.1067839999999998,2
2024-06-14 12:24:25.158,32.83,-55.79,0.28,0.14688800000000002,-0.00732,-1.063352,2
2024-06-14 12:24:25.163,32.27,-55.23,0.91,0.150792,-0.0366,-1.080432,2
2024-06-14 12:24:25.168,31.78,-54.6,1.82,0.14591200000000001,-0.056608,-1.0853119999999998,2
2024-06-14 12:24:25.173,28.35,-54.6,2.17,0.157624,-0.0366,-1.081896,2
2024-06-14 12:24:25.178,24.57,-54.67,2.66,0.166896,-0.051728,-1.077992,2
2024-06-14 12:24:25.183,22.05,-54.32,3.29,0.17275200000000002,-0.045872,-1.086776,2
2024-06-14 12:24:25.188,18.34,-55.09,4.13,0.168848,-0.06490399999999999,-1.1082480000000001,2
2024-06-14 12:24:25.192,14.84,-58.1,5.11,0.179096,-0.09467199999999999,-1.1468,2
2024-06-14 12:24:25.197,11.62,-60.48,6.72,0.177144,-0.10248,-1.178032,2
2024-06-14 12:24:25.202,9.1,-64.96,7.98,0.17324,-0.05856,-1.160464,2
2024-06-14 12:24:25.207,6.3,-68.25,8.89,0.180072,-0.07027199999999999,-1.166808,2
2024-06-14 12:24:25.212,5.18,-72.24,9.31,0.18934399999999998,0.004391999999999999,-1.172664,2
2024-06-14 12:24:25.217,5.88,-78.19,9.03,0.196176,-0.027327999999999998,-1.2639200000000002,2
2024-06-14 12:24:25.221,5.11,-83.72,9.45,0.206912,-0.064416,-1.2507439999999999,2
2024-06-14 12:24:25.226,6.72,-85.89,9.31,0.206912,0.015128,-1.235128,2
2024-06-14 12:24:25.231,8.47,-88.48,8.75,0.21716,-0.002928,-1.2444,2
2024-06-14 12:24:25.236,11.27,-92.54,8.68,0.23424,0.013176,-1.277096,2
2024-06-14 12:24:25.241,11.06,-97.72,7.7,0.238144,-0.019032,-1.3029600000000001,2
2024-06-14 12:24:25.246,10.92,-103.11,7.77,0.236192,-0.056119999999999996,-1.3566399999999998,2
2024-06-14 12:24:25.251,9.59,-108.43,7.77,0.23424,-0.014152,-1.3590799999999998,2
2024-06-14 12:24:25.255,10.57,-116.76,7.77,0.23472800000000002,-0.048799999999999996,-1.3888479999999999,2
2024-06-14 12:24:25.260,12.32,-126.0,8.05,0.250832,-0.041479999999999996,-1.414224,2
2024-06-14 12:24:25.265,12.67,-135.24,8.4,0.242048,-0.041479999999999996,-1.436184,2
2024-06-14 12:24:25.270,13.37,-144.13,8.68,0.233752,-0.02928,-1.4654639999999999,3
2024-06-14 12:24:25.275,15.26,-152.74,8.4,0.240096,0.001952,-1.491816,3
2024-06-14 12:24:25.280,18.06,-163.31,8.05,0.243024,-0.0034159999999999998,-1.491328,3
2024-06-14 12:24:25.284,20.51,-171.64,7.91,0.242048,0.00488,-1.508408,3
2024-06-14 12:24:25.289,23.24,-181.16,7.49,0.243024,-0.000488,-1.53964,3
2024-06-14 12:24:25.294,26.46,-190.75,7.21,0.23179999999999998,0.040015999999999996,-1.587464,3
2024-06-14 12:24:25.299,30.59,-203.07,5.95,0.260592,0.060512,-1.62504,3
2024-06-14 12:24:25.304,27.3,-219.24,4.2,0.26888799999999996,0.05856,-1.707512,3
2024-06-14 12:24:25.309,40.32,-224.42,3.92,0.257664,0.047824,-1.706048,3
2024-06-14 12:24:25.314,45.64,-240.59,3.29,0.243024,-0.001464,-1.72996,3
2024-06-14 12:24:25.318,49.91,-254.66,3.64,0.25132,0.00488,-1.762656,3
2024-06-14 12:24:25.323,54.25,-272.3,3.43,0.23277599999999998,0.071248,-1.885144,3
2024-06-14 12:24:25.328,53.97,-291.13,2.17,0.235216,0.09759999999999999,-2.031544,3
2024-06-14 12:24:25.333,56.42,-310.66,0.98,0.26205599999999996,0.04636,-2.101816,3
2024-06-14 12:24:25.338,58.24,-331.38,0.56,0.209352,-0.020496,-2.136952,3
2024-06-14 12:24:25.343,58.66,-352.03,0.84,0.21228,-0.0034159999999999998,-2.207224,3
2024-06-14 12:24:25.347,56.35,-374.99,0.0,0.22106399999999998,0.046848,-2.338496,3
2024-06-14 12:24:25.352,53.34,-399.21,-1.89,0.24156,0.075152,-2.494168,3
2024-06-14 12:24:25.357,47.53,-424.06,-5.6,0.323544,0.083448,-2.8152719999999998,3
2024-06-14 12:24:25.362,45.29,-446.32,-7.07,0.369416,-0.049775999999999994,-2.94996,3
2024-06-14 12:24:25.367,33.74,-469.63,-6.16,0.448472,-0.012688,-3.1900560000000002,3
2024-06-14 12:24:25.372,27.3,-494.41,-7.63,0.45432799999999995,-0.193736,-3.49164,3
2024-06-14 12:24:25.385,26.18,-518.56,-6.02,0.420168,-0.372344,-3.646824,3
2024-06-14 12:24:25.389,16.94,-540.54,-3.71,0.297192,-0.313784,-3.951336,3
2024-06-14 12:24:25.394,5.6,-558.46,0.77,0.356728,-0.290848,-4.207536,3
2024-06-14 12:24:25.399,-19.25,-578.27,2.1,0.142496,-0.16104,-4.229983999999999,3
