time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 11:18:33.325,121.345,-426.82500000000005,30.03,4.776788,-1.4788839999999999,-7.469327999999999,1
2024-06-14 11:18:33.330,149.03,-350.105,53.269999999999996,3.917664,-1.219756,0.49483199999999994,1
2024-06-14 11:18:33.335,157.255,-402.15,39.34,1.046028,0.5785239999999999,-0.4411520000000001,1
2024-06-14 11:18:33.340,215.005,-425.11,50.435,-0.015128000000000003,-0.36234,-1.592344,1
2024-06-14 11:18:33.344,59.57,-357.385,56.945,-0.428952,-0.15323199999999998,-1.962736,1
2024-06-14 11:18:33.349,2.7650000000000006,-355.81,70.315,-0.89304,-0.15884399999999999,-1.985184,1
2024-06-14 11:18:33.354,-29.54,-357.66499999999996,76.09,-0.2379,-0.211304,-2.221864,1
2024-06-14 11:18:33.359,-42.7,-344.71500000000003,71.64500000000001,0.330132,-0.349896,-2.246264,1
2024-06-14 11:18:33.364,-32.655,-322.77,59.5,0.503616,-0.5404599999999999,-2.254804,1
2024-06-14 11:18:33.368,-37.03,-309.68,41.510000000000005,0.337452,-0.526064,-2.632028,1
2024-06-14 11:18:33.373,-47.599999999999994,-291.58500000000004,24.255,0.141764,-0.422608,-2.713768,1
2024-06-14 11:18:33.378,-39.34,-266.84,6.65,0.165188,-0.461648,-2.726212,1
2024-06-14 11:18:33.383,-17.535,-218.855,-9.52,0.158356,-0.284992,-2.371436,1
2024-06-14 11:18:33.388,-11.375,-161.0,-18.095,0.112728,0.0019519999999999989,-1.924672,1
2024-06-14 11:18:33.393,-9.45,-118.405,-14.105,0.080032,0.162992,-1.7419159999999998,1
2024-06-14 11:18:33.397,-12.565,-85.225,-1.8200000000000003,-0.05782799999999999,0.250832,-1.3607879999999999,1
2024-06-14 11:18:33.402,-15.75,-61.74,11.165000000000001,-0.015127999999999999,0.150304,-1.131916,1
2024-06-14 11:18:33.407,-18.62,-47.53,16.729999999999997,-0.044408,0.026839999999999996,-1.101172,1
2024-06-14 11:18:33.412,-20.615000000000002,-29.995,10.71,-0.073932,-0.06197599999999999,-1.046272,1
2024-06-14 11:18:33.417,-21.14,-22.225,1.7149999999999999,-0.09686800000000001,-0.060268,-1.079212,1
2024-06-14 11:18:33.422,-18.235,-13.195,-2.275,-0.010248,0.014396000000000003,-1.0958039999999998,1
2024-06-14 11:18:33.426,-12.46,-12.844999999999999,-2.065,0.030256,0.049044,-1.094096,1
2024-06-14 11:18:33.431,-10.149999999999999,-9.905000000000001,0.14,0.050508,0.095648,-1.0911680000000001,1
2024-06-14 11:18:33.436,-7.944999999999999,-8.015,4.305,0.014151999999999998,0.08125199999999999,-1.062376,2
2024-06-14 11:18:33.441,-5.95,-4.6899999999999995,5.67,-0.038064,0.035136,-1.028216,2
2024-06-14 11:18:33.446,-4.445,-2.9050000000000002,2.45,-0.08710799999999999,0.013176,-1.007476,2
2024-06-14 11:18:33.451,-3.185,-2.31,-0.525,-0.079788,0.020007999999999998,-1.025776,2
2024-06-14 11:18:33.455,-1.96,-3.4299999999999997,-1.26,-0.054412,0.027816,-1.039684,2
2024-06-14 11:18:33.460,-1.4,-3.325,-0.42,-0.046604,0.019520000000000003,-1.04676,2
2024-06-14 11:18:33.465,-1.19,-3.29,-0.56,-0.060267999999999995,0.003172,-1.0374879999999997,2
2024-06-14 11:18:33.470,-1.225,-3.325,-1.085,-0.08418,0.011224000000000001,-1.0165039999999999,2
2024-06-14 11:18:33.475,-1.155,-3.8149999999999995,-2.415,-0.080276,0.010004,-1.023336,2
2024-06-14 11:18:33.480,-1.295,-5.075,-2.59,-0.076616,0.023424,-1.008696,2
2024-06-14 11:18:33.484,-1.505,-5.67,-2.205,-0.082472,0.031964,-1.011868,2
2024-06-14 11:18:33.489,-1.155,-6.4399999999999995,-2.205,-0.085644,0.029523999999999998,-1.020896,2
2024-06-14 11:18:33.494,-0.735,-8.19,-2.695,-0.09028,0.01952,-1.0213839999999998,2
2024-06-14 11:18:33.499,-1.085,-9.835,-2.9749999999999996,-0.083204,0.01586,-1.0157720000000001,2
2024-06-14 11:18:33.504,-1.505,-11.445,-3.115,-0.08735200000000001,0.016104,-1.0226039999999998,2
2024-06-14 11:18:33.509,-1.9249999999999998,-13.684999999999999,-3.395,-0.08857200000000001,0.01342,-1.0238239999999998,2
2024-06-14 11:18:33.513,-2.52,-16.345,-3.745,-0.085644,0.013663999999999999,-1.023336,2
2024-06-14 11:18:33.518,-2.94,-18.479999999999997,-3.955,-0.086864,0.01464,-1.024312,2
2024-06-14 11:18:33.523,-3.115,-20.09,-4.025,-0.082228,0.017079999999999998,-1.0248,2
2024-06-14 11:18:33.528,-3.08,-21.455,-4.13,-0.0793,0.020496,-1.024556,2
2024-06-14 11:18:33.533,-3.15,-22.575000000000003,-4.025,-0.072712,0.015372,-1.024556,2
2024-06-14 11:18:33.537,-2.45,-19.53,-3.955,-0.073932,0.017812,-1.0213839999999998,2
2024-06-14 11:18:33.542,-3.57,-24.92,-3.5,-0.072712,0.019032,-1.0213839999999998,2
2024-06-14 11:18:33.547,-3.3600000000000003,-25.48,-3.2199999999999998,-0.07124799999999999,0.01952,-1.024068,2
2024-06-14 11:18:33.552,-2.205,-26.985,-3.1500000000000004,-0.06636799999999998,0.023424,-1.02114,2
2024-06-14 11:18:33.557,-0.98,-26.67,-2.905,-0.06588,0.029036,-1.017236,2
2024-06-14 11:18:33.562,-0.875,-27.439999999999998,-2.66,-0.061975999999999996,0.023424,-1.0152839999999999,2
2024-06-14 11:18:33.566,-1.3299999999999998,-32.655,-2.66,-0.061,0.020252,-1.017968,2
2024-06-14 11:18:33.571,-0.77,-27.965,-2.4850000000000003,-0.050264,0.028547999999999997,-1.0108920000000001,2
2024-06-14 11:18:33.576,-0.875,-28.21,-2.4850000000000003,-0.052947999999999995,0.028547999999999997,-1.0157720000000001,2
2024-06-14 11:18:33.581,-0.315,-29.435000000000002,-2.45,-0.048799999999999996,0.027327999999999998,-1.01748,2
2024-06-14 11:18:33.586,-0.035,-28.490000000000002,-2.45,-0.048556,0.028304,-1.0157720000000001,2
2024-06-14 11:18:33.591,0.805,-29.085,-2.345,-0.0427,0.031476000000000004,-1.0108920000000001,2
2024-06-14 11:18:33.595,1.05,-27.72,-2.3449999999999998,-0.040015999999999996,0.032696,-1.012112,2
2024-06-14 11:18:33.600,1.715,-26.075,-2.345,-0.034648,0.034892,-1.01016,2
2024-06-14 11:18:33.605,1.96,-25.619999999999997,-2.52,-0.034159999999999996,0.0305,-1.0065,2
