time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 10:35:24.501,-328.09,-441.63,-62.86,-4.427624,3.8737440000000003,-8.841096,1
2024-06-14 10:35:24.505,-284.48,-131.25,-55.16,-4.4110320000000005,-2.2482159999999998,5.610048,1
2024-06-14 10:35:24.510,-405.58,-316.33,-35.28,-1.04188,0.168848,-0.5143519999999999,1
2024-06-14 10:35:24.515,-325.22,-356.23,-35.28,-2.533696,-0.174216,-1.577704,1
2024-06-14 10:35:24.520,-251.58,-454.3,-57.89,-0.589016,-0.16982399999999997,-2.1691599999999998,1
2024-06-14 10:35:24.525,-116.76,-499.52,-93.24,0.476288,0.060024,-2.2814,1
2024-06-14 10:35:24.530,-17.29,-502.81,-124.95,1.2048720000000002,0.01952,-2.458544,1
2024-06-14 10:35:24.535,24.08,-444.22,-145.81,0.7524959999999999,0.020007999999999998,-2.90604,1
2024-06-14 10:35:24.539,34.09,-369.88,-153.79,0.41968,0.25961599999999996,-3.043656,1
2024-06-14 10:35:24.544,20.72,-308.42,-137.83,0.258152,0.711992,-2.8796880000000002,1
2024-06-14 10:35:24.549,6.58,-265.23,-106.68,0.213256,0.82472,-2.44976,1
2024-06-14 10:35:24.554,6.02,-240.24,-73.85,0.122976,0.6417200000000001,-1.8382960000000002,1
2024-06-14 10:35:24.559,0.0,-224.49,-45.85,0.00244,0.528504,-1.4352079999999998,1
2024-06-14 10:35:24.564,3.15,-215.74,-23.87,-0.056608,0.39039999999999997,-1.269776,1
2024-06-14 10:35:24.568,3.64,-206.22,-6.37,-0.091744,0.243512,-1.14192,1
2024-06-14 10:35:24.573,5.88,-206.15,4.27,-0.081496,0.08637600000000001,-1.1575360000000001,1
2024-06-14 10:35:24.578,11.27,-209.51,8.54,-0.049288,-0.034159999999999996,-1.334192,1
2024-06-14 10:35:24.583,0.49,-208.11,7.91,-0.005856,-0.166408,-1.5986879999999999,1
2024-06-14 10:35:24.588,-16.8,-192.01,3.22,0.07222400000000001,-0.16348,-1.46644,1
2024-06-14 10:35:24.593,-16.45,-173.32,-1.54,0.108336,-0.076616,-1.403,1
2024-06-14 10:35:24.598,-12.11,-144.76,-2.73,0.12395199999999999,-0.012199999999999999,-1.302472,1
2024-06-14 10:35:24.602,-11.2,-99.12,-0.07,0.17275200000000002,0.022936,-1.308328,1
2024-06-14 10:35:24.607,-11.69,-67.69,5.46,0.06734399999999999,0.027327999999999998,-1.162416,1
2024-06-14 10:35:24.612,-16.66,-43.54,9.03,0.072712,0.020984,-1.1716879999999998,2
2024-06-14 10:35:24.617,-12.46,-24.15,10.78,0.048312,-0.016104,-1.0555439999999998,2
2024-06-14 10:35:24.622,-9.24,-15.05,10.71,0.060024,-0.00732,-1.08824,2
2024-06-14 10:35:24.627,-8.26,2.38,8.75,0.042944,-0.05368,-1.0535919999999999,2
2024-06-14 10:35:24.632,-10.43,4.9,4.55,0.04636,-0.024887999999999997,-1.05652,2
2024-06-14 10:35:24.636,-6.72,5.81,1.68,0.038552,-0.001952,-1.05164,2
2024-06-14 10:35:24.641,-5.6,2.03,1.12,0.035135999999999994,0.008783999999999998,-1.047248,2
2024-06-14 10:35:24.646,-6.16,0.28,1.05,0.019032,0.030256,-1.030656,2
2024-06-14 10:35:24.651,-2.8,-1.96,0.84,0.017079999999999998,0.020984,-1.0238239999999998,2
2024-06-14 10:35:24.656,-3.5,-3.85,-0.14,-0.001464,0.005856,-1.021384,2
2024-06-14 10:35:24.661,-2.8,-6.72,-1.26,-0.0034159999999999998,0.0034159999999999998,-1.020896,2
2024-06-14 10:35:24.665,-1.54,-9.66,-2.59,-0.000488,0.005368,-1.0248,2
2024-06-14 10:35:24.670,-2.38,-12.25,-2.87,0.001464,0.013663999999999999,-1.022848,2
2024-06-14 10:35:24.675,-1.4,-13.86,-2.8,-0.000976,0.012199999999999999,-1.021872,2
2024-06-14 10:35:24.680,-1.05,-15.19,-3.01,-0.011224,0.008296,-1.016504,2
2024-06-14 10:35:24.685,-0.84,-15.75,-3.15,-0.014152,0.00244,-1.0126,2
2024-06-14 10:35:24.690,0.28,-15.96,-3.5,-0.008296,0.00732,-1.0091839999999999,2
2024-06-14 10:35:24.695,0.35,-14.98,-4.27,-0.009272,0.017567999999999997,-1.010648,2
2024-06-14 10:35:24.699,0.7,-13.16,-4.2,-0.011224,0.001464,-1.00772,2
2024-06-14 10:35:24.704,1.05,-11.27,-4.76,-0.016592,-0.001952,-1.0004,2
2024-06-14 10:35:24.709,0.98,-11.2,-5.32,-0.028304,-0.003904,-0.9969839999999999,2
2024-06-14 10:35:24.714,2.31,-10.01,-5.39,-0.034159999999999996,0.001464,-0.9940559999999999,2
2024-06-14 10:35:24.719,1.68,-7.77,-5.53,-0.026352,-0.002928,-1.000888,2
2024-06-14 10:35:24.724,0.28,-8.82,-5.25,-0.035135999999999994,0.002928,-0.9916159999999999,2
2024-06-14 10:35:24.729,0.98,-11.13,-4.69,-0.037576,0.004391999999999999,-0.9911279999999999,2
