time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 09:39:17.539,-174.93,-194.53,-105.63,-5.837943999999999,-0.808128,1.313696,1
2024-06-14 09:39:17.544,-157.01,-302.54,-85.26,-3.648776,-0.000976,-0.59536,1
2024-06-14 09:39:17.549,-143.64,-346.29,-81.13,-0.45139999999999997,-0.06344,-2.179408,1
2024-06-14 09:39:17.554,-105.35,-337.19,-98.98,1.696776,-0.398696,-2.005192,1
2024-06-14 09:39:17.559,-68.39,-345.87,-119.42,2.892864,-0.14932800000000002,-1.264896,1
2024-06-14 09:39:17.563,-15.05,-338.45,-134.12,1.397144,-0.011224,-1.931992,1
2024-06-14 09:39:17.568,52.99,-297.57,-140.28,-0.386496,0.184464,-2.1291439999999997,1
2024-06-14 09:39:17.573,67.83,-269.29,-130.97,-0.8115439999999999,0.745176,-2.041304,1
2024-06-14 09:39:17.578,45.15,-256.69,-99.75,-0.313296,1.008208,-1.976888,1
2024-06-14 09:39:17.583,15.75,-257.04,-57.05,0.245464,0.9755119999999999,-1.883192,1
2024-06-14 09:39:17.588,-7.14,-260.96,-19.95,0.26205599999999996,0.7363919999999999,-1.597224,1
2024-06-14 09:39:17.593,-9.17,-262.64,5.95,-0.076616,0.44700799999999996,-1.5537919999999998,1
2024-06-14 09:39:17.597,-8.75,-239.68,21.0,-0.22350399999999998,0.182512,-1.4083679999999998,1
2024-06-14 09:39:17.602,-16.03,-222.6,25.62,-0.093696,-0.14932800000000002,-1.4781520000000001,1
2024-06-14 09:39:17.607,-20.93,-217.07,18.41,0.00488,-0.424072,-1.51524,1
2024-06-14 09:39:17.612,-16.45,-207.97,-0.7,-0.011712,-0.50508,-1.529392,1
2024-06-14 09:39:17.617,-7.49,-191.52,-24.71,-0.045384,-0.39967199999999997,-1.706048,1
2024-06-14 09:39:17.622,-2.87,-159.67,-40.46,0.005368,-0.127856,-1.4586320000000002,1
2024-06-14 09:39:17.626,-0.77,-129.64,-39.48,0.07466400000000001,0.166408,-1.45912,1
2024-06-14 09:39:17.631,-7.35,-93.24,-27.65,0.08686400000000001,0.142984,-1.462536,1
2024-06-14 09:39:17.636,-11.55,-48.3,-7.56,-0.012688,-0.105408,-1.160464,1
2024-06-14 09:39:17.641,-9.31,-38.57,-3.57,0.09759999999999999,-0.122976,-1.209264,1
2024-06-14 09:39:17.646,-4.69,-24.99,-7.63,0.105896,-0.017567999999999997,-1.1956,1
2024-06-14 09:39:17.651,-2.1,-16.52,-8.68,0.0068319999999999995,0.028791999999999998,-1.099952,2
2024-06-14 09:39:17.656,-1.47,-7.98,-6.02,-0.121024,-0.022936,-0.962336,2
2024-06-14 09:39:17.660,-2.94,-9.73,-0.42,0.00244,0.105408,-1.0477359999999998,2
2024-06-14 09:39:17.665,-1.12,-10.71,-0.35,-0.015616,-0.003904,-1.015528,2
2024-06-14 09:39:17.670,0.35,-11.06,-1.89,-0.054655999999999996,-0.057095999999999994,-1.0145520000000001,2
2024-06-14 09:39:17.675,-0.21,-11.83,-1.75,-0.053192,-0.029768,-1.0287039999999998,2
2024-06-14 09:39:17.680,-0.21,-12.6,-1.05,-0.060024,0.000976,-1.01992,2
2024-06-14 09:39:17.685,0.28,-13.09,-0.84,-0.05124,-0.012688,-1.011624,2
2024-06-14 09:39:17.689,0.21,-13.51,-0.49,-0.047335999999999996,-0.031232,-1.012112,2
2024-06-14 09:39:17.694,0.0,-14.07,-0.28,-0.052216,-0.027327999999999998,-1.0096720000000001,2
2024-06-14 09:39:17.699,-0.21,-14.77,-0.21,-0.056608,-0.021472,-1.012112,2
2024-06-14 09:39:17.704,-0.42,-15.33,-0.14,-0.048312,-0.020007999999999998,-1.016504,2
2024-06-14 09:39:17.709,-0.56,-15.82,-0.07,-0.050263999999999996,-0.03172,-1.012112,2
2024-06-14 09:39:17.714,-0.84,-17.01,-0.14,-0.054168,-0.023912,-1.0145520000000001,2
2024-06-14 09:39:17.719,-1.26,-17.64,-0.07,-0.055144,-0.024399999999999998,-1.00772,2
2024-06-14 09:39:17.723,-1.68,-18.06,-0.07,-0.05124,-0.023424,-1.0091839999999999,2
2024-06-14 09:39:17.728,-2.17,-19.18,0.0,-0.047335999999999996,-0.025864,-1.013088,2
2024-06-14 09:39:17.733,-2.52,-19.53,0.0,-0.050752,-0.028791999999999998,-1.010648,2
2024-06-14 09:39:17.738,-3.08,-20.16,-0.07,-0.052216,-0.025376,-1.015528,2
2024-06-14 09:39:17.743,-3.92,-20.72,-0.14,-0.048312,-0.024887999999999997,-1.01016,2
2024-06-14 09:39:17.748,-4.48,-20.51,-0.21,-0.047335999999999996,-0.019032,-1.012112,2
