time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 12:01:39.188,553.63,-205.87,88.48,-0.34111199999999997,-4.475448,-11.827168,1
2024-06-14 12:01:39.193,370.51,-20.3,70.07,-3.750768,1.3488319999999998,2.652768,1
2024-06-14 12:01:39.198,474.39,-168.49,40.95,-2.5185679999999997,-0.535336,-0.030744,1
2024-06-14 12:01:39.203,447.09,-276.01,51.03,-1.9466320000000001,-0.15372,-1.348344,1
2024-06-14 12:01:39.207,401.38,-321.23,67.06,-1.29076,-0.46067199999999997,-0.903288,1
2024-06-14 12:01:39.212,336.98,-373.03,74.55,-0.138592,-0.859856,-1.4923039999999999,1
2024-06-14 12:01:39.217,219.45,-382.27,87.29,0.228872,-0.9813679999999999,-1.5142639999999998,1
2024-06-14 12:01:39.222,111.23,-376.25,115.36,0.753472,-0.603656,-1.591856,1
2024-06-14 12:01:39.227,-10.22,-345.73,145.74,0.56364,-0.46945600000000004,-1.880752,1
2024-06-14 12:01:39.232,-99.05,-295.75,165.9,0.43968799999999997,-0.6280560000000001,-2.093032,1
2024-06-14 12:01:39.236,-141.4,-254.94,162.12,0.26205599999999996,-0.8662,-1.99836,1
2024-06-14 12:01:39.241,-136.5,-230.65,130.06,0.14591200000000001,-1.178032,-1.875872,1
2024-06-14 12:01:39.246,-114.03,-221.48,79.8,0.015616,-1.362496,-1.709952,1
2024-06-14 12:01:39.251,-89.53,-217.35,21.7,-0.008783999999999998,-1.2209759999999998,-1.675792,1
2024-06-14 12:01:39.256,-70.63,-209.58,-34.09,0.016104,-0.9706319999999999,-1.4156879999999998,1
2024-06-14 12:01:39.261,-60.97,-198.59,-74.41,0.025864,-0.527528,-1.5064559999999998,1
2024-06-14 12:01:39.265,-53.76,-178.29,-88.83,0.049775999999999994,0.150792,-1.481568,1
2024-06-14 12:01:39.270,-52.64,-157.36,-76.09,-0.015128,0.706624,-1.61528,1
2024-06-14 12:01:39.275,-47.67,-134.96,-43.68,0.030744,0.964776,-1.585512,1
2024-06-14 12:01:39.280,-47.25,-117.25,-4.55,0.020496,0.808128,-1.575264,1
2024-06-14 12:01:39.285,-41.37,-100.45,28.77,0.061975999999999996,0.5729120000000001,-1.3371199999999999,1
2024-06-14 12:01:39.289,-32.34,-90.16,44.8,0.04636,0.16591999999999998,-1.343464,1
2024-06-14 12:01:39.294,-19.25,-75.6,40.46,0.029768,-0.126392,-1.292712,1
2024-06-14 12:01:39.299,-21.21,-44.73,21.49,0.048312,-0.30988,-1.403976,1
2024-06-14 12:01:39.304,-19.11,-23.03,4.2,0.000976,-0.174704,-1.2639200000000002,1
2024-06-14 12:01:39.309,-17.29,-11.06,-2.52,0.04392,-0.033184,-1.20048,1
2024-06-14 12:01:39.314,-17.57,-2.45,-1.19,0.066856,0.074176,-1.175592,1
2024-06-14 12:01:39.318,-15.05,2.24,2.24,0.049288,0.11467999999999999,-1.152656,2
2024-06-14 12:01:39.323,-3.99,3.08,4.06,-0.027816,0.076128,-1.116056,2
2024-06-14 12:01:39.328,0.91,-0.14,3.78,-0.107848,0.00732,-1.064816,2
2024-06-14 12:01:39.333,1.96,-3.29,1.82,-0.13176,-0.04392,-1.0438319999999999,2
2024-06-14 12:01:39.338,1.12,-4.48,-0.7,-0.09516,-0.042944,-1.049688,2
2024-06-14 12:01:39.343,0.0,-6.37,-1.75,-0.076616,-0.016104,-1.062864,2
2024-06-14 12:01:39.347,-0.77,-8.96,-1.75,-0.08247199999999999,0.007808,-1.067256,2
2024-06-14 12:01:39.352,-0.63,-10.64,-0.84,-0.105408,0.030256,-1.0574959999999998,2
2024-06-14 12:01:39.357,-0.14,-13.58,-0.91,-0.126392,0.023424,-1.045296,2
2024-06-14 12:01:39.362,0.56,-16.24,-1.4,-0.11956,0.00244,-1.040904,2
2024-06-14 12:01:39.367,0.21,-18.76,-1.61,-0.108336,-0.010248,-1.044808,2
2024-06-14 12:01:39.371,-0.98,-20.79,-1.89,-0.101504,-0.012688,-1.049688,2
2024-06-14 12:01:39.376,-2.31,-21.7,-1.82,-0.104432,-0.000976,-1.050176,2
2024-06-14 12:01:39.381,-2.52,-22.68,-1.96,-0.108336,0.003904,-1.044808,2
2024-06-14 12:01:39.386,-2.1,-23.03,-1.61,-0.11223999999999999,0.014152,-1.04188,2
2024-06-14 12:01:39.391,-2.1,-24.57,-1.33,-0.103456,0.016592,-1.037488,2
2024-06-14 12:01:39.396,-2.1,-26.88,-1.12,-0.10492,0.010248,-1.038952,2
2024-06-14 12:01:39.400,-1.96,-28.84,-1.26,-0.09955199999999999,0.007808,-1.038952,2
2024-06-14 12:01:39.405,-2.24,-30.66,-1.05,-0.101504,0.003904,-1.031144,2
2024-06-14 12:01:39.410,-2.87,-31.85,-1.33,-0.094184,0.005856,-1.030656,2
2024-06-14 12:01:39.415,-3.29,-33.6,-1.05,-0.089792,0.002928,-1.0262639999999998,2
2024-06-14 12:01:39.420,-3.71,-35.49,-0.98,-0.093696,0.007808,-1.025288,2
2024-06-14 12:01:39.425,-3.71,-37.24,-1.26,-0.08686400000000001,0.011712,-1.029192,2
2024-06-14 12:01:39.429,-3.29,-38.64,-0.98,-0.08784,0.014152,-1.0238239999999998,2
2024-06-14 12:01:39.434,-2.59,-40.81,-1.05,-0.08247199999999999,0.020984,-1.023336,2
2024-06-14 12:01:39.439,-0.84,-39.06,-1.4,-0.08295999999999999,0.02928,-1.0145520000000001,2
2024-06-14 12:01:39.444,0.91,-38.29,-1.82,-0.06831999999999999,0.029768,-1.018456,2
2024-06-14 12:01:39.449,2.31,-37.17,-1.89,-0.061,0.02928,-1.003816,2
2024-06-14 12:01:39.453,3.36,-36.33,-1.89,-0.055632,0.02928,-1.010648,2
2024-06-14 12:01:39.458,4.34,-34.16,-1.82,-0.049775999999999994,0.023912,-1.003816,2
2024-06-14 12:01:39.463,5.74,-27.37,-2.17,-0.049775999999999994,0.02196,-1.006744,2
2024-06-14 12:01:39.468,6.09,-31.08,-1.75,-0.052216,0.02196,-1.0043039999999999,2
2024-06-14 12:01:39.473,5.81,-29.33,-1.68,-0.042455999999999994,0.01952,-1.005768,2
2024-06-14 12:01:39.478,6.72,-27.23,-1.54,-0.040992,0.016592,-1.008696,2
2024-06-14 12:01:39.482,6.65,-25.83,-1.54,-0.036112000000000005,0.017079999999999998,-1.0043039999999999,2
2024-06-14 12:01:39.487,6.86,-24.01,-1.4,-0.034159999999999996,0.028791999999999998,-1.001376,2
2024-06-14 12:01:39.492,8.19,-22.47,-1.61,-0.035624,0.050263999999999996,-1.005768,2
2024-06-14 12:01:39.497,10.5,-21.63,-2.1,-0.048799999999999996,0.048312,-1.016992,2
2024-06-14 12:01:39.502,12.18,-21.63,-2.38,-0.054655999999999996,0.018056000000000003,-1.031632,2
2024-06-14 12:01:39.507,11.97,-22.61,-2.31,-0.055144,-0.015128,-1.0394400000000001,2
2024-06-14 12:01:39.511,10.36,-23.94,-2.1,-0.031232,-0.0366,-1.0482239999999998,2
2024-06-14 12:01:39.516,7.63,-24.71,-1.75,-0.01952,-0.028791999999999998,-1.04432,2
2024-06-14 12:01:39.521,5.46,-24.85,-1.26,-0.015616,-0.016104,-1.040904,2
2024-06-14 12:01:39.526,2.8,-20.72,-1.12,-0.015616,-0.010736,-1.03212,2
2024-06-14 12:01:39.531,1.54,-19.88,-1.05,-0.023424,-0.005368,-1.031144,2
2024-06-14 12:01:39.535,0.7,-19.32,-0.91,-0.029768,-0.00488,-1.031144,2
2024-06-14 12:01:39.540,-0.14,-19.04,-0.98,-0.023912,0.00244,-1.0365119999999999,2
2024-06-14 12:01:39.545,1.47,-12.25,-0.84,-0.022936,0.003904,-1.032608,2
2024-06-14 12:01:39.550,-0.35,-14.28,-0.7,-0.018544,0.010248,-1.031144,2
2024-06-14 12:01:39.555,-0.07,-15.61,-0.7,-0.016592,0.018544,-1.0287039999999998,2
2024-06-14 12:01:39.560,1.82,-2.66,-5.39,-0.021472,0.013176,-1.04188,2
2024-06-14 12:01:39.564,-14.56,-41.23,-8.75,-0.037576,-0.008296,-0.99552,2
2024-06-14 12:01:39.569,-2.8,-0.14,-4.34,-0.023912,0.023912,-1.030168,2
2024-06-14 12:01:39.574,6.79,9.59,3.43,-0.020496,0.025864,-1.030168,2
2024-06-14 12:01:39.579,-1.61,8.19,2.87,-0.014152,0.024887999999999997,-1.0384639999999998,2
2024-06-14 12:01:39.584,4.83,9.52,-1.54,-0.011712,0.023424,-1.045296,2
2024-06-14 12:01:39.589,-2.87,8.54,-4.06,-0.006344,0.011712,-1.04432,2
2024-06-14 12:01:39.593,-1.26,7.07,-1.12,-0.013176,0.00976,-1.055056,2
2024-06-14 12:01:39.598,-7.07,-0.0,-0.49,-0.008783999999999998,0.025376,-1.0438319999999999,2
2024-06-14 12:01:39.603,-6.44,-3.92,-3.78,-0.003904,-0.001464,-1.065304,2
2024-06-14 12:01:39.608,-7.77,-10.78,-6.3,-0.011712,0.011712,-1.083848,2
2024-06-14 12:01:39.613,-12.46,-17.71,-6.02,-0.012199999999999999,-0.0034159999999999998,-1.1053199999999999,2
2024-06-14 12:01:39.617,-13.72,-14.21,-3.78,-0.013176,-0.039528,-1.133136,2
2024-06-14 12:01:39.622,-14.28,-19.6,-2.17,-0.02196,0.012688,-1.1180080000000001,2
2024-06-14 12:01:39.627,-17.01,-23.38,-5.04,-0.008783999999999998,0.000976,-1.100928,2
2024-06-14 12:01:39.632,-15.89,-27.02,-6.09,-0.002928,-0.008296,-1.089216,2
2024-06-14 12:01:39.637,-15.33,-30.94,-4.41,-0.001464,0.001952,-1.1048319999999998,2
2024-06-14 12:01:39.642,-11.69,-35.98,-2.24,0.001464,-0.011712,-1.052616,2
2024-06-14 12:01:39.646,-1.82,-44.87,-2.17,-0.001464,-0.005368,-1.138992,3
2024-06-14 12:01:39.651,7.0,-49.0,-2.87,0.007808,-0.005368,-1.159488,3
2024-06-14 12:01:39.656,11.55,-49.28,-3.22,-0.007808,-0.0034159999999999998,-1.218048,3
2024-06-14 12:01:39.661,10.64,-56.21,-2.1,-0.071248,0.043432000000000005,-1.258064,3
2024-06-14 12:01:39.666,-16.94,-50.4,-2.52,-0.026352,0.015128,-1.2526959999999998,3
2024-06-14 12:01:39.671,-16.8,-55.58,-3.36,-0.014152,-0.01464,-1.2409839999999999,3
2024-06-14 12:01:39.675,-17.29,-59.99,-3.43,0.0,-0.012199999999999999,-1.247328,3
2024-06-14 12:01:39.680,-19.6,-64.12,-2.45,0.000976,-0.027327999999999998,-1.265384,3
2024-06-14 12:01:39.685,-21.63,-68.67,-1.05,0.006344,-0.041479999999999996,-1.294176,3
2024-06-14 12:01:39.690,-24.36,-73.22,-0.77,-0.001464,-0.044896,-1.291248,3
2024-06-14 12:01:39.695,-25.55,-78.61,-0.42,-0.002928,-0.06539199999999999,-1.303936,3
2024-06-14 12:01:39.699,-27.37,-87.71,0.77,-0.013176,0.02928,-1.338584,3
2024-06-14 12:01:39.704,-29.4,-93.24,0.28,-0.007808,0.00488,-1.302472,3
2024-06-14 12:01:39.709,-30.38,-100.59,0.14,-0.014152,0.015128,-1.38104,3
2024-06-14 12:01:39.714,-30.87,-109.55,-0.49,-0.01952,0.01952,-1.3800640000000002,3
2024-06-14 12:01:39.719,-32.27,-119.14,-0.98,-0.016592,0.018544,-1.4078799999999998,3
2024-06-14 12:01:39.724,-32.9,-130.62,-0.63,-0.028304,0.038064,-1.4093440000000002,3
2024-06-14 12:01:39.728,-34.58,-142.87,-1.26,-0.028791999999999998,0.036112000000000005,-1.445944,3
2024-06-14 12:01:39.733,-36.33,-155.33,-2.17,-0.035135999999999994,0.029768,-1.505968,3
2024-06-14 12:01:39.738,-38.78,-168.56,-2.66,-0.041968,-0.020496,-1.6304079999999999,3
2024-06-14 12:01:39.743,-40.95,-183.68,-2.24,-0.059048,-0.007808,-1.687504,3
2024-06-14 12:01:39.748,-43.12,-200.76,-2.03,-0.09028,0.010248,-1.792424,3
2024-06-14 12:01:39.753,-43.19,-218.75,-2.8,-0.1098,0.07173600000000001,-1.804136,3
2024-06-14 12:01:39.757,-41.44,-238.42,-4.55,-0.14103200000000002,0.120048,-1.8568399999999998,3
2024-06-14 12:01:39.762,-38.57,-258.65,-7.28,-0.17275200000000002,0.16738399999999998,-1.917352,3
2024-06-14 12:01:39.767,-35.91,-280.7,-10.5,-0.180072,0.188368,-1.94956,3
2024-06-14 12:01:39.772,-32.55,-302.89,-13.79,-0.200568,0.171776,-1.9920159999999998,3
2024-06-14 12:01:39.777,-30.87,-325.71,-16.87,-0.206912,0.16006399999999998,-2.079856,3
2024-06-14 12:01:39.781,-31.99,-347.69,-19.6,-0.240584,0.13468799999999997,-2.175504,3
2024-06-14 12:01:39.786,-30.52,-370.86,-21.56,-0.247416,0.177632,-2.279448,3
2024-06-14 12:01:39.791,-29.33,-394.59,-23.73,-0.24790399999999999,0.20496,-2.4292640000000003,3
2024-06-14 12:01:39.796,-28.0,-415.52,-26.53,-0.170312,0.203984,-2.555656,3
2024-06-14 12:01:39.801,-21.0,-435.96,-26.67,-0.037576,0.159088,-2.6630160000000003,3
2024-06-14 12:01:39.806,-19.81,-453.32,-26.04,0.08784,0.171776,-2.763056,3
2024-06-14 12:01:39.810,-24.99,-464.59,-25.69,0.16006399999999998,0.182512,-2.968504,3
2024-06-14 12:01:39.815,-31.15,-470.89,-24.15,0.29133600000000004,0.198616,-3.054392,3
2024-06-14 12:01:39.820,-41.86,-465.43,-24.43,0.42456,0.27083999999999997,-3.228608,3
2024-06-14 12:01:39.825,-46.62,-464.8,-27.02,0.423096,0.21862399999999999,-3.148576,3
2024-06-14 12:01:39.830,-45.01,-470.19,-28.63,0.33964799999999995,0.227896,-3.033896,3
2024-06-14 12:01:39.835,-43.26,-470.61,-31.15,0.159088,0.28401600000000005,-3.082208,3
2024-06-14 12:01:39.839,-41.65,-451.64,-34.79,0.277184,0.33720799999999995,-3.06708,3
2024-06-14 12:01:39.844,-38.57,-442.26,-40.39,-0.013663999999999999,0.33476799999999995,-2.9728959999999995,3
2024-06-14 12:01:39.849,-31.01,-425.04,-43.05,-0.212768,0.29865600000000003,-2.710352,3
2024-06-14 12:01:39.854,-31.5,-409.08,-48.65,-0.716384,0.325496,-2.628368,3
2024-06-14 12:01:39.859,-25.48,-391.79,-51.66,-1.040416,0.34648,-2.4844079999999997,3
2024-06-14 12:01:39.863,-29.33,-377.58,-59.22,-1.330288,0.43724799999999997,-2.3546,4
2024-06-14 12:01:39.868,-29.19,-371.49,-67.97,-1.809992,0.481168,-2.048624,4
2024-06-14 12:01:39.873,-30.38,-365.82,-77.77,-2.074,0.484096,-1.696288,4
2024-06-14 12:01:39.878,-34.16,-365.75,-97.65,-2.31556,0.6017039999999999,-1.311744,4
2024-06-14 12:01:39.883,-34.37,-377.58,-105.77,-2.2106399999999997,0.53924,-0.7768959999999999,4
2024-06-14 12:01:39.888,-25.27,-386.05,-135.03,-1.8382960000000002,0.652456,0.073688,4
2024-06-14 12:01:39.892,-9.59,-389.69,-159.39,-1.1721759999999999,0.625128,0.272792,4
2024-06-14 12:01:39.897,-22.75,-313.67,-178.5,-1.01504,0.399184,-0.959408,4
2024-06-14 12:01:39.902,-47.74,-203.77,-190.19,-1.460584,0.45432799999999995,-1.7011679999999998,4
2024-06-14 12:01:39.907,-41.3,-109.27,-188.51,-1.7885199999999999,0.1586,-1.196088,4
2024-06-14 12:01:39.912,-24.01,-13.16,-173.74,-2.046672,-0.183488,-0.632936,4
2024-06-14 12:01:39.917,-0.56,75.95,-151.2,-2.105232,-0.304024,-0.6017039999999999,4
2024-06-14 12:01:39.921,30.1,149.24,-127.4,-1.8675760000000001,-0.23912,-0.8042239999999999,4
2024-06-14 12:01:39.926,59.15,202.93,-107.17,-1.543056,-0.142496,-0.896944,4
2024-06-14 12:01:39.931,81.9,238.49,-91.0,-1.327848,-0.101016,-0.867176,4
2024-06-14 12:01:39.936,97.16,260.68,-78.54,-1.2234159999999998,-0.055144,-0.789584,4
2024-06-14 12:01:39.941,106.82,274.12,-69.58,-1.1672960000000001,0.019032,-0.691984,4
2024-06-14 12:01:39.945,111.65,280.91,-63.21,-1.099952,0.108824,-0.598776,4
2024-06-14 12:01:39.950,109.83,283.57,-59.64,-1.0145520000000001,0.191296,-0.5328959999999999,4
2024-06-14 12:01:39.955,100.45,283.99,-58.66,-0.930128,0.27620799999999995,-0.5133759999999999,4
2024-06-14 12:01:39.960,85.47,282.66,-59.64,-0.86864,0.33232799999999996,-0.508984,4
2024-06-14 12:01:39.965,66.64,280.21,-61.53,-0.803248,0.37868799999999997,-0.504104,4
2024-06-14 12:01:39.970,45.43,277.48,-63.84,-0.73932,0.38600799999999996,-0.513864,4
2024-06-14 12:01:39.974,24.78,275.03,-65.87,-0.687104,0.38308,-0.5182559999999999,4
2024-06-14 12:01:39.979,6.23,273.42,-66.99,-0.637328,0.34111199999999997,-0.530944,4
2024-06-14 12:01:39.984,-8.54,272.86,-66.71,-0.594384,0.27815999999999996,-0.550952,4
2024-06-14 12:01:39.989,-19.11,273.63,-64.61,-0.5582719999999999,0.21472,-0.5821839999999999,4
2024-06-14 12:01:39.994,-25.2,275.31,-60.48,-0.533384,0.14396,-0.6153679999999999,4
2024-06-14 12:01:39.999,-27.23,278.18,-54.32,-0.5119119999999999,0.08003199999999999,-0.640744,4
2024-06-14 12:01:40.003,-26.39,282.24,-46.55,-0.499224,0.02928,-0.670024,4
2024-06-14 12:01:40.008,-24.01,288.05,-37.8,-0.487512,0.003904,-0.705648,4
2024-06-14 12:01:40.013,-21.14,295.05,-28.49,-0.472384,-0.00244,-0.747616,4
2024-06-14 12:01:40.018,-18.76,303.03,-19.25,-0.457744,0.001464,-0.798856,4
2024-06-14 12:01:40.023,-17.99,311.43,-10.71,-0.450424,0.022448,-0.852536,4
2024-06-14 12:01:40.028,-19.04,319.83,-3.15,-0.43676,0.050263999999999996,-0.905728,4
2024-06-14 12:01:40.032,-22.19,328.02,3.43,-0.430904,0.079544,-0.962336,4
2024-06-14 12:01:40.037,-27.02,335.86,9.17,-0.416752,0.099064,-1.016504,4
2024-06-14 12:01:40.042,-32.69,343.56,14.14,-0.411384,0.108824,-1.06384,4
2024-06-14 12:01:40.047,-38.43,351.26,18.69,-0.416752,0.105408,-1.111664,4
2024-06-14 12:01:40.052,-43.68,359.03,22.82,-0.40845600000000004,0.09955199999999999,-1.160952,4
2024-06-14 12:01:40.056,-47.74,366.45,26.74,-0.399184,0.08247199999999999,-1.219512,4
2024-06-14 12:01:40.061,-50.54,373.03,30.66,-0.386984,0.06783199999999999,-1.279536,4
2024-06-14 12:01:40.066,-52.64,378.7,34.02,-0.377224,0.069296,-1.350784,4
2024-06-14 12:01:40.071,-53.62,383.53,36.96,-0.369416,0.061,-1.4176399999999998,4
2024-06-14 12:01:40.076,-53.97,387.87,38.99,-0.3538,0.062464,-1.482056,4
2024-06-14 12:01:40.081,-53.62,391.51,40.32,-0.34745600000000004,0.061,-1.5533039999999998,4
2024-06-14 12:01:40.085,-52.85,394.31,41.09,-0.335256,0.06344,-1.630896,4
2024-06-14 12:01:40.090,-52.29,396.34,41.09,-0.31232,0.064416,-1.705072,4
2024-06-14 12:01:40.095,-52.15,396.9,40.53,-0.28059999999999996,0.073688,-1.793888,4
2024-06-14 12:01:40.100,-53.27,395.36,39.27,-0.240584,0.09272,-1.8866079999999998,4
2024-06-14 12:01:40.105,-56.0,391.37,37.17,-0.169336,0.113704,-1.9724959999999998,4
2024-06-14 12:01:40.110,-61.39,384.3,34.23,-0.08784,0.142496,-2.069608,4
2024-06-14 12:01:40.114,-69.65,373.24,30.1,0.001464,0.182024,-2.19844,4
2024-06-14 12:01:40.119,-80.99,357.98,25.13,0.117608,0.203008,-2.353624,4
2024-06-14 12:01:40.124,-94.85,338.94,19.95,0.255712,0.21862399999999999,-2.5668800000000003,4
2024-06-14 12:01:40.129,-106.19,318.36,16.17,0.410408,0.19422399999999998,-2.801608,4
2024-06-14 12:01:40.134,-108.78,299.25,15.33,0.557784,0.124928,-2.96216,4
2024-06-14 12:01:40.138,-103.18,287.21,17.85,0.671976,0.045872,-3.05976,4
2024-06-14 12:01:40.143,-90.65,283.36,24.36,0.765672,-0.00732,-3.139792,4
2024-06-14 12:01:40.148,-74.69,287.35,34.72,0.867664,-0.031232,-3.25496,4
2024-06-14 12:01:40.153,-56.42,297.57,48.65,1.022848,-0.007808,-3.3227919999999997,4
2024-06-14 12:01:40.158,-38.43,311.78,63.84,1.199992,0.071248,-3.3349919999999997,4
2024-06-14 12:01:40.163,-25.62,328.58,77.77,1.384456,0.191296,-3.33548,4
2024-06-14 12:01:40.167,-19.46,345.1,89.81,1.616256,0.316224,-3.317424,4
2024-06-14 12:01:40.172,-20.09,359.31,100.24,1.85928,0.435296,-3.253984,4
2024-06-14 12:01:40.177,-24.92,369.67,108.71,2.097912,0.5734,-3.134424,4
2024-06-14 12:01:40.182,-32.76,374.92,113.89,2.340936,0.721752,-2.996808,4
2024-06-14 12:01:40.187,-43.68,373.52,114.38,2.5839600000000003,0.879864,-2.853824,4
2024-06-14 12:01:40.192,-58.66,364.35,109.34,2.826008,1.001864,-2.708888,4
2024-06-14 12:01:40.196,-80.57,348.11,98.35,3.004616,1.05652,-2.5585839999999997,4
2024-06-14 12:01:40.201,-109.41,326.34,81.9,3.15004,1.035048,-2.378512,4
2024-06-14 12:01:40.206,-141.47,301.28,60.62,3.2817999999999996,0.9520879999999999,-2.1911199999999997,4
2024-06-14 12:01:40.211,-171.22,275.52,36.33,3.3764719999999997,0.76128,-2.03008,4
2024-06-14 12:01:40.216,-198.24,250.88,10.22,3.482368,0.479704,-1.918816,4
2024-06-14 12:01:40.220,-217.98,228.06,-14.07,3.591192,0.14688800000000002,-1.8304880000000001,4
2024-06-14 12:01:40.225,-220.92,205.52,-32.06,3.746864,-0.217648,-1.724592,4
2024-06-14 12:01:40.230,-204.47,182.21,-42.07,3.9323040000000002,-0.570472,-1.58844,0
2024-06-14 12:01:40.235,-172.76,157.78,-45.15,4.0748,-0.8652239999999999,-1.4288640000000001,0
2024-06-14 12:01:40.240,-131.74,129.99,-43.96,4.13824,-1.0384639999999998,-1.281,0
2024-06-14 12:01:40.245,-86.31,98.0,-41.37,4.1362879999999995,-1.1165439999999998,-1.187792,0
2024-06-14 12:01:40.249,-39.41,61.18,-38.99,4.101640000000001,-1.0950719999999998,-1.1638799999999998,0
2024-06-14 12:01:40.254,6.44,20.72,-37.45,3.9762239999999998,-0.965264,-1.172664,0
2024-06-14 12:01:40.259,47.81,-20.86,-37.73,3.7717519999999998,-0.776408,-1.223904,0
2024-06-14 12:01:40.264,80.71,-60.69,-39.97,3.505792,-0.554856,-1.296616,0
2024-06-14 12:01:40.269,248.71,-502.25,66.01,1.811944,-4.3993199999999995,-12.117528,0
