time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 12:59:37.984,13.02,-356.16,9.87,5.983368,-3.9074159999999996,-10.7726,1
2024-06-14 12:59:37.989,86.66,-300.02,66.01,4.6643040000000004,-2.0744879999999997,-0.5826720000000001,1
2024-06-14 12:59:37.994,79.94,-288.96,64.89,-0.8681519999999999,0.372832,0.914512,1
2024-06-14 12:59:37.999,167.16,-314.37,44.38,-2.1945360000000003,0.160552,1.71532,1
2024-06-14 12:59:38.004,204.33,-405.23,35.84,0.43432,-0.033184,-1.782176,1
2024-06-14 12:59:38.008,198.87,-417.97,37.45,-0.825696,-0.121024,-1.892464,1
2024-06-14 12:59:38.013,165.27,-426.79,44.1,-0.5192319999999999,0.00732,-1.081896,1
2024-06-14 12:59:38.018,134.47,-428.75,53.27,0.416752,0.073688,-1.521584,1
2024-06-14 12:59:38.023,108.15,-395.43,63.84,0.715896,-0.225456,-1.790472,1
2024-06-14 12:59:38.028,80.71,-352.94,68.53,0.7276079999999999,-0.579744,-1.826584,1
2024-06-14 12:59:38.033,69.23,-328.16,58.8,0.38552,-0.5631520000000001,-1.8719679999999999,1
2024-06-14 12:59:38.037,73.5,-312.62,39.06,0.28645600000000004,-0.5328959999999999,-2.146224,1
2024-06-14 12:59:38.042,65.73,-304.43,18.27,0.079056,-0.750544,-3.1817599999999997,1
2024-06-14 12:59:38.047,34.58,-276.15,5.46,0.370392,-0.34208799999999995,-2.748416,1
2024-06-14 12:59:38.052,14.63,-204.33,-3.36,0.45432799999999995,-0.24156,-2.611288,1
2024-06-14 12:59:38.057,13.58,-135.59,-6.51,0.30744,-0.138592,-2.079856,1
2024-06-14 12:59:38.062,12.81,-84.28,-8.26,0.33964799999999995,-0.023912,-1.809016,1
2024-06-14 12:59:38.066,12.74,-35.98,-7.28,0.44700799999999996,0.06831999999999999,-1.4669279999999998,1
2024-06-14 12:59:38.071,7.14,-21.35,-3.36,0.232288,0.01464,-1.2287839999999999,1
2024-06-14 12:59:38.076,0.56,-17.08,0.21,0.277672,-0.03172,-1.1936479999999998,2
2024-06-14 12:59:38.081,-1.4,-15.75,2.87,0.081008,0.008783999999999998,-1.12728,2
2024-06-14 12:59:38.086,-2.03,-14.84,2.94,-0.042455999999999994,-0.024399999999999998,-1.0760399999999999,2
2024-06-14 12:59:38.090,-1.47,-14.56,3.22,-0.104432,0.014152,-1.032608,2
2024-06-14 12:59:38.095,0.42,-14.84,0.98,-0.069296,0.02684,-0.998448,2
2024-06-14 12:59:38.100,0.84,-11.62,0.0,-0.033671999999999994,-0.013176,-0.951112,2
2024-06-14 12:59:38.105,2.24,-6.02,0.7,-0.016592,0.010736,-0.952576,2
2024-06-14 12:59:38.110,4.06,-1.82,1.26,-0.005368,0.022936,-0.984784,2
2024-06-14 12:59:38.115,5.67,2.03,1.05,-0.013176,-0.002928,-1.01016,2
2024-06-14 12:59:38.119,5.18,4.62,0.84,-0.020007999999999998,-0.011712,-1.0262639999999998,2
2024-06-14 12:59:38.124,3.85,5.74,0.91,-0.027327999999999998,-0.017079999999999998,-1.044808,2
2024-06-14 12:59:38.129,2.45,4.13,1.05,-0.030744,-0.004391999999999999,-1.0560319999999999,2
2024-06-14 12:59:38.134,1.54,2.1,1.19,-0.040015999999999996,0.001464,-1.05164,2
2024-06-14 12:59:38.139,0.49,1.12,1.19,-0.044408,-0.012199999999999999,-1.033096,2
2024-06-14 12:59:38.144,-0.42,1.19,1.33,-0.039528,-0.008296,-1.02236,2
2024-06-14 12:59:38.148,-0.7,0.7,1.26,-0.039528,0.00488,-1.0238239999999998,2
2024-06-14 12:59:38.153,-0.98,0.35,1.26,-0.044408,0.003904,-1.035048,2
2024-06-14 12:59:38.158,-1.12,-1.12,1.19,-0.049775999999999994,0.00244,-1.0462719999999999,2
2024-06-14 12:59:38.163,-1.26,-2.87,1.12,-0.052704,0.010736,-1.050664,2
