time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 07:26:00.250,-59.43,-219.24,-136.78,-3.15248,-2.7181599999999997,-6.218584,1
2024-06-14 07:26:00.255,-94.78,-229.46,-172.9,-4.612088,0.693936,1.2975919999999999,1
2024-06-14 07:26:00.260,-17.08,-194.04,-135.59,-3.262768,-0.227408,1.016504,1
2024-06-14 07:26:00.265,-81.48,-285.39,-131.53,-1.614304,0.17812,-0.06783199999999999,1
2024-06-14 07:26:00.269,-133.77,-352.03,-131.39,-0.40455199999999997,0.198616,-1.02724,1
2024-06-14 07:26:00.274,-114.24,-382.13,-129.57,0.7720159999999999,0.6597759999999999,-1.9822559999999998,1
2024-06-14 07:26:00.279,-61.11,-401.03,-112.84,0.945256,1.003328,-1.85928,1
2024-06-14 07:26:00.284,-18.27,-396.48,-82.81,0.28304,0.908168,-2.198928,1
2024-06-14 07:26:00.289,12.67,-362.04,-56.42,-0.147864,0.7315119999999999,-2.136952,1
2024-06-14 07:26:00.294,-1.26,-321.65,-26.67,-0.121024,0.894504,-2.3175120000000002,1
2024-06-14 07:26:00.298,-25.06,-278.39,13.37,0.084424,0.866688,-2.275544,1
2024-06-14 07:26:00.303,-35.84,-301.14,47.39,0.08052,0.44164,-2.222352,1
2024-06-14 07:26:00.308,-39.27,-308.35,62.65,-0.142496,0.06490399999999999,-2.207712,1
2024-06-14 07:26:00.313,-22.4,-298.34,59.64,-0.23277599999999998,-0.321104,-1.760704,1
2024-06-14 07:26:00.318,-20.09,-272.93,40.74,-0.186904,-0.5426559999999999,-1.919792,1
2024-06-14 07:26:00.323,-25.2,-236.81,16.1,-0.02684,-0.455792,-1.823168,1
2024-06-14 07:26:00.327,-23.94,-199.22,-3.57,0.053192,-0.34989600000000004,-1.8465919999999998,1
2024-06-14 07:26:00.332,-25.69,-160.79,-16.17,0.027816,-0.113704,-1.809992,1
2024-06-14 07:26:00.337,-23.59,-124.95,-18.34,-0.042455999999999994,0.012199999999999999,-1.45424,1
2024-06-14 07:26:00.342,-22.33,-101.92,-14.35,-0.053192,0.098576,-1.3093039999999998,1
2024-06-14 07:26:00.347,-18.69,-85.75,-7.63,-0.032208,0.124928,-1.2780719999999999,1
2024-06-14 07:26:00.352,-12.18,-66.08,-1.82,-0.040015999999999996,0.074176,-1.211704,1
2024-06-14 07:26:00.356,-6.44,-56.14,0.49,-0.061488,0.024887999999999997,-1.162904,1
2024-06-14 07:26:00.361,-1.47,-51.8,0.42,-0.077592,-0.018056000000000003,-1.127768,2
2024-06-14 07:26:00.366,2.24,-52.15,-0.98,-0.10003999999999999,-0.056608,-1.123376,2
