time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 10:36:41.549,-302.05,-400.68,-29.4,7.462984,2.089616,-1.473272,1
2024-06-14 10:36:41.553,-406.21,-240.66,-30.94,-1.489376,-0.608536,0.23912,1
2024-06-14 10:36:41.558,-366.1,-375.2,-13.16,0.39576799999999995,0.654408,-2.61568,1
2024-06-14 10:36:41.563,-231.56,-422.31,-23.94,-0.7198,0.340624,-1.355176,1
2024-06-14 10:36:41.568,-136.01,-470.61,-47.81,-1.645536,0.045872,-2.5781039999999997,1
2024-06-14 10:36:41.573,-43.82,-490.49,-68.95,-0.089792,0.35868,-2.79136,1
2024-06-14 10:36:41.578,-11.55,-494.27,-71.75,0.894504,0.710528,-2.989976,1
2024-06-14 10:36:41.582,0.91,-456.26,-51.31,0.9232959999999999,0.683688,-2.935808,1
2024-06-14 10:36:41.587,-3.29,-431.06,-28.77,0.44212799999999997,0.37576,-3.711728,1
2024-06-14 10:36:41.592,-5.67,-349.86,-13.3,0.245464,0.20007999999999998,-2.8772480000000002,1
2024-06-14 10:36:41.597,-15.61,-276.57,-2.1,0.294752,-0.003904,-2.678632,1
2024-06-14 10:36:41.602,-30.17,-215.32,-0.07,0.269864,-0.081496,-1.895392,1
2024-06-14 10:36:41.607,-21.56,-174.65,-6.16,0.186904,-0.14054399999999997,-1.47864,1
2024-06-14 10:36:41.611,-14.77,-138.88,-18.2,0.13956799999999997,-0.128832,-1.33468,1
2024-06-14 10:36:41.616,-10.71,-99.54,-28.42,-0.022448,-0.049775999999999994,-1.159,1
2024-06-14 10:36:41.621,-14.0,-73.01,-29.47,0.019032,0.038064,-1.1575360000000001,1
2024-06-14 10:36:41.626,-23.38,-32.55,-21.35,0.040992,0.14054399999999997,-1.135576,1
2024-06-14 10:36:41.631,-15.26,3.43,-7.7,0.102968,0.08491199999999999,-1.136552,1
2024-06-14 10:36:41.636,-8.82,20.65,0.0,0.107848,0.047335999999999996,-1.099464,1
2024-06-14 10:36:41.640,-5.6,24.71,-0.14,0.12444,-0.015128,-1.0950719999999998,1
2024-06-14 10:36:41.645,-4.62,15.19,-4.27,0.092232,-0.06978399999999998,-1.073112,1
2024-06-14 10:36:41.650,-4.76,5.04,-9.73,0.18104800000000001,-0.026352,-1.0775039999999998,2
2024-06-14 10:36:41.655,-4.83,-0.98,-7.42,0.041479999999999996,0.062952,-1.04188,2
2024-06-14 10:36:41.660,-3.71,-2.8,-4.55,-0.041968,0.066368,-0.999424,2
2024-06-14 10:36:41.664,-1.61,1.33,-2.1,-0.020984,0.01952,-0.999912,2
2024-06-14 10:36:41.669,-2.1,1.4,-2.17,0.01464,-0.0068319999999999995,-1.020408,2
2024-06-14 10:36:41.674,-2.87,-1.47,-2.66,0.004391999999999999,0.003904,-1.017968,2
2024-06-14 10:36:41.679,-2.1,-4.41,-2.52,-0.01952,0.013176,-1.012112,2
2024-06-14 10:36:41.684,-2.31,-4.9,-1.19,-0.018056000000000003,0.014152,-1.016016,2
2024-06-14 10:36:41.689,-1.96,-7.56,-0.77,-0.018056000000000003,0.015616,-1.0126,2
2024-06-14 10:36:41.693,-1.33,-9.66,-1.12,-0.020496,0.005856,-1.007232,2
2024-06-14 10:36:41.698,-0.98,-10.99,-1.4,-0.02196,0.012688,-1.003816,2
2024-06-14 10:36:41.703,0.0,-12.39,-1.33,-0.021472,-0.004391999999999999,-1.002352,2
2024-06-14 10:36:41.708,0.56,-14.7,-1.26,-0.01464,0.011224,-1.00528,2
2024-06-14 10:36:41.713,1.12,-17.36,-1.26,-0.020984,0.010248,-1.0096720000000001,2
2024-06-14 10:36:41.718,1.61,-19.81,-1.33,-0.025376,0.017567999999999997,-1.0096720000000001,2
2024-06-14 10:36:41.722,2.38,-21.84,-1.61,-0.018544,0.017567999999999997,-1.013088,2
2024-06-14 10:36:41.727,3.15,-23.03,-1.82,-0.017079999999999998,0.01464,-1.011624,2
2024-06-14 10:36:41.732,3.64,-22.82,-1.89,-0.018544,0.011224,-1.0091839999999999,2
2024-06-14 10:36:41.737,3.71,-22.19,-1.61,-0.013663999999999999,0.004391999999999999,-1.0096720000000001,2
2024-06-14 10:36:41.742,3.36,-22.47,-1.05,-0.020984,0.000976,-1.01504,2
2024-06-14 10:36:41.747,2.87,-22.82,-0.84,-0.011712,-0.00244,-1.0091839999999999,2
2024-06-14 10:36:41.751,2.17,-23.17,-0.56,-0.016104,0.001952,-1.010648,2
2024-06-14 10:36:41.756,1.61,-22.89,-0.49,-0.0068319999999999995,-0.005856,-1.007232,2
2024-06-14 10:36:41.761,0.77,-22.82,-0.42,-0.00488,-0.000976,-1.008696,2
2024-06-14 10:36:41.766,0.07,-22.61,-0.21,-0.004391999999999999,-0.000976,-1.006256,2
2024-06-14 10:36:41.771,0.14,-29.82,0.0,0.001952,-0.00488,-1.007232,2
2024-06-14 10:36:41.776,-4.13,-27.65,-0.35,-0.000976,-0.008783999999999998,-0.997472,2
2024-06-14 10:36:41.780,-2.24,-29.33,-0.7,0.003904,-0.008783999999999998,-0.999912,2
2024-06-14 10:36:41.785,-4.62,-29.05,-0.35,0.001952,-0.0068319999999999995,-0.998448,2
2024-06-14 10:36:41.790,-6.44,-32.62,-0.14,0.008296,-0.010736,-0.98332,2
2024-06-14 10:36:41.795,-4.9,-24.01,0.7,0.011224,-0.006344,-1.001864,2
2024-06-14 10:36:41.800,-7.56,-24.29,0.91,0.01464,-0.004391999999999999,-0.998448,2
2024-06-14 10:36:41.805,-3.78,-38.92,1.12,0.020984,0.00244,-0.999912,2
2024-06-14 10:36:41.809,-6.3,-14.28,0.98,0.02196,0.0034159999999999998,-0.99552,2
2024-06-14 10:36:41.814,-7.07,-12.81,1.33,0.018056000000000003,0.008783999999999998,-0.999912,2
2024-06-14 10:36:41.819,-5.95,-10.78,1.68,0.016592,-0.00244,-0.9960079999999999,2
2024-06-14 10:36:41.824,-7.28,-9.03,1.75,0.024399999999999998,0.0068319999999999995,-0.9964959999999999,2
2024-06-14 10:36:41.829,-6.44,-9.73,1.68,0.022448,0.012688,-0.9950319999999999,2
2024-06-14 10:36:41.833,-6.65,-7.28,1.47,0.023912,0.012199999999999999,-0.999912,2
2024-06-14 10:36:41.838,-13.02,-17.57,1.96,0.020496,0.017567999999999997,-0.999424,2
2024-06-14 10:36:41.843,-6.02,-13.72,2.66,0.022936,0.019032,-0.999912,2
2024-06-14 10:36:41.848,-7.14,-10.36,2.24,0.018056000000000003,0.016592,-0.99796,2
2024-06-14 10:36:41.853,-7.49,-8.47,1.61,0.019032,0.015128,-1.0004,2
2024-06-14 10:36:41.858,-5.25,-8.19,1.89,0.017079999999999998,0.012199999999999999,-1.001376,2
2024-06-14 10:36:41.862,-7.98,-5.39,2.17,0.020984,0.010248,-1.001376,2
2024-06-14 10:36:41.867,-7.28,-3.99,3.01,0.029768,0.00976,-0.997472,2
2024-06-14 10:36:41.872,-7.21,-2.38,3.29,0.026352,0.003904,-0.99796,2
2024-06-14 10:36:41.877,-7.63,-2.03,3.22,0.030256,0.014152,-0.9964959999999999,2
