time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 10:05:46.213,93.59,-149.87,85.89,2.1550079999999996,3.6331599999999997,-3.7512559999999997,1
2024-06-14 10:05:46.218,-60.2,-309.68,5.18,1.511824,-2.263344,-1.8646479999999999,1
2024-06-14 10:05:46.223,40.95,-210.14,5.25,-2.452688,1.849032,0.186904,1
2024-06-14 10:05:46.228,203.0,-266.7,18.06,-0.375272,0.559736,-0.686128,1
2024-06-14 10:05:46.232,228.97,-300.93,7.77,-1.0560319999999999,-0.088816,-1.1643679999999998,1
2024-06-14 10:05:46.237,253.12,-333.83,12.18,-0.057095999999999994,0.238632,-1.67628,1
2024-06-14 10:05:46.242,224.84,-342.72,32.2,0.208376,0.277184,-1.878312,1
2024-06-14 10:05:46.247,159.81,-317.45,59.36,0.438712,0.08491199999999999,-1.949072,1
2024-06-14 10:05:46.252,99.12,-293.44,86.66,0.346968,-0.015616,-1.9310159999999998,1
2024-06-14 10:05:46.257,43.75,-261.24,108.29,0.26352,0.029768,-1.947608,1
2024-06-14 10:05:46.261,11.2,-228.27,121.17,0.29865600000000003,-0.091256,-1.979816,1
2024-06-14 10:05:46.266,-2.1,-203.84,118.16,0.237656,-0.530456,-1.996408,1
2024-06-14 10:05:46.271,0.49,-189.98,99.54,0.182512,-0.7686000000000001,-1.9398,1
2024-06-14 10:05:46.276,-0.49,-178.99,70.35,0.084424,-0.909144,-1.855376,2
2024-06-14 10:05:46.281,-0.7,-165.97,37.17,0.044408,-0.91988,-1.6235760000000001,2
2024-06-14 10:05:46.286,0.28,-154.7,6.79,0.110288,-0.60024,-1.7304479999999998,2
2024-06-14 10:05:46.290,-6.79,-134.05,-14.0,0.121024,-0.32500799999999996,-1.545008,2
2024-06-14 10:05:46.295,-14.42,-114.52,-19.67,0.076616,0.045872,-1.4869359999999998,2
2024-06-14 10:05:46.300,-20.72,-97.16,-10.57,0.027816,0.267424,-1.499624,2
2024-06-14 10:05:46.305,-27.86,-79.31,4.55,-0.0068319999999999995,0.24888,-1.391288,2
2024-06-14 10:05:46.310,-30.52,-70.35,17.43,-0.016104,0.142496,-1.378112,2
2024-06-14 10:05:46.314,-29.75,-62.65,22.26,-0.00244,-0.010248,-1.265872,2
2024-06-14 10:05:46.319,-28.07,-55.65,18.55,0.002928,-0.112728,-1.21024,2
2024-06-14 10:05:46.324,-25.27,-48.93,10.85,0.007808,-0.14005599999999999,-1.1638799999999998,2
2024-06-14 10:05:46.329,-25.06,-44.1,3.92,0.000976,-0.101016,-1.166808,2
2024-06-14 10:05:46.334,-24.92,-36.82,0.91,-0.01464,-0.016104,-1.164856,2
2024-06-14 10:05:46.339,-24.99,-32.41,1.96,0.00976,0.09516,-1.1848640000000001,2
2024-06-14 10:05:46.343,-17.5,-11.55,5.32,-0.061975999999999996,0.101016,-1.208776,2
2024-06-14 10:05:46.348,-11.34,-12.39,10.01,0.14884,0.09028,-1.299056,2
2024-06-14 10:05:46.353,-2.8,-10.92,7.42,0.07173600000000001,-0.001464,-1.237568,2
2024-06-14 10:05:46.358,-2.38,-12.11,5.25,-0.06783199999999999,-0.044896,-1.1048319999999998,2
2024-06-14 10:05:46.363,-3.64,-9.8,3.43,-0.040992,-0.036112000000000005,-1.10044,2
