time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 12:22:36.467,102.2,-250.74,-105.84,3.1964,3.0675679999999996,-9.270048000000001,1
2024-06-14 12:22:36.472,18.9,-103.67,-152.18,-2.021784,0.210816,4.819,1
2024-06-14 12:22:36.477,246.61,-226.1,-132.16,-1.160952,-0.029768,-0.851072,1
2024-06-14 12:22:36.482,280.49,-210.7,-125.51,-1.726056,0.626592,-1.177056,1
2024-06-14 12:22:36.486,301.7,-243.53,-98.91,-0.656848,0.8793759999999999,-1.0735999999999999,1
2024-06-14 12:22:36.491,289.87,-281.96,-61.39,0.187392,0.989664,-1.7202,1
2024-06-14 12:22:36.496,204.96,-304.01,-13.16,0.396744,0.692472,-2.138904,1
2024-06-14 12:22:36.501,110.18,-315.21,41.65,0.260104,0.35136,-2.278472,1
2024-06-14 12:22:36.506,24.22,-310.94,86.8,0.249368,0.196176,-2.050576,2
2024-06-14 12:22:36.511,-18.97,-292.81,109.2,0.179584,-0.19666399999999998,-2.25944,2
2024-06-14 12:22:36.515,-27.65,-258.37,97.79,0.20105599999999998,-0.73932,-2.191608,2
2024-06-14 12:22:36.520,-14.63,-237.23,56.0,0.14688800000000002,-1.050664,-2.271152,2
2024-06-14 12:22:36.525,-1.4,-211.05,10.71,0.16835999999999998,-0.86864,-2.027152,2
2024-06-14 12:22:36.530,-2.03,-195.3,-24.22,0.078568,-0.541192,-1.93736,2
2024-06-14 12:22:36.535,-10.01,-166.95,-43.05,0.044896,-0.08539999999999999,-1.626992,2
2024-06-14 12:22:36.539,-19.11,-151.2,-38.85,0.07173600000000001,0.323056,-1.52256,2
2024-06-14 12:22:36.544,-24.64,-130.48,-17.57,0.116144,0.430904,-1.48108,2
2024-06-14 12:22:36.549,-25.41,-119.42,5.74,0.090768,0.379176,-1.401048,2
2024-06-14 12:22:36.554,-13.09,-104.09,20.51,0.06783199999999999,0.177632,-1.32248,2
2024-06-14 12:22:36.559,-6.23,-88.41,19.6,0.014152,-0.012199999999999999,-1.2038959999999999,2
2024-06-14 12:22:36.564,-2.24,-73.64,11.41,0.042944,-0.108336,-1.218048,2
2024-06-14 12:22:36.568,-2.17,-59.01,3.71,0.040504,-0.07173600000000001,-1.156072,2
2024-06-14 12:22:36.573,-4.27,-46.62,-0.56,0.056608,0.026352,-1.176568,2
