time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 10:08:06.897,73.43,-385.42,60.06,3.54532,-1.118496,-8.655655999999999,1
2024-06-14 10:08:06.902,-76.16,-171.99,56.21,-1.9354079999999998,1.325408,4.428599999999999,1
2024-06-14 10:08:06.906,148.19,-252.35,55.37,0.135176,0.90524,-0.008296,1
2024-06-14 10:08:06.911,228.41,-266.77,43.12,-1.3424880000000001,-0.367464,-1.675792,1
2024-06-14 10:08:06.916,223.09,-267.96,38.36,-0.31476,-0.19422399999999998,-1.688968,1
2024-06-14 10:08:06.921,225.05,-276.01,43.12,0.05124,0.049775999999999994,-1.764608,1
2024-06-14 10:08:06.926,176.68,-273.28,55.58,0.511424,-0.183976,-2.049112,1
2024-06-14 10:08:06.931,133.49,-258.23,71.61,0.499224,-0.24156,-1.987624,1
2024-06-14 10:08:06.935,94.64,-246.4,81.48,0.28548,-0.39039999999999997,-1.890024,1
2024-06-14 10:08:06.940,66.64,-230.16,82.18,0.11956,-0.38600799999999996,-1.916376,1
2024-06-14 10:08:06.945,44.66,-211.89,73.29,0.092232,-0.581696,-2.065216,1
2024-06-14 10:08:06.950,30.31,-197.82,57.12,0.13322399999999998,-0.660264,-2.0378879999999997,2
2024-06-14 10:08:06.955,16.1,-182.14,38.22,0.15176800000000001,-0.6143919999999999,-2.017392,2
2024-06-14 10:08:06.959,7.84,-162.54,20.58,0.167872,-0.491416,-1.904664,2
2024-06-14 10:08:06.964,-6.44,-141.54,6.51,0.125904,-0.25912799999999997,-1.85928,2
2024-06-14 10:08:06.969,-16.73,-119.91,1.33,0.110776,-0.05856,-1.701656,2
2024-06-14 10:08:06.974,-20.02,-97.93,5.74,0.098576,0.069296,-1.569408,2
2024-06-14 10:08:06.979,-22.82,-81.55,14.14,0.049288,0.120048,-1.449848,2
2024-06-14 10:08:06.984,-23.45,-69.44,20.44,0.008296,0.0366,-1.382992,2
2024-06-14 10:08:06.988,-23.17,-57.26,21.77,0.002928,-0.033671999999999994,-1.2409839999999999,2
2024-06-14 10:08:06.993,-20.51,-51.03,18.9,0.0034159999999999998,-0.10736,-1.22976,2
2024-06-14 10:08:06.998,-18.83,-45.71,13.58,0.005368,-0.108824,-1.175592,2
2024-06-14 10:08:07.003,-17.57,-41.72,8.82,-0.018544,-0.06831999999999999,-1.1263040000000002,2
2024-06-14 10:08:07.008,-18.48,-36.47,6.23,-0.012688,-0.024887999999999997,-1.13948,2
2024-06-14 10:08:07.013,-19.18,-32.13,6.58,0.077104,0.09711199999999999,-1.240008,2
2024-06-14 10:08:07.017,-12.6,-12.81,8.47,-0.055632,0.09467199999999999,-1.16144,2
2024-06-14 10:08:07.022,-5.32,-8.61,9.17,0.13078399999999998,0.06978399999999998,-1.248792,2
2024-06-14 10:08:07.027,0.91,-9.66,6.16,0.06490399999999999,-0.037088,-1.20292,2
2024-06-14 10:08:07.032,0.35,-9.38,3.36,-0.028304,-0.057583999999999996,-1.1204479999999999,2
2024-06-14 10:08:07.037,-1.54,-9.45,0.7,-0.034648,-0.066856,-1.103856,2
2024-06-14 10:08:07.042,-3.85,-9.38,-1.33,-0.045872,-0.00244,-1.0687200000000001,2
2024-06-14 10:08:07.046,-3.01,-8.19,-1.54,-0.017567999999999997,0.000488,-1.1048319999999998,2
2024-06-14 10:08:07.051,-2.17,-7.49,-1.82,-0.02928,0.011224,-1.093608,2
2024-06-14 10:08:07.056,-0.98,-5.67,-1.89,-0.038064,0.0034159999999999998,-1.1053199999999999,2
2024-06-14 10:08:07.061,-0.14,-6.86,-2.17,-0.048799999999999996,-0.012688,-1.1053199999999999,2
2024-06-14 10:08:07.066,-0.35,-8.26,-2.31,-0.046848,-0.009272,-1.099464,2
2024-06-14 10:08:07.071,-0.07,-10.36,-2.52,-0.046848,0.006344,-1.097512,2
2024-06-14 10:08:07.075,0.49,-13.23,-2.66,-0.048799999999999996,0.002928,-1.0970239999999998,2
2024-06-14 10:08:07.080,1.05,-15.96,-2.73,-0.057095999999999994,-0.00244,-1.090192,2
2024-06-14 10:08:07.085,1.61,-18.48,-2.8,-0.055632,-0.005368,-1.084336,2
2024-06-14 10:08:07.090,2.38,-19.6,-2.87,-0.046848,-0.004391999999999999,-1.086776,2
2024-06-14 10:08:07.095,3.36,-19.88,-2.94,-0.04392,-0.008783999999999998,-1.087752,2
2024-06-14 10:08:07.101,3.64,-19.6,-2.73,-0.041479999999999996,-0.014152,-1.082384,2
2024-06-14 10:08:07.105,3.92,-19.67,-2.52,-0.042455999999999994,-0.013663999999999999,-1.08092,2
2024-06-14 10:08:07.110,4.06,-20.65,-2.52,-0.040015999999999996,-0.012199999999999999,-1.082384,2
2024-06-14 10:08:07.115,4.27,-21.21,-2.66,-0.034648,-0.008296,-1.0853119999999998,2
2024-06-14 10:08:07.120,4.62,-22.26,-2.59,-0.035624,-0.008296,-1.083848,2
2024-06-14 10:08:07.125,5.04,-23.24,-2.52,-0.033671999999999994,-0.011224,-1.084336,2
2024-06-14 10:08:07.129,5.67,-23.87,-2.45,-0.02928,-0.008783999999999998,-1.079944,2
