time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 11:45:02.278,382.83,-414.47,-87.85,6.613376000000001,-4.180696,-6.079015999999999,1
2024-06-14 11:45:02.283,368.34,-387.52,-54.39,2.05204,0.83692,0.26888799999999996,1
2024-06-14 11:45:02.288,430.29,-325.64,-55.16,-1.577216,0.66124,0.15616,1
2024-06-14 11:45:02.293,461.79,-305.27,-31.99,1.6518799999999998,0.034648,-0.5514399999999999,1
2024-06-14 11:45:02.297,473.83,-313.74,9.38,0.26156799999999997,0.913048,-1.961272,1
2024-06-14 11:45:02.302,299.25,-283.22,41.79,-1.557208,-0.999424,-2.4082799999999995,1
2024-06-14 11:45:02.307,197.05,-300.72,87.57,-0.556808,0.145424,-2.446344,1
2024-06-14 11:45:02.312,146.58,-332.78,114.17,-0.598776,-0.030744,-1.813408,1
2024-06-14 11:45:02.317,114.59,-350.49,123.55,0.22838399999999998,-0.45139999999999997,-2.862608,1
2024-06-14 11:45:02.321,125.37,-321.23,115.01,0.249856,-1.5962480000000001,-3.9894000000000003,1
2024-06-14 11:45:02.326,62.16,-257.11,83.02,0.576328,-1.121912,-2.6147039999999997,1
2024-06-14 11:45:02.331,50.61,-210.35,63.14,0.305,-0.158112,-2.192096,1
2024-06-14 11:45:02.336,36.68,-168.91,70.63,0.490928,-0.396744,-2.11548,1
2024-06-14 11:45:02.341,44.87,-110.74,49.07,0.333792,-0.6153679999999999,-3.077816,1
2024-06-14 11:45:02.346,39.41,-7.7,3.01,0.294752,-0.425048,-1.796328,1
2024-06-14 11:45:02.350,39.06,-0.56,-18.69,-0.001952,0.193736,-1.27856,1
2024-06-14 11:45:02.355,42.49,1.61,-5.95,0.09955199999999999,0.148352,-1.28588,1
2024-06-14 11:45:02.360,33.53,-4.34,10.5,-0.093696,-0.001952,-1.13704,1
2024-06-14 11:45:02.365,29.96,-15.33,18.27,0.093696,0.10931199999999999,-1.1443599999999998,1
2024-06-14 11:45:02.370,29.47,-19.18,30.38,0.00244,-0.031232,-1.059936,1
2024-06-14 11:45:02.374,28.91,-8.33,23.66,0.060512,-0.081008,-0.974536,1
2024-06-14 11:45:02.379,36.4,-4.41,7.63,0.098576,-0.037576,-1.04188,1
2024-06-14 11:45:02.384,40.39,-6.93,-1.96,0.048312,-0.164456,-1.1443599999999998,1
2024-06-14 11:45:02.389,31.5,-6.16,-3.22,-0.02928,-0.21862399999999999,-1.093608,1
2024-06-14 11:45:02.394,21.14,-6.23,1.05,-0.016592,-0.111264,-1.063352,1
2024-06-14 11:45:02.399,22.05,-4.62,3.08,0.001952,0.081496,-1.118984,2
2024-06-14 11:45:02.403,27.65,-4.2,2.31,-0.018056000000000003,0.017567999999999997,-1.1380160000000001,2
2024-06-14 11:45:02.408,27.37,-5.88,1.26,-0.101016,-0.10052799999999999,-1.011136,2
2024-06-14 11:45:02.413,23.38,-6.02,0.77,-0.10736,-0.113704,-1.0126,2
2024-06-14 11:45:02.418,18.55,-8.05,0.28,-0.078568,-0.104432,-1.103856,2
2024-06-14 11:45:02.423,13.02,-12.95,0.28,-0.08539999999999999,-0.098576,-1.1243519999999998,2
2024-06-14 11:45:02.427,8.47,-18.48,0.35,-0.110288,-0.076128,-1.1126399999999999,2
2024-06-14 11:45:02.432,5.81,-24.78,0.0,-0.13810399999999998,-0.061488,-1.092632,2
2024-06-14 11:45:02.437,3.29,-31.43,-0.28,-0.11516799999999999,-0.08247199999999999,-1.1048319999999998,2
2024-06-14 11:45:02.442,-0.42,-37.8,-0.28,-0.081984,-0.10052799999999999,-1.094096,2
2024-06-14 11:45:02.447,-4.9,-44.24,0.14,-0.0732,-0.108336,-1.077992,2
2024-06-14 11:45:02.452,-8.82,-50.05,0.07,-0.08247199999999999,-0.101016,-1.0677439999999998,2
2024-06-14 11:45:02.456,-10.85,-52.85,-0.21,-0.093208,-0.055144,-1.087752,2
2024-06-14 11:45:02.461,-11.13,-56.98,-1.05,-0.08003199999999999,-0.033671999999999994,-1.098,2
2024-06-14 11:45:02.466,-10.01,-59.01,-1.54,-0.08247199999999999,-0.025864,-1.081408,2
2024-06-14 11:45:02.471,-8.68,-60.83,-2.03,-0.06734399999999999,-0.030256,-1.061888,2
2024-06-14 11:45:02.476,-8.33,-62.86,-2.45,-0.04392,-0.06539199999999999,-1.047248,2
2024-06-14 11:45:02.480,-9.87,-63.56,-2.45,-0.028791999999999998,-0.087352,-1.03212,2
2024-06-14 11:45:02.485,-12.18,-63.28,-2.24,-0.034159999999999996,-0.08930400000000001,-1.029192,2
2024-06-14 11:45:02.490,-14.7,-63.28,-1.89,-0.03172,-0.077592,-1.0438319999999999,2
2024-06-14 11:45:02.495,-15.96,-53.48,-1.4,-0.021472,-0.074176,-1.047248,2
2024-06-14 11:45:02.500,-13.93,-61.6,-0.98,-0.016104,-0.07076,-1.04432,2
2024-06-14 11:45:02.505,-16.52,-71.05,-1.05,-0.014152,-0.060512,-1.029192,2
2024-06-14 11:45:02.509,-0.56,-63.84,-1.12,-0.001464,-0.053192,-1.029192,2
2024-06-14 11:45:02.514,-19.81,-71.33,-2.38,-0.00244,-0.045872,-1.021872,2
2024-06-14 11:45:02.519,-9.73,-71.26,-0.63,0.00732,-0.059048,-1.0189439999999998,2
2024-06-14 11:45:02.524,-14.49,-71.33,-0.14,0.005856,-0.036112000000000005,-1.021872,2
2024-06-14 11:45:02.529,-10.36,-72.73,-0.28,0.009272,-0.024887999999999997,-1.0282159999999998,2
2024-06-14 11:45:02.535,-11.9,-72.03,-1.19,0.018056000000000003,-0.032208,-1.029192,2
2024-06-14 11:45:02.539,-10.29,-72.8,-1.26,0.020984,-0.027327999999999998,-1.037,2
2024-06-14 11:45:02.544,-6.02,-69.02,-0.63,0.011712,-0.033671999999999994,-1.050176,2
2024-06-14 11:45:02.549,-6.16,-67.76,-1.12,0.022936,-0.025864,-1.037488,2
2024-06-14 11:45:02.554,-3.71,-66.92,-1.96,0.028304,-0.012199999999999999,-1.0887280000000001,2
