time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 10:09:42.013,-310.73,-285.95,-82.95,5.393376,0.168848,-6.9662,1
2024-06-14 10:09:42.018,-149.59,-108.15,-38.29,2.612752,-0.10394400000000001,6.161,1
2024-06-14 10:09:42.023,-152.95,-310.8,-39.2,0.037088,-0.701744,-0.657824,1
2024-06-14 10:09:42.027,-179.48,-323.54,-24.78,-0.759816,0.38112799999999997,-2.228208,1
2024-06-14 10:09:42.032,-232.12,-333.97,-15.33,-1.0287039999999998,0.335744,-1.7070239999999999,1
2024-06-14 10:09:42.037,-219.24,-315.35,-15.19,-0.630008,0.282552,-1.687504,1
2024-06-14 10:09:42.042,-190.33,-316.68,-19.95,0.090768,0.119072,-1.782176,1
2024-06-14 10:09:42.047,-156.38,-305.97,-35.14,0.446032,-0.023912,-1.921744,1
2024-06-14 10:09:42.052,-102.62,-288.75,-55.58,0.467504,-0.154696,-1.853424,1
2024-06-14 10:09:42.056,-53.9,-263.97,-73.92,0.267912,-0.022936,-1.823656,1
2024-06-14 10:09:42.061,-3.15,-237.72,-86.87,0.000488,0.186416,-1.958344,2
2024-06-14 10:09:42.066,24.22,-209.23,-89.6,0.05856,0.38064,-2.022272,2
2024-06-14 10:09:42.071,17.22,-184.1,-76.93,0.131272,0.6500159999999999,-2.0095840000000003,2
2024-06-14 10:09:42.076,21.56,-160.09,-53.69,0.277184,0.6353759999999999,-1.920768,2
2024-06-14 10:09:42.081,11.06,-139.79,-30.45,0.20544800000000002,0.625616,-1.822192,2
2024-06-14 10:09:42.085,18.06,-117.88,-11.76,0.14005599999999999,0.406016,-1.6182079999999999,2
2024-06-14 10:09:42.090,22.68,-99.61,-2.45,0.13712799999999997,0.14103200000000002,-1.579168,2
2024-06-14 10:09:42.095,22.96,-81.34,-2.31,0.058072,-0.03172,-1.395192,2
2024-06-14 10:09:42.100,26.81,-71.12,-8.4,0.014152,-0.11956,-1.3790879999999999,2
2024-06-14 10:09:42.105,28.98,-63.07,-17.15,-0.044896,-0.1098,-1.266848,2
2024-06-14 10:09:42.110,30.59,-56.07,-23.1,-0.053192,-0.030256,-1.1736399999999998,2
