time,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,phase
2024-06-14 12:03:39.126,-527.87,53.41,-11.55,-2.508808,-1.1546079999999999,10.320712,1
2024-06-14 12:03:39.131,-542.29,-534.17,14.84,-2.266272,-1.156072,0.7622559999999999,1
2024-06-14 12:03:39.136,-468.44,-152.53,-14.77,-1.685552,0.254248,-1.65676,1
2024-06-14 12:03:39.141,-384.86,-211.89,-58.03,-0.914512,-0.04636,-0.776408,1
2024-06-14 12:03:39.146,-265.3,-350.0,-103.46,0.195688,0.39283999999999997,-1.4181279999999998,1
2024-06-14 12:03:39.150,-88.97,-382.34,-154.35,0.598288,0.496784,-1.910032,1
2024-06-14 12:03:39.155,19.04,-376.53,-195.09,0.7041839999999999,0.453352,-2.155984,1
2024-06-14 12:03:39.160,85.61,-352.24,-201.46,0.39771999999999996,0.752008,-2.318488,1
2024-06-14 12:03:39.165,101.57,-305.97,-177.87,0.220576,1.109712,-2.331664,1
2024-06-14 12:03:39.170,81.41,-267.4,-129.57,0.157136,1.4747359999999998,-2.1520799999999998,1
2024-06-14 12:03:39.174,68.04,-253.54,-68.53,0.153232,1.54208,-2.051552,1
2024-06-14 12:03:39.179,48.93,-254.31,-6.65,0.13907999999999998,1.22488,-1.843664,1
2024-06-14 12:03:39.184,36.12,-255.71,43.26,0.062952,0.793,-1.755336,1
2024-06-14 12:03:39.189,44.8,-234.01,70.63,-0.0034159999999999998,0.101504,-1.73484,1
2024-06-14 12:03:39.194,42.14,-195.65,64.54,0.035135999999999994,-0.57096,-1.841224,1
2024-06-14 12:03:39.199,40.95,-156.03,34.09,0.106872,-0.7866559999999999,-1.77876,1
2024-06-14 12:03:39.203,31.5,-123.27,-3.85,0.108824,-0.74664,-1.609912,1
2024-06-14 12:03:39.208,16.45,-87.99,-34.51,0.11712,-0.41333600000000004,-1.4176399999999998,1
2024-06-14 12:03:39.213,13.23,-64.12,-46.2,0.07564,-0.061975999999999996,-1.4844959999999998,1
2024-06-14 12:03:39.218,10.85,-27.86,-38.36,0.066368,0.184952,-1.301984,1
2024-06-14 12:03:39.223,6.23,-16.03,-21.49,0.039528,0.145424,-1.2322,1
2024-06-14 12:03:39.227,4.76,-13.37,-11.55,0.07808,0.061975999999999996,-1.2034079999999998,1
2024-06-14 12:03:39.232,6.79,-7.91,-11.2,0.069296,-0.010248,-1.19804,1
