collection_id,accuracy,data_size,n_heel_strike,n_foot_flat,n_heel_off,n_toe_off,label,precision,recall,f1-score,support
0373xrf1eaJoc8IcE6Gc_7_R,0.971830985915493,213,0,77,52,84,foot flat,0.9625,1.0,0.9808917197452229,77.0
0373xrf1eaJoc8IcE6Gc_7_R,0.971830985915493,213,0,77,52,84,heel off,1.0,0.8846153846153846,0.9387755102040817,52.0
0373xrf1eaJoc8IcE6Gc_7_R,0.971830985915493,213,0,77,52,84,toe off,0.9655172413793104,1.0,0.9824561403508771,84.0
04SwmTFshylAIDUNCYTh_12_R,0.748898678414097,227,0,135,12,80,foot flat,1.0,0.6370370370370371,0.7782805429864253,135.0
04SwmTFshylAIDUNCYTh_12_R,0.748898678414097,227,0,135,12,80,heel off,0.07547169811320754,0.3333333333333333,0.12307692307692308,12.0
04SwmTFshylAIDUNCYTh_12_R,0.748898678414097,227,0,135,12,80,toe off,0.9090909090909091,1.0,0.9523809523809523,80.0
04SwmTFshylAIDUNCYTh_4_R,0.9734513274336283,226,0,84,48,94,foot flat,0.9545454545454546,1.0,0.9767441860465116,84.0
04SwmTFshylAIDUNCYTh_4_R,0.9734513274336283,226,0,84,48,94,heel off,0.9565217391304348,0.9166666666666666,0.9361702127659575,48.0
04SwmTFshylAIDUNCYTh_4_R,0.9734513274336283,226,0,84,48,94,toe off,1.0,0.9787234042553191,0.989247311827957,94.0
04SwmTFshylAIDUNCYTh_8_R,0.9730941704035875,223,0,89,41,93,foot flat,0.9887640449438202,0.9887640449438202,0.9887640449438202,89.0
04SwmTFshylAIDUNCYTh_8_R,0.9730941704035875,223,0,89,41,93,heel off,0.8888888888888888,0.975609756097561,0.9302325581395349,41.0
04SwmTFshylAIDUNCYTh_8_R,0.9730941704035875,223,0,89,41,93,toe off,1.0,0.956989247311828,0.978021978021978,93.0
0bYDrU653eQr2GwcMXXw_14_L,0.8300970873786407,206,3,97,10,96,heel strike,0.5,1.0,0.6666666666666666,3.0
0bYDrU653eQr2GwcMXXw_14_L,0.8300970873786407,206,3,97,10,96,foot flat,1.0,0.7835051546391752,0.8786127167630058,97.0
